DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0.39258105001668536,0,90000000000,0,0,2,2
2,1,2,0.39258105001668536,0,90000000000,0,0,2,2
3,2,3,0.3872936032060761,0,-189.1271980256137,0,0,2,2
4,3,4,0.35877067027057225,0,-35.059508160019995,0,0,2,2
2001,0,2001,0.4219775021680326,0,90000000000,0,0,2,2
2002,1,2002,0.4219775021680326,0,90000000000,0,0,2,2
2003,2,2003,0.46878455011688397,0,21.364303963214144,0,0,2,2
2004,3,2004,0.40803050793021783,0,-16.459810146088895,0,0,2,2
2005,4,2005,0.500280428224854,0,10.840117767106026,0,0,2,2
2006,5,2006,0.47667618773789633,0,-42.36526909444695,0,0,2,2
2007,6,2007,0.37724905964235794,0,-10.057617263561223,0,0,2,2
2008,7,2008,0.43568287303094205,0,17.113379086694426,0,0,2,2
2009,8,2009,0.3620874076937273,0,-13.587793696500128,0,0,2,2
2010,9,2010,0.4067470717259712,0,22.391570148803837,0,0,2,2
2011,10,2011,0.4150516555289301,0,120.41542643518186,0,0,2,2
2012,11,2012,0.44843965607506897,0,29.9508800659716,0,0,2,2
2013,12,2013,0.47240883444774473,0,41.72024524378249,0,0,2,2
2014,13,2014,0.9272952180016122,0,2.1983511403162947,0,0,2,2
2015,14,2015,1.2430578200143525,0,3.166936152748235,0,0,2,2
2016,15,2016,1.2776094302370138,0,28.942211189455136,0,0,2,2
2017,16,2017,1.205594877006715,0,-13.886082120124431,0,0,2,2
2018,17,2018,1.4312140828710187,0,4.4322467857698244,0,0,2,2
2019,18,2019,1.5669795514358507,0,7.36564319757399,0,0,2,2
2020,19,2020,1.6770611895910794,0,9.084167139572143,0,0,2,2
2021,20,2021,1.9403056254617976,0,3.7987507568483205,0,0,2,2
2022,21,2022,1.939227118017495,0,-927.207322751982,0,0,2,2
2023,22,2023,1.9392271180174956,0,1501199875790165.2,0,0,2,2
2024,23,2024,2.3403228071056588,0,2.49317065030882,0,0,2,2
2025,24,2025,2.369294177417222,0,34.51683469735224,0,0,2,2
2026,25,2026,2.5599391709813046,0,5.24535148447978,0,0,2,2
2027,26,2027,2.857798544286573,0,3.357289008243249,0,0,2,2
2028,27,2028,2.9229237076209538,0,15.355047861693137,0,0,2,2
2029,28,2029,3.2049996054668393,0,3.5451451458158907,0,0,2,2
2030,29,2030,3.2789049210745667,0,13.530826460545443,0,0,2,2
2031,30,2031,3.497228537800765,0,4.580356513853968,0,0,2,2
2032,31,2032,3.414601356586709,0,-12.102554937816079,0,0,2,2
2033,32,2033,3.4967296188333434,0,12.176076452183514,0,0,2,2
2034,33,2034,3.498416538429866,0,592.7964806747643,0,0,2,2
2035,34,2035,3.498029605720197,0,-2584.428700418574,0,0,2,2
2036,35,2036,3.4980296057201983,0,750599937895082.6,0,0,2,2
2037,36,2037,3.488654257039489,0,-106.66269960258853,0,0,2,2
2038,37,2038,3.498029605720197,0,106.66269960260368,0,0,2,2
2039,38,2039,3.4272392148278223,0,-14.126211020932757,0,0,2,2
2040,39,2040,3.342909761874637,0,-11.858253136720075,0,0,2,2
2041,40,2041,3.3526859867227454,0,102.28897304806478,0,0,2,2
2042,41,2042,3.364623621871561,0,83.76868513184806,0,0,2,2
2043,42,2043,3.3721144925433655,0,133.49583029966885,0,0,2,2
2044,43,2044,3.396350955935899,0,41.26014525320859,0,0,2,2
2045,44,2045,3.4570141784804402,0,16.4844523263788,0,0,2,2
2046,45,2046,3.529492611227935,0,13.797207832623398,0,0,2,2
2047,46,2047,3.757889590896056,0,4.378341611404311,0,0,2,2
2048,47,2048,3.5970437247508937,0,-6.217132115148712,0,0,2,2
2049,48,2049,3.6436828525220015,0,21.441224306503525,0,0,2,2
2050,49,2050,3.683511403022078,0,25.107617210374666,0,0,2,2
2051,50,2051,3.827322164406287,0,6.9535825439959424,0,0,2,2
2052,51,2052,3.858396313443173,0,32.18109042384271,0,0,2,2
2053,52,2053,3.9190544755899825,0,16.48582753924732,0,0,2,2
2054,53,2054,4.213042258614767,0,3.4015018913751827,0,0,2,2
2055,54,2055,4.2809882537293475,0,14.717570893084247,0,0,2,2
2056,55,2056,4.143541121873538,0,-7.2755246799115465,0,0,2,2
2057,56,2057,4.367182318052129,0,4.47144809224432,0,0,2,2
2058,57,2058,4.469997633516279,0,9.726177422941308,0,0,2,2
2059,58,2059,4.777988152031039,0,3.2468531980216646,0,0,2,2
2060,59,2060,4.9344708821054795,0,6.390481553614827,0,0,2,2
2061,60,2061,5.156548352192712,0,4.502933141336655,0,0,2,2
2062,61,2062,4.75483451399996,0,-2.489334209891407,0,0,2,2
2063,62,2063,4.0827437976487415,0,-1.4878943804327516,0,0,2,2
2064,63,2064,3.9536511652720456,0,-7.7463754637985245,0,0,2,2
2065,64,2065,3.921643274288298,0,-31.24229586097242,0,0,2,2
2066,65,2066,3.7624987382065864,0,-6.283596186340689,0,0,2,2
2067,66,2067,3.6170507369551217,0,-6.875309329765916,0,0,2,2
2068,67,2068,3.460510354284802,0,-6.388127989351099,0,0,2,2
2069,68,2069,3.463343207896676,0,353.0009442805439,0,0,2,2
2070,69,2070,3.4697125485153055,0,157.00212312010984,0,0,2,2
2071,70,2071,3.4570141784804376,0,-78.75026458152811,0,0,2,2
2072,71,2072,3.4601483305880683,0,319.0655608466838,0,0,2,2
2073,72,2073,3.4539390964164998,0,-161.05045684682142,0,0,2,2
2074,73,2074,3.4570141784804376,0,325.1945734155292,0,0,2,2
2075,74,2075,3.4570141784804416,0,250199979298360.88,0,0,2,2
2076,75,2076,3.457014178480442,0,2251799813685248.0,0,0,2,2
2077,76,2077,3.4886542570394887,0,31.605484105666807,0,0,2,2
2078,77,2078,3.5332925929374266,0,22.402268809626403,0,0,2,2
2079,78,2079,3.5963119283209655,0,15.868145766913427,0,0,2,2
2080,79,2080,3.651718393851809,0,18.048435149564252,0,0,2,2
2081,80,2081,3.8824343387612394,0,4.33433415446236,0,0,2,2
2082,81,2082,3.8943936717794956,0,83.61670324536344,0,0,2,2
2083,82,2083,3.94826420292151,0,18.56302469644835,0,0,2,2
2084,83,2084,3.9111191339056584,0,-26.921473737826556,0,0,2,2
2085,84,2085,4.2968092726493055,0,2.5927549074949523,0,0,2,2
2086,85,2086,4.700960906397793,0,2.4743188360394526,0,0,2,2
2087,86,2087,4.8555470681836495,0,6.468884332513976,0,0,2,2
2088,87,2088,4.778957143975824,0,-13.05654771620508,0,0,2,2
2089,88,2089,4.961098969293523,0,5.49022718014253,0,0,2,2
2090,89,2090,5.034139534596644,0,13.69102218541105,0,0,2,2
2091,90,2091,5.154763203176745,0,8.290246945490178,0,0,2,2
2092,91,2092,5.107282213194254,0,-21.061060444796148,0,0,2,2
2093,92,2093,5.4977871435974475,0,2.5607871300562253,0,0,2,2
2094,93,2094,5.47340173442473,0,-41.008128791982735,0,0,2,2
2095,94,2095,5.542533375052064,0,14.46515648877297,0,0,2,2
2096,95,2096,5.698372485292396,0,6.416874419122522,0,0,2,2
2097,96,2097,5.6529913974503465,0,-22.035611034282496,0,0,2,2
2098,97,2098,5.981959729132511,0,3.0398062782716715,0,0,2,2
2099,98,2099,5.7295039847879,0,-3.9610902995931343,0,0,2,2
2100,99,2100,5.906276036670076,0,5.6570028426582555,0,0,2,2
2101,100,2101,6.1192034901942085,0,4.696435257404057,0,0,2,2
2102,101,2102,0.24497866312686437,0,-0.1702352275303091,0,0,2,2
2103,102,2103,0.24151547350919228,0,-288.7511543974274,0,0,2,2
2104,103,2104,0.16859693960942976,0,-13.71393453102952,0,0,2,2
2105,104,2105,0.428574278467581,0,3.846489099365771,0,0,2,2
2106,105,2106,0.39234014421551644,0,-27.598285998595966,0,0,2,2
2107,106,2107,0.6202494859828201,0,4.387709570154451,0,0,2,2
2108,107,2108,0.5779019369622468,0,-23.614117537574092,0,0,2,2
2109,108,2109,0.43374199759404275,0,-6.936739876435882,0,0,2,2
2110,109,2110,0.41987995720555155,0,-72.13945219999779,0,0,2,2
