PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1001,0,0,2.106,0.163,1.392,0,0,0,0
1002,0,0,2.129,0.235,1.525,0,0,0,0
1003,0,0,2.124,0.298,1.64,0,0,0,0
1004,0,0,2.12,0.362,1.755,0,0,0,0
1005,0,0,2.116,0.426,1.87,0,0,0,0
1006,0,0,2.112,0.49,1.985,0,0,0,0
1007,0,0,2.108,0.553,2.101,0,0,0,0
1008,0,0,2.104,0.617,2.216,0,0,0,0
1009,0,0,2.1,0.681,2.331,0,0,0,0
1010,0,0,2.096,0.745,2.446,0,0,0,0
1011,0,0,2.092,0.809,2.561,0,0,0,0
1012,0,0,2.088,0.872,2.677,0,0,0,0
1013,0,0,2.084,0.936,2.792,0,0,0,0
1014,0,0,2.08,1.0,2.907,0,0,0,0
1015,0,0,2.076,1.064,3.022,0,0,0,0
1016,0,0,2.072,1.128,3.137,0,0,0,0
1017,0,0,2.068,1.192,3.253,0,0,0,0
1018,0,0,2.084,1.248,3.36,0,0,0,0
2001,0,0,2.068,1.192,3.253,0,0,0,0
2002,0,0,2.084,1.248,3.36,0,0,0,0
2003,0,0,2.106,1.32,3.494,0,0,0,0
2004,0,0,2.129,1.392,3.627,0,0,0,0
2005,0,0,2.144,1.44,3.716,0,0,0,0
2006,0,0,2.159,1.488,3.805,0,0,0,0
2007,0,0,2.161,1.554,4.134,0,0,0,0
2008,0,0,2.164,1.469,4.314,0,0,0,0
2009,0,0,2.182,1.194,4.532,0,0,0,0
2010,0,0,2.193,1.084,4.601,0,0,0,0
2011,0,0,2.205,0.974,4.67,0,0,0,0
2012,0,0,2.217,0.863,4.739,0,0,0,0
2013,0,0,2.228,0.753,4.808,0,0,0,0
2014,0,0,2.24,0.643,4.878,0,0,0,0
2015,0,0,2.252,0.533,4.947,0,0,0,0
2016,0,0,2.264,0.423,5.016,0,0,0,0
2017,0,0,2.275,0.313,5.085,0,0,0,0
2018,0,0,2.287,0.203,5.154,0,0,0,0
2019,0,0,2.299,0.093,5.223,0,0,0,0
2020,0,0,2.311,-0.016,5.292,0,0,0,0
2021,0,0,2.322,-0.126,5.361,0,0,0,0
2022,0,0,2.334,-0.236,5.43,0,0,0,0
2023,0,0,2.346,-0.346,5.499,0,0,0,0
2024,0,0,2.358,-0.457,5.569,0,0,0,0
2025,0,0,2.382,-0.711,5.702,0,0,0,0
2026,0,0,2.421,-0.826,5.716,0,0,0,0
2027,0,0,2.419,-0.932,5.705,0,0,0,0
2028,0,0,2.378,-1.04,5.674,0,0,0,0
2029,0,0,2.371,-1.084,5.663,0,0,0,0
2030,0,0,2.379,-1.12,5.646,0,0,0,0
2031,0,0,2.326,-1.251,5.52,0,0,0,0
2032,0,0,2.288,-1.425,5.203,0,0,0,0
2033,0,0,2.271,-1.5,5.068,0,0,0,0
2034,0,0,2.255,-1.575,4.932,0,0,0,0
2035,0,0,2.239,-1.65,4.797,0,0,0,0
2036,0,0,2.222,-1.725,4.662,0,0,0,0
2037,0,0,2.206,-1.8,4.526,0,0,0,0
2038,0,0,2.19,-1.875,4.391,0,0,0,0
2039,0,0,2.174,-1.95,4.255,0,0,0,0
2040,0,0,2.157,-2.024,4.12,0,0,0,0
2041,0,0,2.141,-2.099,3.984,0,0,0,0
2042,0,0,2.125,-2.174,3.849,0,0,0,0
2043,0,0,2.109,-2.249,3.713,0,0,0,0
2044,0,0,2.092,-2.324,3.578,0,0,0,0
2045,0,0,2.076,-2.399,3.443,0,0,0,0
2046,0,0,2.06,-2.474,3.307,0,0,0,0
2047,0,0,2.044,-2.549,3.172,0,0,0,0
2048,0,0,2.044,-2.607,2.999,0,0,0,0
2049,0,0,2.049,-2.603,2.905,0,0,0,0
2050,0,0,2.044,-2.6,2.877,0,0,0,0
2051,0,0,2.04,-2.597,2.848,0,0,0,0
2052,0,0,2.036,-2.594,2.82,0,0,0,0
2053,0,0,2.031,-2.59,2.791,0,0,0,0
2054,0,0,2.027,-2.587,2.763,0,0,0,0
2055,0,0,2.023,-2.584,2.734,0,0,0,0
2056,0,0,2.017,-2.581,2.706,0,0,0,0
2057,0,0,2.013,-2.577,2.678,0,0,0,0
2058,0,0,2.009,-2.574,2.649,0,0,0,0
2059,0,0,2.005,-2.571,2.621,0,0,0,0
2060,0,0,2.001,-2.568,2.592,0,0,0,0
2061,0,0,1.997,-2.564,2.564,0,0,0,0
2062,0,0,1.992,-2.561,2.535,0,0,0,0
2063,0,0,1.988,-2.558,2.507,0,0,0,0
2064,0,0,1.984,-2.555,2.479,0,0,0,0
2065,0,0,1.979,-2.526,2.202,0,0,0,0
2066,0,0,1.981,-2.522,2.155,0,0,0,0
2067,0,0,1.972,-2.473,1.978,0,0,0,0
2068,0,0,1.998,-2.408,1.872,0,0,0,0
2069,0,0,1.969,-2.323,1.75,0,0,0,0
2070,0,0,1.945,-2.101,1.528,0,0,0,0
2071,0,0,1.944,-2.015,1.48,0,0,0,0
2072,0,0,1.943,-1.929,1.432,0,0,0,0
2073,0,0,1.942,-1.844,1.384,0,0,0,0
2074,0,0,1.941,-1.758,1.336,0,0,0,0
2075,0,0,1.94,-1.673,1.288,0,0,0,0
2076,0,0,1.939,-1.587,1.24,0,0,0,0
2077,0,0,1.938,-1.501,1.192,0,0,0,0
2078,0,0,1.938,-1.416,1.144,0,0,0,0
2079,0,0,1.937,-1.33,1.096,0,0,0,0
2080,0,0,1.936,-1.245,1.048,0,0,0,0
2081,0,0,1.935,-1.159,1.0,0,0,0,0
2082,0,0,1.934,-1.073,0.952,0,0,0,0
2083,0,0,1.933,-0.988,0.904,0,0,0,0
2084,0,0,1.932,-0.902,0.856,0,0,0,0
2085,0,0,1.932,-0.817,0.808,0,0,0,0
2086,0,0,1.931,-0.719,0.753,0,0,0,0
2087,0,0,1.93,-0.621,0.699,0,0,0,0
2088,0,0,1.94,-0.378,0.667,0,0,0,0
2089,0,0,1.899,-0.268,0.741,0,0,0,0
2090,0,0,1.91,-0.154,0.831,0,0,0,0
2091,0,0,1.959,-0.048,1.008,0,0,0,0
2092,0,0,2.068,0.035,1.151,0,0,0,0
2093,0,0,2.084,0.091,1.258,0,0,0,0
2094,0,0,2.106,0.163,1.392,0,0,0,0
2095,0,0,2.129,0.235,1.525,0,0,0,0
