LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
5001,5001,0,5002,5001,5002,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5002,5002,5001,5003,5002,5003,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5003,5003,5002,5004,5003,5004,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5004,5004,5003,5005,5004,5005,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5005,5005,5004,5006,5005,5006,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5006,5006,5005,5007,5006,5007,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5007,5007,5006,5008,5007,5008,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5008,5008,5007,5009,5008,5009,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5009,5009,5008,5010,5009,5010,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5010,5010,5009,5011,5010,5011,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5011,5011,5010,5012,5011,5012,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5012,5012,5011,5013,5012,5013,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5013,5013,5012,5014,5013,5014,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5014,5014,5013,5015,5014,5015,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5015,5015,5014,5016,5015,5016,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5016,5016,5015,5017,5016,5017,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5017,5017,5016,5018,5017,5018,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
5018,5018,5017,5019,5018,5019,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
