PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
101,0,0,-0.568,0.052,0.042,0,0,0,0
102,0,0,-0.604,0.055,0.098,0,0,0,0
103,0,0,-0.55,0.055,0.172,0,0,0,0
104,0,0,-0.581,0.05,0.215,0,0,0,0
105,0,0,-0.496,0.054,0.305,0,0,0,0
106,0,0,-0.639,0.035,0.405,0,0,0,0
107,0,0,-0.664,0.036,0.51,0,0,0,0
108,0,0,-0.649,0.038,0.611,0,0,0,0
109,0,0,-0.681,0.02,0.732,0,0,0,0
110,0,0,-0.643,0.018,0.832,0,0,0,0
111,0,0,-0.514,0.033,0.916,0,0,0,0
112,0,0,-0.487,0.036,1.027,0,0,0,0
113,0,0,-0.493,0.044,1.132,0,0,0,0
114,0,0,-0.683,0.041,1.264,0,0,0,0
115,0,0,-0.611,0.046,1.358,0,0,0,0
116,0,0,-0.625,0.027,1.462,0,0,0,0
117,0,0,-0.577,0.028,1.561,0,0,0,0
118,0,0,-0.574,0.017,1.649,0,0,0,0
119,0,0,-0.559,0.036,1.786,0,0,0,0
120,0,0,-0.522,0.03,1.93,0,0,0,0
121,0,0,-0.647,0.051,2.175,0,0,0,0
122,0,0,-0.644,0.063,2.409,0,0,0,0
123,0,0,-0.702,0.039,2.675,0,0,0,0
124,0,0,-0.64,0.042,2.971,0,0,0,0
125,0,0,-0.484,0.028,3.232,0,0,0,0
126,0,0,-0.469,0.01,3.516,0,0,0,0
127,0,0,-0.487,0.021,3.88,0,0,0,0
128,0,0,-0.427,0.032,4.201,0,0,0,0
129,0,0,-0.358,0.016,4.538,0,0,0,0
130,0,0,-0.279,0.028,4.888,0,0,0,0
131,0,0,-0.328,0.024,5.237,0,0,0,0
132,0,0,-0.334,0.025,5.613,0,0,0,0
133,0,0,-0.201,0.045,5.932,0,0,0,0
134,0,0,-0.2,0.018,6.265,0,0,0,0
135,0,0,-0.185,0.017,6.649,0,0,0,0
136,0,0,-0.039,0.032,7.029,0,0,0,0
137,0,0,-0.164,-0.004,7.409,0,0,0,0
138,0,0,-0.131,0.035,7.812,0,0,0,0
139,0,0,-0.104,0.026,8.177,0,0,0,0
140,0,0,-0.037,0.018,8.513,0,0,0,0
141,0,0,0.076,0.014,8.912,0,0,0,0
142,0,0,0.362,-0.005,9.345,0,0,0,0
143,0,0,0.414,-0.017,9.786,0,0,0,0
144,0,0,0.493,0.014,10.267,0,0,0,0
145,0,0,0.596,-0.023,10.663,0,0,0,0
146,0,0,0.573,0.0,11.137,0,0,0,0
147,0,0,0.595,-0.033,11.563,0,0,0,0
148,0,0,0.575,0.0,12.103,0,0,0,0
149,0,0,0.605,-0.013,12.676,0,0,0,0
150,0,0,0.595,-0.028,13.17,0,0,0,0
151,0,0,0.549,-0.024,13.756,0,0,0,0
152,0,0,0.556,-0.017,14.298,0,0,0,0
153,0,0,0.552,-0.018,14.857,0,0,0,0
154,0,0,0.549,-0.009,15.45,0,0,0,0
155,0,0,0.535,0.005,16.034,0,0,0,0
156,0,0,0.488,-0.003,16.547,0,0,0,0
157,0,0,0.498,0.01,17.082,0,0,0,0
158,0,0,0.541,-0.02,17.748,0,0,0,0
159,0,0,0.553,-0.009,18.384,0,0,0,0
160,0,0,0.523,-0.015,19.032,0,0,0,0
161,0,0,0.625,-0.034,19.692,0,0,0,0
162,0,0,0.494,0.0,20.37,0,0,0,0
163,0,0,0.542,0.001,21.002,0,0,0,0
164,0,0,0.43,-0.01,21.608,0,0,0,0
165,0,0,0.578,-0.006,22.257,0,0,0,0
166,0,0,0.411,0.0,22.941,0,0,0,0
167,0,0,0.712,-0.032,23.646,0,0,0,0
168,0,0,0.515,-0.028,24.392,0,0,0,0
169,0,0,0.639,-0.02,25.084,0,0,0,0
170,0,0,0.535,-0.02,25.827,0,0,0,0
171,0,0,0.55,-0.012,26.51,0,0,0,0
172,0,0,0.421,-0.035,27.22,0,0,0,0
173,0,0,0.371,-0.056,27.961,0,0,0,0
174,0,0,0.279,-0.067,28.657,0,0,0,0
175,0,0,0.253,-0.048,29.373,0,0,0,0
176,0,0,0.278,-0.053,30.067,0,0,0,0
177,0,0,0.278,-0.065,30.842,0,0,0,0
178,0,0,0.359,-0.061,31.538,0,0,0,0
179,0,0,0.217,-0.047,32.222,0,0,0,0
180,0,0,0.168,-0.077,32.963,0,0,0,0
181,0,0,0.223,-0.064,33.741,0,0,0,0
182,0,0,0.288,-0.067,34.463,0,0,0,0
183,0,0,0.366,-0.063,35.263,0,0,0,0
184,0,0,0.278,-0.057,36.019,0,0,0,0
185,0,0,0.237,-0.073,36.792,0,0,0,0
186,0,0,0.296,-0.059,37.612,0,0,0,0
187,0,0,0.396,-0.066,38.385,0,0,0,0
188,0,0,0.393,-0.079,39.126,0,0,0,0
189,0,0,0.329,-0.059,39.846,0,0,0,0
190,0,0,0.42,-0.076,40.623,0,0,0,0
191,0,0,0.382,-0.064,41.328,0,0,0,0
192,0,0,0.37,-0.056,42.094,0,0,0,0
193,0,0,0.51,-0.069,42.818,0,0,0,0
194,0,0,0.276,-0.087,43.638,0,0,0,0
195,0,0,0.576,-0.073,44.397,0,0,0,0
196,0,0,0.596,-0.069,45.11,0,0,0,0
197,0,0,0.488,-0.055,45.85,0,0,0,0
198,0,0,0.75,-0.065,46.606,0,0,0,0
199,0,0,0.924,-0.07,47.272,0,0,0,0
200,0,0,0.63,-0.058,48.029,0,0,0,0
201,0,0,0.793,-0.082,48.754,0,0,0,0
202,0,0,0.427,-0.103,49.52,0,0,0,0
203,0,0,0.422,-0.083,50.289,0,0,0,0
204,0,0,0.451,-0.086,51.075,0,0,0,0
205,0,0,0.475,-0.074,51.723,0,0,0,0
206,0,0,0.385,-0.097,52.5,0,0,0,0
207,0,0,0.528,-0.089,53.253,0,0,0,0
208,0,0,0.452,-0.061,53.972,0,0,0,0
209,0,0,0.371,-0.088,54.737,0,0,0,0
210,0,0,0.301,-0.064,55.422,0,0,0,0
211,0,0,0.358,-0.059,56.183,0,0,0,0
212,0,0,0.371,-0.064,56.934,0,0,0,0
213,0,0,0.423,-0.047,57.651,0,0,0,0
214,0,0,0.376,-0.06,58.342,0,0,0,0
215,0,0,0.484,-0.057,59.109,0,0,0,0
216,0,0,0.384,-0.051,59.808,0,0,0,0
217,0,0,0.432,-0.063,60.539,0,0,0,0
218,0,0,0.295,-0.063,61.284,0,0,0,0
219,0,0,0.339,-0.07,61.996,0,0,0,0
220,0,0,0.258,-0.087,62.726,0,0,0,0
221,0,0,0.208,-0.079,63.421,0,0,0,0
222,0,0,0.111,-0.079,64.177,0,0,0,0
223,0,0,0.232,-0.077,64.874,0,0,0,0
224,0,0,0.216,-0.089,65.584,0,0,0,0
225,0,0,0.229,-0.084,66.307,0,0,0,0
226,0,0,0.298,-0.092,67.018,0,0,0,0
227,0,0,0.267,-0.089,67.694,0,0,0,0
228,0,0,0.285,-0.107,68.454,0,0,0,0
229,0,0,0.247,-0.089,69.163,0,0,0,0
230,0,0,0.256,-0.099,69.838,0,0,0,0
231,0,0,0.264,-0.082,70.546,0,0,0,0
232,0,0,0.3,-0.096,71.268,0,0,0,0
233,0,0,0.277,-0.086,71.982,0,0,0,0
234,0,0,0.25,-0.103,72.702,0,0,0,0
235,0,0,0.258,-0.09,73.346,0,0,0,0
236,0,0,0.217,-0.088,74.034,0,0,0,0
237,0,0,0.243,-0.091,74.744,0,0,0,0
238,0,0,0.259,-0.097,75.453,0,0,0,0
239,0,0,0.273,-0.106,76.146,0,0,0,0
240,0,0,0.278,-0.096,76.897,0,0,0,0
241,0,0,0.267,-0.105,77.641,0,0,0,0
242,0,0,0.307,-0.108,78.403,0,0,0,0
243,0,0,0.279,-0.103,79.186,0,0,0,0
244,0,0,0.299,-0.098,79.907,0,0,0,0
245,0,0,0.31,-0.106,80.694,0,0,0,0
246,0,0,0.257,-0.101,81.391,0,0,0,0
247,0,0,0.344,-0.087,82.075,0,0,0,0
248,0,0,0.322,-0.109,82.909,0,0,0,0
249,0,0,0.331,-0.088,83.615,0,0,0,0
250,0,0,0.382,-0.114,84.369,0,0,0,0
251,0,0,0.408,-0.114,85.095,0,0,0,0
252,0,0,0.452,-0.118,85.81,0,0,0,0
253,0,0,0.461,-0.106,86.579,0,0,0,0
254,0,0,0.497,-0.125,87.341,0,0,0,0
255,0,0,0.485,-0.114,88.043,0,0,0,0
256,0,0,0.494,-0.121,88.767,0,0,0,0
257,0,0,0.472,-0.117,89.449,0,0,0,0
258,0,0,0.52,-0.108,90.23,0,0,0,0
259,0,0,0.489,-0.112,90.95,0,0,0,0
260,0,0,0.451,-0.115,91.649,0,0,0,0
261,0,0,0.511,-0.103,92.373,0,0,0,0
262,0,0,0.481,-0.114,93.098,0,0,0,0
263,0,0,0.5,-0.109,93.779,0,0,0,0
264,0,0,0.508,-0.114,94.489,0,0,0,0
265,0,0,0.457,-0.116,95.241,0,0,0,0
266,0,0,0.513,-0.117,95.951,0,0,0,0
267,0,0,0.54,-0.127,96.705,0,0,0,0
268,0,0,0.521,-0.126,97.437,0,0,0,0
