PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,1.572,1.12,2.428,0,0,0,0
10002,0,0,1.583,2.137,2.365,0,0,0,0
10003,0,0,1.6,3.271,2.448,0,0,0,0
10004,0,0,1.642,4.31,2.517,0,0,0,0
10005,0,0,1.672,5.465,2.698,0,0,0,0
10006,0,0,1.748,7.578,2.993,0,0,0,0
10007,0,0,1.774,9.678,3.643,0,0,0,0
10008,0,0,1.858,10.775,4.067,0,0,0,0
10009,0,0,1.889,11.924,4.579,0,0,0,0
10010,0,0,1.883,12.993,5.211,0,0,0,0
10011,0,0,1.996,14.029,5.92,0,0,0,0
10012,0,0,1.902,14.969,6.821,0,0,0,0
10013,0,0,1.912,15.924,7.738,0,0,0,0
10014,0,0,1.895,16.706,8.808,0,0,0,0
10015,0,0,1.888,17.403,9.859,0,0,0,0
10016,0,0,1.932,18.027,11.056,0,0,0,0
10017,0,0,1.943,18.422,12.254,0,0,0,0
10018,0,0,1.979,18.802,13.519,0,0,0,0
10019,0,0,2.011,19.071,14.743,0,0,0,0
10020,0,0,2.071,19.133,15.984,0,0,0,0
10021,0,0,2.067,19.16,17.203,0,0,0,0
10022,0,0,2.038,19.096,18.427,0,0,0,0
10023,0,0,2.068,19.012,19.608,0,0,0,0
10024,0,0,2.167,19.0,20.746,0,0,0,0
10025,0,0,2.15,19.126,23.132,0,0,0,0
10026,0,0,2.109,19.379,24.394,0,0,0,0
10027,0,0,2.092,19.862,25.546,0,0,0,0
10028,0,0,2.075,20.436,26.405,0,0,0,0
10029,0,0,1.989,21.208,27.032,0,0,0,0
10030,0,0,2.033,22.132,27.509,0,0,0,0
10031,0,0,2.015,23.253,27.705,0,0,0,0
10032,0,0,1.967,24.395,27.775,0,0,0,0
10033,0,0,1.8,25.616,27.763,0,0,0,0
10034,0,0,1.589,27.934,27.189,0,0,0,0
10035,0,0,1.532,28.847,26.771,0,0,0,0
10036,0,0,1.527,29.756,26.294,0,0,0,0
10037,0,0,1.52,30.611,25.709,0,0,0,0
10038,0,0,1.486,32.28,24.357,0,0,0,0
10039,0,0,1.489,33.143,23.665,0,0,0,0
10040,0,0,1.465,33.996,22.892,0,0,0,0
10041,0,0,1.42,34.812,22.071,0,0,0,0
10042,0,0,1.42,35.636,21.205,0,0,0,0
10043,0,0,1.426,36.388,20.396,0,0,0,0
10044,0,0,1.383,37.225,19.55,0,0,0,0
10045,0,0,1.378,37.977,18.718,0,0,0,0
10046,0,0,1.329,38.702,17.899,0,0,0,0
10047,0,0,1.342,39.39,17.139,0,0,0,0
