PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,1.697,-1.233,5.097,0,0,0,0
2,0,0,1.715,-0.726,5.971,0,0,0,0
3,0,0,1.733,-0.209,6.855,0,0,0,0
4,0,0,1.722,0.33,7.732,0,0,0,0
5,0,0,1.694,0.857,8.611,0,0,0,0
6,0,0,1.715,1.398,9.577,0,0,0,0
7,0,0,1.741,2.023,10.505,0,0,0,0
8,0,0,1.756,2.621,11.44,0,0,0,0
9,0,0,1.735,3.203,12.397,0,0,0,0
10,0,0,1.758,3.817,13.373,0,0,0,0
11,0,0,1.654,4.405,14.304,0,0,0,0
12,0,0,1.716,4.973,15.238,0,0,0,0
13,0,0,1.841,5.54,16.155,0,0,0,0
14,0,0,1.752,6.085,17.018,0,0,0,0
15,0,0,1.833,6.607,17.866,0,0,0,0
16,0,0,1.76,7.151,18.749,0,0,0,0
17,0,0,1.771,7.716,19.712,0,0,0,0
18,0,0,1.823,8.306,20.555,0,0,0,0
19,0,0,1.813,8.832,21.471,0,0,0,0
20,0,0,1.864,9.428,22.314,0,0,0,0
21,0,0,1.88,9.979,23.213,0,0,0,0
22,0,0,1.856,10.575,24.109,0,0,0,0
23,0,0,1.907,11.164,25.02,0,0,0,0
24,0,0,1.986,11.876,26.066,0,0,0,0
25,0,0,1.999,12.408,26.915,0,0,0,0
26,0,0,1.964,12.975,27.757,0,0,0,0
27,0,0,1.975,13.55,28.655,0,0,0,0
28,0,0,1.979,14.128,29.499,0,0,0,0
29,0,0,2.006,14.773,30.351,0,0,0,0
30,0,0,2.067,15.43,31.166,0,0,0,0
31,0,0,2.087,16.239,31.907,0,0,0,0
32,0,0,2.103,17.112,32.579,0,0,0,0
33,0,0,2.117,18.098,33.03,0,0,0,0
34,0,0,2.223,19.103,33.305,0,0,0,0
35,0,0,2.205,20.098,33.422,0,0,0,0
36,0,0,2.133,21.103,33.397,0,0,0,0
37,0,0,1.991,22.222,33.207,0,0,0,0
38,0,0,1.9,23.426,32.834,0,0,0,0
39,0,0,1.83,24.339,32.273,0,0,0,0
40,0,0,1.791,25.212,31.572,0,0,0,0
41,0,0,1.73,25.999,30.945,0,0,0,0
42,0,0,1.732,26.751,30.292,0,0,0,0
43,0,0,1.629,27.511,29.559,0,0,0,0
44,0,0,1.685,28.287,28.86,0,0,0,0
45,0,0,1.65,29.101,28.126,0,0,0,0
46,0,0,1.58,29.91,27.404,0,0,0,0
47,0,0,1.565,30.715,26.664,0,0,0,0
48,0,0,1.482,31.541,25.909,0,0,0,0
49,0,0,1.439,32.392,25.126,0,0,0,0
50,0,0,1.465,33.208,24.348,0,0,0,0
51,0,0,1.399,33.936,23.639,0,0,0,0
52,0,0,1.393,34.657,22.952,0,0,0,0
53,0,0,1.425,35.462,22.138,0,0,0,0
54,0,0,1.413,36.177,21.427,0,0,0,0
55,0,0,1.443,36.87,20.705,0,0,0,0
56,0,0,1.427,37.665,19.908,0,0,0,0
57,0,0,1.438,38.386,19.18,0,0,0,0
58,0,0,1.456,39.068,18.458,0,0,0,0
59,0,0,1.469,39.78,17.75,0,0,0,0
60,0,0,1.435,40.534,16.956,0,0,0,0
61,0,0,1.411,41.243,16.218,0,0,0,0
62,0,0,1.381,42.023,15.353,0,0,0,0
63,0,0,1.487,42.741,14.556,0,0,0,0
64,0,0,1.463,43.553,13.725,0,0,0,0
65,0,0,1.545,44.271,12.958,0,0,0,0
66,0,0,1.563,44.972,12.132,0,0,0,0
67,0,0,1.566,45.57,11.336,0,0,0,0
68,0,0,1.531,46.115,10.449,0,0,0,0
69,0,0,1.557,46.457,9.458,0,0,0,0
70,0,0,1.449,46.661,8.404,0,0,0,0
71,0,0,1.235,46.697,7.414,0,0,0,0
72,0,0,1.162,46.518,6.333,0,0,0,0
73,0,0,1.232,46.087,5.402,0,0,0,0
74,0,0,1.48,45.581,4.51,0,0,0,0
75,0,0,1.312,45.067,3.623,0,0,0,0
76,0,0,0.987,44.541,2.806,0,0,0,0
77,0,0,1.292,43.859,1.958,0,0,0,0
78,0,0,1.48,43.147,1.049,0,0,0,0
79,0,0,1.213,42.591,0.168,0,0,0,0
80,0,0,1.286,41.996,-0.639,0,0,0,0
81,0,0,0.908,41.404,-1.549,0,0,0,0
82,0,0,0.856,40.781,-2.395,0,0,0,0
83,0,0,0.659,40.192,-3.258,0,0,0,0
84,0,0,0.199,39.707,-4.056,0,0,0,0
85,0,0,0.577,39.082,-4.805,0,0,0,0
86,0,0,0.064,38.598,-5.523,0,0,0,0
87,0,0,-0.184,38.046,-6.328,0,0,0,0
88,0,0,-0.328,37.466,-7.235,0,0,0,0
89,0,0,-0.27,36.789,-8.013,0,0,0,0
90,0,0,-0.378,36.234,-8.845,0,0,0,0
91,0,0,-0.492,35.539,-9.753,0,0,0,0
92,0,0,-0.838,34.825,-10.65,0,0,0,0
93,0,0,-0.801,34.148,-11.479,0,0,0,0
94,0,0,-0.251,33.481,-12.199,0,0,0,0
95,0,0,0.159,32.608,-12.782,0,0,0,0
96,0,0,0.861,31.882,-13.032,0,0,0,0
97,0,0,0.701,30.961,-13.579,0,0,0,0
98,0,0,-0.602,30.418,-13.813,0,0,0,0
99,0,0,0.587,30.866,-13.505,0,0,0,0
100,0,0,1.505,30.484,-13.776,0,0,0,0
101,0,0,2.545,30.095,-14.13,0,0,0,0
102,0,0,1.779,29.243,-14.294,0,0,0,0
103,0,0,1.779,28.176,-14.364,0,0,0,0
104,0,0,1.675,27.152,-14.31,0,0,0,0
105,0,0,1.518,26.239,-13.89,0,0,0,0
106,0,0,1.16,25.378,-13.538,0,0,0,0
107,0,0,1.047,24.388,-13.142,0,0,0,0
108,0,0,1.256,23.456,-12.686,0,0,0,0
109,0,0,1.28,22.527,-12.152,0,0,0,0
110,0,0,1.019,21.5,-11.665,0,0,0,0
111,0,0,1.04,20.603,-11.07,0,0,0,0
112,0,0,1.156,19.583,-10.676,0,0,0,0
113,0,0,1.325,18.676,-10.152,0,0,0,0
114,0,0,1.476,17.764,-9.707,0,0,0,0
115,0,0,1.451,16.816,-9.221,0,0,0,0
116,0,0,1.35,15.866,-8.732,0,0,0,0
117,0,0,1.749,15.028,-8.342,0,0,0,0
118,0,0,1.738,14.113,-7.844,0,0,0,0
119,0,0,1.824,13.188,-7.396,0,0,0,0
120,0,0,1.698,12.463,-6.928,0,0,0,0
