DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,0.5973350513732633,0,90000000000,0,0,2,2
10002,1,10002,0.5973350513732633,0,90000000000,0,0,2,2
10003,2,10003,0.570234941423332,0,-36.90021929237729,0,0,2,2
10004,3,10004,0.5361887046499892,0,-29.371821815648435,0,0,2,2
10005,4,10005,0.5443762778081469,0,122.1363132497514,0,0,2,2
10006,5,10006,0.5072000561412546,0,-26.898914283442686,0,0,2,2
10007,6,10007,0.5775621324749752,0,14.212201403169168,0,0,2,2
10008,7,10008,0.5682555057454844,0,-107.45031782903742,0,0,2,2
10009,8,10009,0.5333324967817215,0,-28.63441695524076,0,0,2,2
10010,9,10010,0.5698830803402727,0,27.359344301523304,0,0,2,2
10011,10,10011,0.543735813390757,0,-38.244914924790045,0,0,2,2
10012,11,10012,0.5820296024275843,0,26.113895364031425,0,0,2,2
10013,12,10013,0.6038184832358028,0,45.894968576027644,0,0,2,2
10014,13,10014,0.653096677147164,0,20.292951519261077,0,0,2,2
10015,14,10015,0.7120955951294965,0,16.949463383370098,0,0,2,2
10016,15,10016,0.7847659477488338,0,13.760769886974566,0,0,2,2
10017,16,10017,0.840389669346348,0,17.977941268221258,0,0,2,2
10018,17,10018,0.9211323172333806,0,12.385028558873913,0,0,2,2
10019,18,10019,0.9366487253212714,0,64.44790536157743,0,0,2,2
10020,19,10020,1.1249078675552036,0,5.311827028072788,0,0,2,2
10021,20,10021,1.0858050568869488,0,-25.573609234485065,0,0,2,2
10022,21,10022,1.268497763255632,0,5.473672265722251,0,0,2,2
10023,22,10023,1.3035561860162983,0,28.523815997847674,0,0,2,2
10024,23,10024,1.3599861142329503,0,17.721092895257442,0,0,2,2
10025,24,10025,1.474555484468235,0,8.728336360288592,0,0,2,2
10026,25,10026,1.4855242557129091,0,91.16791459075608,0,0,2,2
10027,26,10027,1.538519917030462,0,18.869469219526223,0,0,2,2
10028,27,10028,1.5633528242501278,0,40.269147351707375,0,0,2,2
10029,28,10029,1.697940136067755,0,7.430120911806688,0,0,2,2
10030,29,10030,1.672415988917637,0,-39.178586227331714,0,0,2,2
10031,30,10031,1.759173556643255,0,11.526372006677631,0,0,2,2
10032,31,10032,1.8405871320320841,0,12.282963808234989,0,0,2,2
10033,32,10033,1.8935852571758538,0,18.868591998061607,0,0,2,2
10034,33,10034,1.976227569733757,0,12.10033902789629,0,0,2,2
10035,34,10035,2.0174457823582452,0,24.26111993526591,0,0,2,2
10036,35,10036,2.099587855483322,0,12.174029239282909,0,0,2,2
10037,36,10037,2.1807522769375423,0,12.32066935343139,0,0,2,2
10038,37,10038,2.2754422728113917,0,10.560777733396971,0,0,2,2
10039,38,10039,2.292376679339103,0,59.05137557454983,0,0,2,2
10040,39,10040,2.3130416548170536,0,48.39105669721224,0,0,2,2
10041,40,10041,2.325972018409969,0,77.3373457609435,0,0,2,2
10042,41,10042,2.2618184594191266,0,-15.587599748639796,0,0,2,2
10043,42,10043,2.3484834225514453,0,11.538688344829922,0,0,2,2
10044,43,10044,2.307596436634985,0,-24.45766000074405,0,0,2,2
10045,44,10045,2.3115919921156594,0,250.27809145355116,0,0,2,2
10046,45,10046,2.2912433205377023,0,-49.14325714919209,0,0,2,2
10047,46,10047,2.337692862538938,0,21.528737570187314,0,0,2,2
10048,47,10048,2.2253263190969936,0,-8.899446128434676,0,0,2,2
10049,48,10049,2.243252491971537,0,55.78435547835697,0,0,2,2
10050,49,10050,2.197697242954766,0,-21.951367220753284,0,0,2,2
