LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
10001,10001,0,10002,10001,10002,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10002,10002,10001,10003,10002,10003,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10003,10003,10002,10004,10003,10004,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10004,10004,10003,10005,10004,10005,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10005,10005,10004,10006,10005,10006,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10006,10006,10005,10007,10006,10007,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10007,10007,10006,10008,10007,10008,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10008,10008,10007,10009,10008,10009,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10009,10009,10008,10010,10009,10010,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10010,10010,10009,10011,10010,10011,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10011,10011,10010,10012,10011,10012,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10012,10012,10011,10013,10012,10013,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10013,10013,10012,10014,10013,10014,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10014,10014,10013,10015,10014,10015,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10015,10015,10014,10016,10015,10016,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10016,10016,10015,10017,10016,10017,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10017,10017,10016,10018,10017,10018,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10018,10018,10017,10019,10018,10019,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10019,10019,10018,10020,10019,10020,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10020,10020,10019,10021,10020,10021,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10021,10021,10020,10022,10021,10022,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10022,10022,10021,10023,10022,10023,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10023,10023,10022,10024,10023,10024,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10024,10024,10023,10025,10024,10025,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10025,10025,10024,10026,10025,10026,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10026,10026,10025,10027,10026,10027,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10027,10027,10026,10028,10027,10028,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10028,10028,10027,10029,10028,10029,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10029,10029,10028,10030,10029,10030,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10030,10030,10029,10031,10030,10031,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10031,10031,10030,10032,10031,10032,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10032,10032,10031,10033,10032,10033,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10033,10033,10032,10034,10033,10034,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10034,10034,10033,10035,10034,10035,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10035,10035,10034,10036,10035,10036,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10036,10036,10035,10037,10036,10037,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10037,10037,10036,10038,10037,10038,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10038,10038,10037,10039,10038,10039,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10039,10039,10038,10040,10039,10040,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10040,10040,10039,10041,10040,10041,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10041,10041,10040,10042,10041,10042,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10042,10042,10041,10043,10042,10043,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10043,10043,10042,10044,10043,10044,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10044,10044,10043,10045,10044,10045,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10045,10045,10044,10046,10045,10046,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10046,10046,10045,10047,10046,10047,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10047,10047,10046,10048,10047,10048,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10048,10048,10047,10049,10048,10049,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
10049,10049,10048,0,10049,10050,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
