PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,1.845,3.711,4.03,0,0,0,0
10002,0,0,1.859,4.294,4.887,0,0,0,0
10003,0,0,1.826,4.897,5.828,0,0,0,0
10004,0,0,1.83,5.455,6.767,0,0,0,0
10005,0,0,1.838,5.993,7.655,0,0,0,0
10006,0,0,1.8,6.542,8.643,0,0,0,0
10007,0,0,1.806,7.171,9.609,0,0,0,0
10008,0,0,1.768,7.721,10.469,0,0,0,0
10009,0,0,1.799,8.336,11.511,0,0,0,0
10010,0,0,1.819,8.905,12.398,0,0,0,0
10011,0,0,1.846,9.439,13.282,0,0,0,0
10012,0,0,1.793,10.013,14.154,0,0,0,0
10013,0,0,1.792,10.613,15.024,0,0,0,0
10014,0,0,1.787,11.249,15.856,0,0,0,0
10015,0,0,1.803,11.915,16.627,0,0,0,0
10016,0,0,1.839,12.656,17.369,0,0,0,0
10017,0,0,1.827,13.449,18.079,0,0,0,0
10018,0,0,1.824,14.276,18.708,0,0,0,0
10019,0,0,1.821,15.163,19.36,0,0,0,0
10020,0,0,1.861,16.175,19.844,0,0,0,0
10021,0,0,1.751,17.206,20.387,0,0,0,0
10022,0,0,1.895,18.304,20.729,0,0,0,0
10023,0,0,1.86,19.428,21.037,0,0,0,0
10024,0,0,1.881,20.599,21.288,0,0,0,0
10025,0,0,1.792,22.748,21.495,0,0,0,0
10026,0,0,1.758,23.935,21.597,0,0,0,0
10027,0,0,1.688,25.13,21.635,0,0,0,0
10028,0,0,1.516,26.366,21.645,0,0,0,0
10029,0,0,1.414,27.55,21.493,0,0,0,0
10030,0,0,1.342,28.696,21.376,0,0,0,0
10031,0,0,1.268,29.906,21.146,0,0,0,0
10032,0,0,1.184,31.07,20.824,0,0,0,0
10033,0,0,1.157,32.202,20.445,0,0,0,0
10034,0,0,1.13,33.359,19.948,0,0,0,0
10035,0,0,1.13,34.399,19.45,0,0,0,0
10036,0,0,1.107,35.393,18.87,0,0,0,0
10037,0,0,1.188,36.311,18.228,0,0,0,0
10038,0,0,1.142,37.172,17.496,0,0,0,0
10039,0,0,1.125,38.073,16.703,0,0,0,0
10040,0,0,1.135,38.869,15.973,0,0,0,0
10041,0,0,1.145,39.648,15.24,0,0,0,0
10042,0,0,1.118,40.482,14.55,0,0,0,0
10043,0,0,1.145,41.239,13.805,0,0,0,0
10044,0,0,1.148,42.035,13.082,0,0,0,0
10045,0,0,1.199,42.949,12.246,0,0,0,0
10046,0,0,1.172,43.695,11.591,0,0,0,0
10047,0,0,1.285,44.578,10.741,0,0,0,0
10048,0,0,1.257,45.437,10.082,0,0,0,0
10049,0,0,1.283,46.239,9.443,0,0,0,0
10050,0,0,1.322,46.601,9.181,0,0,0,0
