DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,2.386765780158964,0,90000000000,0,0,2,2
10002,1,10002,2.386765780158964,0,90000000000,0,0,2,2
10003,2,10003,2.393765362033438,0,142.86567654088046,0,0,2,2
10004,3,10004,2.443075884585331,0,20.279647187831504,0,0,2,2
10005,4,10005,2.405264744416048,0,-26.447232099400765,0,0,2,2
10006,5,10006,2.342377007828881,0,-15.901351428253808,0,0,2,2
10007,6,10007,2.3955657689421375,0,18.800964321591735,0,0,2,2
10008,7,10008,2.4382156869320557,0,23.44670393589934,0,0,2,2
10009,8,10009,2.3896563560320496,0,-20.59336447734857,0,0,2,2
10010,9,10010,2.4992272396338406,0,9.126512145637696,0,0,2,2
10011,10,10011,2.367861547444328,0,-7.612337615192303,0,0,2,2
10012,11,10012,2.4140771685780624,0,21.637705508842902,0,0,2,2
10013,12,10013,2.3837366528183033,0,-32.95922877244912,0,0,2,2
10014,13,10014,2.452403354598978,0,14.563099348998218,0,0,2,2
10015,14,10015,2.417865564693907,0,-28.953792432826653,0,0,2,2
10016,15,10016,2.427712134006287,0,101.55821467104454,0,0,2,2
10017,16,10017,2.3917090551168863,0,-27.775402294674223,0,0,2,2
10018,17,10018,2.4295817765904033,0,26.404228719060015,0,0,2,2
10019,18,10019,2.467632392865482,0,26.28078328011082,0,0,2,2
10020,19,10020,2.4209222322746244,0,-21.408618325232812,0,0,2,2
10021,20,10021,2.4343583221895075,0,74.42641470360394,0,0,2,2
10022,21,10022,2.4604867783344604,0,38.27244879882299,0,0,2,2
10023,22,10023,2.426631344954217,0,-29.537356345985017,0,0,2,2
10024,23,10024,2.40426663315214,0,-44.71329694966674,0,0,2,2
10025,24,10025,2.513493872583989,0,9.155225429128746,0,0,2,2
10026,25,10026,2.4138463451311734,0,-10.035371931064844,0,0,2,2
10027,26,10027,2.471189215073755,0,17.438959734685664,0,0,2,2
10028,27,10028,2.487817024825765,0,60.14021178460468,0,0,2,2
10029,28,10029,2.43169263731122,0,-17.817566378623628,0,0,2,2
10030,29,10030,2.478483225835545,0,21.37181923839517,0,0,2,2
10031,30,10031,2.4046050306525037,0,-13.53579357917975,0,0,2,2
10032,31,10032,2.4342423802591977,0,33.741208754177464,0,0,2,2
10033,32,10033,2.430914616754956,0,-300.5021236411073,0,0,2,2
10034,33,10034,2.503469085650174,0,13.782748536746704,0,0,2,2
