PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,2.327,22.878,35.195,0,0,0,0
10002,0,0,2.212,23.604,34.423,0,0,0,0
10003,0,0,2.149,24.377,33.589,0,0,0,0
10004,0,0,2.086,25.034,32.807,0,0,0,0
10005,0,0,2.027,25.775,31.99,0,0,0,0
10006,0,0,1.939,26.651,31.138,0,0,0,0
10007,0,0,1.86,27.336,30.396,0,0,0,0
10008,0,0,1.812,28.077,29.522,0,0,0,0
10009,0,0,1.75,28.845,28.701,0,0,0,0
10010,0,0,1.723,29.553,27.755,0,0,0,0
10011,0,0,1.651,30.362,26.927,0,0,0,0
10012,0,0,1.621,31.074,26.128,0,0,0,0
10013,0,0,1.595,31.849,25.309,0,0,0,0
10014,0,0,1.537,32.517,24.498,0,0,0,0
10015,0,0,1.492,33.226,23.695,0,0,0,0
10016,0,0,1.461,33.895,22.924,0,0,0,0
10017,0,0,1.44,34.59,22.177,0,0,0,0
10018,0,0,1.376,35.273,21.386,0,0,0,0
10019,0,0,1.355,35.97,20.513,0,0,0,0
10020,0,0,1.375,36.626,19.767,0,0,0,0
10021,0,0,1.324,37.343,18.927,0,0,0,0
10022,0,0,1.288,38.007,18.108,0,0,0,0
10023,0,0,1.295,38.707,17.302,0,0,0,0
10024,0,0,1.237,39.403,16.536,0,0,0,0
10025,0,0,1.275,40.057,15.635,0,0,0,0
10026,0,0,1.279,40.76,14.845,0,0,0,0
10027,0,0,1.281,41.418,14.015,0,0,0,0
10028,0,0,1.272,42.081,13.15,0,0,0,0
10029,0,0,1.25,42.759,12.362,0,0,0,0
10030,0,0,1.194,43.401,11.54,0,0,0,0
10031,0,0,1.227,44.121,10.747,0,0,0,0
10032,0,0,1.207,44.828,9.92,0,0,0,0
10033,0,0,1.273,45.517,9.119,0,0,0,0
10034,0,0,1.224,46.113,8.315,0,0,0,0
