DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
9001,0,9001,0.46598352856507913,0,90000000000,0,0,2,2
9002,1,9002,0.46598352856507913,0,90000000000,0,0,2,2
9003,2,9003,0.3259099847714939,0,-7.139106878552435,0,0,2,2
9004,3,9004,0.3731565285597311,0,21.16556936909673,0,0,2,2
9005,4,9005,0.7630266811822507,0,2.564956545848281,0,0,2,2
9006,5,9006,0.43461194125534924,0,-3.044930322623704,0,0,2,2
9007,6,9007,0.38100434370743985,0,-18.65407229089673,0,0,2,2
9008,7,9008,0.9666660894036928,0,1.7074702374681632,0,0,2,2
9009,8,9009,0.6242526854491314,0,-2.920446420761907,0,0,2,2
9010,9,9010,0.6051827839141767,0,-52.43865565677007,0,0,2,2
9011,10,9011,0.30874734480652116,0,-3.373415820356193,0,0,2,2
9012,11,9012,0.5422883202866711,0,4.281903841259737,0,0,2,2
9013,12,9013,0.7090415374774979,0,5.996885798344948,0,0,2,2
9014,13,9014,0.5308072747623118,0,-5.610593523187936,0,0,2,2
9015,14,9015,0.4775137826985176,0,-18.764017167480105,0,0,2,2
9016,15,9016,0.5271869412141791,0,20.131596819733314,0,0,2,2
9017,16,9017,0.41996253877501866,0,-9.326235234254666,0,0,2,2
9018,17,9018,0.5980417412956353,0,5.615478875946942,0,0,2,2
9019,18,9019,0.4166832184865949,0,-5.513939926897949,0,0,2,2
9020,19,9020,0.43869725186476466,0,45.425569354848484,0,0,2,2
9021,20,9021,0.557390427043568,0,8.425084243416412,0,0,2,2
9022,21,9022,0.333831710795709,0,-4.473097791862888,0,0,2,2
9023,22,9023,0.3900607698740842,0,17.78439860795365,0,0,2,2
9024,23,9024,0.484834600726172,0,10.551435886987477,0,0,2,2
9025,24,9025,0.3783839622587256,0,-9.394025384881175,0,0,2,2
9026,25,9026,0.4112549979304671,0,30.421919466920787,0,0,2,2
9027,26,9027,0.36564793966096243,0,-21.926430643492164,0,0,2,2
9028,27,9028,0.334109659776746,0,-31.70749970103657,0,0,2,2
9029,28,9029,0.5447670999890337,0,4.747043346735159,0,0,2,2
9030,29,9030,0.36452982709914744,0,-5.54824195887017,0,0,2,2
9031,30,9031,0.2931925331892219,0,-14.017913284777187,0,0,2,2
9032,31,9032,0.5042347752324248,0,4.738387871160353,0,0,2,2
9033,32,9033,0.396008279098817,0,-9.239881505222897,0,0,2,2
9034,33,9034,0.39527368295075327,0,-1361.2921911391236,0,0,2,2
9035,34,9035,0.3011513812987961,0,-10.624474566057385,0,0,2,2
9036,35,9036,0.3283565345595116,0,36.7577418298911,0,0,2,2
9037,36,9037,0.45733552459022725,0,7.7532007326298285,0,0,2,2
9038,37,9038,0.4145510266444508,0,-23.372951606616134,0,0,2,2
9039,38,9039,0.39448049107843614,0,-49.824280807598086,0,0,2,2
9040,39,9040,0.5216875727066378,0,7.861197562277077,0,0,2,2
9041,40,9041,0.4277361801090063,0,-10.643801782510355,0,0,2,2
9042,41,9042,0.39477575368120055,0,-30.33941330189797,0,0,2,2
9043,42,9043,0.3091376296426009,0,-11.677042336299545,0,0,2,2
9044,43,9044,0.3382114218386807,0,34.39523792616348,0,0,2,2
9045,44,9045,0.3537467900887334,0,64.36924982429097,0,0,2,2
9046,45,9046,0.40964511429648676,0,17.889623958732113,0,0,2,2
9047,46,9047,0.416448599541549,0,146.98348919412567,0,0,2,2
9048,47,9048,0.23093099758389177,0,-5.390324095652343,0,0,2,2
9049,48,9049,0.5188711230327351,0,3.472944239505322,0,0,2,2
9050,49,9050,0.4534688549081922,0,-15.289989608552121,0,0,2,2
9051,50,9051,0.4326443714966731,0,-48.02039888522988,0,0,2,2
9052,51,9052,0.3238869859277851,0,-9.194777851354194,0,0,2,2
9053,52,9053,0.48000077256698775,0,6.405584167342745,0,0,2,2
9054,53,9054,0.338955313662697,0,-7.089912768326488,0,0,2,2
9055,54,9055,0.42644651845094367,0,11.429720306404297,0,0,2,2
9056,55,9056,0.4171075059476561,0,-107.07770223543183,0,0,2,2
9057,56,9057,0.3569260222474621,0,-16.61640655092019,0,0,2,2
9058,57,9058,0.4709884541678567,0,8.767128520439677,0,0,2,2
9059,58,9059,0.2716476293519395,0,-5.01653387319661,0,0,2,2
9060,59,9060,0.3761827680760868,0,9.56616131384157,0,0,2,2
9061,60,9061,0.41550582694566013,0,25.430371612666217,0,0,2,2
9062,61,9062,0.30634950018338747,0,-9.161173059422028,0,0,2,2
9063,62,9063,0.4922332223838454,0,5.379707207076448,0,0,2,2
9064,63,9064,0.2722616040283629,0,-4.546041018727979,0,0,2,2
9065,64,9065,0.32241760213456644,0,19.93779483527645,0,0,2,2
9066,65,9066,0.28990720894130495,0,-30.759394205274408,0,0,2,2
9067,66,9067,0.3930209180233022,0,9.698031512034818,0,0,2,2
9068,67,9068,0.4019080376305207,0,112.52239692911947,0,0,2,2
