PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
9001,0,0,6.994,133.868,87.063,0,0,0,0
9002,0,0,6.941,134.005,87.335,0,0,0,0
9003,0,0,6.917,134.124,87.689,0,0,0,0
9004,0,0,6.955,134.174,87.816,0,0,0,0
9005,0,0,6.918,134.332,87.982,0,0,0,0
9006,0,0,6.902,134.395,88.116,0,0,0,0
9007,0,0,6.93,134.433,88.211,0,0,0,0
9008,0,0,6.921,134.609,88.333,0,0,0,0
9009,0,0,6.917,134.699,88.459,0,0,0,0
9010,0,0,6.911,134.843,88.666,0,0,0,0
9011,0,0,6.937,134.935,88.955,0,0,0,0
9012,0,0,6.913,135.055,89.154,0,0,0,0
9013,0,0,6.921,135.252,89.384,0,0,0,0
9014,0,0,6.902,135.37,89.585,0,0,0,0
9015,0,0,6.88,135.478,89.793,0,0,0,0
9016,0,0,6.875,135.618,90.034,0,0,0,0
9017,0,0,6.878,135.705,90.229,0,0,0,0
9018,0,0,6.851,135.904,90.521,0,0,0,0
9019,0,0,6.857,135.999,90.735,0,0,0,0
9020,0,0,6.858,136.129,91.013,0,0,0,0
9021,0,0,6.864,136.322,91.322,0,0,0,0
9022,0,0,6.835,136.413,91.586,0,0,0,0
9023,0,0,6.821,136.505,91.808,0,0,0,0
9024,0,0,6.789,136.65,92.083,0,0,0,0
9025,0,0,6.765,136.746,92.327,0,0,0,0
9026,0,0,6.805,136.864,92.598,0,0,0,0
9027,0,0,6.744,136.98,92.9,0,0,0,0
9028,0,0,6.739,137.072,93.164,0,0,0,0
9029,0,0,6.762,137.264,93.482,0,0,0,0
9030,0,0,6.738,137.431,93.917,0,0,0,0
9031,0,0,6.662,137.529,94.245,0,0,0,0
9032,0,0,6.728,137.681,94.52,0,0,0,0
9033,0,0,6.701,137.832,94.88,0,0,0,0
9034,0,0,6.688,137.997,95.275,0,0,0,0
9035,0,0,6.644,138.1,95.608,0,0,0,0
9036,0,0,6.684,138.194,95.883,0,0,0,0
9037,0,0,6.648,138.387,96.276,0,0,0,0
9038,0,0,6.621,138.591,96.739,0,0,0,0
9039,0,0,6.639,138.758,97.14,0,0,0,0
