PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1450.865,0.435,0.443,0,0,0,0
2,0,0,-1450.919,0.414,1.532,0,0,0,0
3,0,0,-1450.974,0.424,2.61,0,0,0,0
4,0,0,-1451.026,0.413,3.651,0,0,0,0
5,0,0,-1451.076,0.397,4.654,0,0,0,0
6,0,0,-1451.134,0.376,5.795,0,0,0,0
7,0,0,-1451.194,0.348,7.014,0,0,0,0
8,0,0,-1451.244,0.339,8.012,0,0,0,0
9,0,0,-1451.294,0.308,9.039,0,0,0,0
10,0,0,-1451.348,0.294,10.109,0,0,0,0
11,0,0,-1451.404,0.283,11.217,0,0,0,0
12,0,0,-1451.461,0.258,12.349,0,0,0,0
13,0,0,-1451.519,0.232,13.524,0,0,0,0
14,0,0,-1451.58,0.194,14.733,0,0,0,0
15,0,0,-1451.641,0.165,15.951,0,0,0,0
16,0,0,-1451.704,0.14,17.208,0,0,0,0
17,0,0,-1451.769,0.111,18.493,0,0,0,0
18,0,0,-1451.834,0.048,19.789,0,0,0,0
19,0,0,-1451.901,0.004,21.127,0,0,0,0
20,0,0,-1451.968,-0.061,22.495,0,0,0,0
21,0,0,-1452.036,-0.135,23.868,0,0,0,0
22,0,0,-1452.107,-0.219,25.289,0,0,0,0
23,0,0,-1452.178,-0.318,26.734,0,0,0,0
24,0,0,-1452.251,-0.412,28.203,0,0,0,0
25,0,0,-1452.3,-0.491,29.195,0,0,0,0
26,0,0,-1452.349,-0.57,30.2,0,0,0,0
27,0,0,-1452.399,-0.651,31.22,0,0,0,0
28,0,0,-1452.449,-0.745,32.236,0,0,0,0
29,0,0,-1452.501,-0.834,33.29,0,0,0,0
30,0,0,-1452.552,-0.938,34.34,0,0,0,0
31,0,0,-1452.604,-1.035,35.398,0,0,0,0
32,0,0,-1452.656,-1.139,36.462,0,0,0,0
33,0,0,-1452.708,-1.243,37.541,0,0,0,0
34,0,0,-1452.762,-1.357,38.624,0,0,0,0
35,0,0,-1452.816,-1.477,39.727,0,0,0,0
36,0,0,-1452.87,-1.584,40.834,0,0,0,0
37,0,0,-1452.924,-1.705,41.951,0,0,0,0
38,0,0,-1452.979,-1.833,43.073,0,0,0,0
39,0,0,-1453.034,-1.941,44.209,0,0,0,0
40,0,0,-1453.091,-2.065,45.355,0,0,0,0
41,0,0,-1453.147,-2.182,46.51,0,0,0,0
42,0,0,-1453.203,-2.312,47.661,0,0,0,0
43,0,0,-1453.261,-2.437,48.836,0,0,0,0
44,0,0,-1453.318,-2.561,50.011,0,0,0,0
45,0,0,-1453.377,-2.688,51.199,0,0,0,0
