DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,6.263908975979788,0,90000000000,0,0,2,2
2,1,2,6.263908975979788,0,90000000000,0,0,2,2
3,2,3,0.009762108682517586,0,-0.1598939105873844,0,0,2,2
4,3,4,6.272395717089298,0,0.15967723206058687,0,0,2,2
5,4,5,6.267271988038205,0,-195.17035152098015,0,0,2,2
6,5,6,6.264798100597918,0,-404.2221095896285,0,0,2,2
7,6,7,6.260552340870431,0,-235.5291076708757,0,0,2,2
8,7,8,6.273479679707672,0,77.3554412544045,0,0,2,2
9,8,9,6.253680577184713,0,-50.50733985746887,0,0,2,2
10,9,10,6.270208506053981,0,60.5036485762813,0,0,2,2
11,10,11,6.273171147193434,0,337.53666169123335,0,0,2,2
12,11,12,6.260703116138389,0,-80.20512586029956,0,0,2,2
13,12,13,6.261037553492402,0,2990.0966145095854,0,0,2,2
14,13,14,6.251868870028511,0,-109.06691281669112,0,0,2,2
15,14,15,6.259754507411331,0,126.81283090428798,0,0,2,2
16,15,16,6.262680486316761,0,341.7659635700884,0,0,2,2
17,16,17,6.261077096753791,0,-623.6787510003949,0,0,2,2
18,17,18,6.234733536550381,0,-37.95994133968913,0,0,2,2
19,18,19,6.249976544261919,0,65.60385056048123,0,0,2,2
20,19,20,6.234920748119639,0,-66.41960282603422,0,0,2,2
21,20,21,6.229833154758713,0,-196.5565895419642,0,0,2,2
22,21,22,6.224102947093604,0,-174.51374512811753,0,0,2,2
23,22,23,6.21453613725501,0,-104.52805238856656,0,0,2,2
24,23,24,6.219411428485132,0,205.1159516013118,0,0,2,2
25,24,25,6.203849955488588,0,-64.26126885430969,0,0,2,2
26,25,26,6.204148207513612,0,3352.8691043085614,0,0,2,2
27,26,27,6.204438071605036,0,3449.8926551585555,0,0,2,2
28,27,28,6.1907689769123735,0,-73.15773447211367,0,0,2,2
29,28,29,6.1985368210611735,0,128.7358475329962,0,0,2,2
30,29,30,6.184376337311281,0,-70.61905635868955,0,0,2,2
31,30,31,6.192148299618498,0,128.6676337932432,0,0,2,2
32,31,32,6.185828238997756,0,-158.2263304117607,0,0,2,2
33,32,33,6.187241828062935,0,707.4191677290873,0,0,2,2
34,33,34,6.178388790130865,0,-112.95557611670199,0,0,2,2
35,34,35,6.174722269968469,0,-272.7381701745729,0,0,2,2
36,35,36,6.186464669672558,0,85.16146828588616,0,0,2,2
37,36,37,6.175362305189644,0,-90.07090350338703,0,0,2,2
38,37,38,6.1694667529429745,0,-169.61939410594135,0,0,2,2
39,38,39,6.188281550813724,0,53.1496541642171,0,0,2,2
40,39,40,6.175751863602982,0,-79.81045202330752,0,0,2,2
41,40,41,6.18209629996001,0,157.61841458023727,0,0,2,2
42,41,42,6.170838880481034,0,-88.83030448208157,0,0,2,2
43,42,43,6.176944675589263,0,163.77883343188913,0,0,2,2
44,43,44,6.178589199246985,0,608.0788168080092,0,0,2,2
45,44,45,6.176707111275713,0,-531.3247920733724,0,0,2,2
46,45,46,6.178331809056781,0,615.4990864470689,0,0,2,2
47,46,47,6.17259019350441,0,-174.16700767907625,0,0,2,2
48,47,48,6.179686220493836,0,140.9239284870519,0,0,2,2
49,48,49,6.167946751174543,0,-85.18272613537623,0,0,2,2
50,49,50,6.18537155802384,0,57.38944532635118,0,0,2,2
51,50,51,6.175355953361828,0,-99.84419650596524,0,0,2,2
52,51,52,6.178379620738826,0,330.7242084917661,0,0,2,2
53,52,53,6.186604378852791,0,121.58412273573263,0,0,2,2
54,53,54,6.18046205693224,0,-162.8048827356581,0,0,2,2
55,54,55,6.201185922231582,0,48.25354660222186,0,0,2,2
56,55,56,6.191232076047407,0,-100.46367821011619,0,0,2,2
57,56,57,6.2083573479831955,0,58.39323333080553,0,0,2,2
58,57,58,6.218625236483612,0,97.39100692021248,0,0,2,2
59,58,59,6.2193814282658,0,1322.415852108464,0,0,2,2
60,59,60,6.224780588069119,0,185.21400299826732,0,0,2,2
61,60,61,6.234727570751526,0,100.5329989936153,0,0,2,2
62,61,62,6.240714691383325,0,167.0251965007641,0,0,2,2
63,62,63,6.245881154793058,0,193.5560015998866,0,0,2,2
64,63,64,6.245881007433622,0,-6786128.046770729,0,0,2,2
65,64,65,6.250977039514862,0,196.23110374075543,0,0,2,2
66,65,66,6.2506955983570585,0,-3553.14058470815,0,0,2,2
67,66,67,6.244921800421994,0,-173.19622391476506,0,0,2,2
68,67,68,6.2556705172195395,0,93.03436110888805,0,0,2,2
69,68,69,6.2549497914162355,0,-1387.4902153021199,0,0,2,2
70,69,70,6.250419678691559,0,-220.74505884870294,0,0,2,2
71,70,71,6.25567006425224,0,190.46220290729028,0,0,2,2
72,71,72,6.2546309605453345,0,-962.3678496709579,0,0,2,2
73,72,73,6.255343790279579,0,1402.8595497061874,0,0,2,2
74,73,74,6.249439190132775,0,-169.35947822668533,0,0,2,2
75,74,75,6.255343485535263,0,169.36821954717027,0,0,2,2
76,75,76,6.254318619538217,0,-975.7373187145349,0,0,2,2
77,76,77,6.24988515535283,0,-225.55725233918318,0,0,2,2
78,77,78,6.24988499950885,0,-6416673.890868788,0,0,2,2
79,78,79,6.259834689704081,0,100.50564192232552,0,0,2,2
80,79,80,6.254404798365955,0,-184.1657480285907,0,0,2,2
81,80,81,6.253713508229007,0,-1446.570617099942,0,0,2,2
82,81,82,6.248684004753568,0,-198.82678377367856,0,0,2,2
83,82,83,6.258096368393731,0,106.2432390237233,0,0,2,2
84,83,84,6.253132921638703,0,-201.47289763651779,0,0,2,2
85,84,85,6.257764175859354,0,215.92422967001875,0,0,2,2
86,85,86,6.263005891471771,0,190.77723286457777,0,0,2,2
87,86,87,6.257119544090253,0,-169.88463901058137,0,0,2,2
