PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-606.775,-21.031,-4.377,0,0,0,0
2,0,0,-606.786,-21.974,-3.863,0,0,0,0
3,0,0,-606.798,-22.897,-3.349,0,0,0,0
4,0,0,-606.812,-23.858,-2.782,0,0,0,0
5,0,0,-606.827,-24.764,-2.241,0,0,0,0
6,0,0,-606.843,-25.721,-1.664,0,0,0,0
7,0,0,-606.859,-26.58,-1.102,0,0,0,0
8,0,0,-606.876,-27.452,-0.529,0,0,0,0
9,0,0,-606.894,-28.32,0.096,0,0,0,0
10,0,0,-606.916,-29.198,0.769,0,0,0,0
11,0,0,-606.941,-30.067,1.49,0,0,0,0
12,0,0,-606.966,-30.893,2.252,0,0,0,0
13,0,0,-606.994,-31.714,3.052,0,0,0,0
14,0,0,-607.022,-32.381,3.797,0,0,0,0
15,0,0,-607.052,-33.029,4.57,0,0,0,0
16,0,0,-607.088,-33.712,5.492,0,0,0,0
17,0,0,-607.128,-34.342,6.446,0,0,0,0
18,0,0,-607.169,-34.903,7.42,0,0,0,0
19,0,0,-607.212,-35.403,8.42,0,0,0,0
20,0,0,-607.255,-35.838,9.447,0,0,0,0
21,0,0,-607.304,-36.218,10.527,0,0,0,0
22,0,0,-607.349,-36.452,11.492,0,0,0,0
23,0,0,-607.395,-36.645,12.469,0,0,0,0
24,0,0,-607.443,-36.762,13.462,0,0,0,0
25,0,0,-607.493,-36.812,14.461,0,0,0,0
26,0,0,-607.545,-36.784,15.491,0,0,0,0
27,0,0,-607.598,-36.676,16.517,0,0,0,0
28,0,0,-607.652,-36.517,17.55,0,0,0,0
29,0,0,-607.708,-36.297,18.595,0,0,0,0
30,0,0,-607.763,-36.028,19.618,0,0,0,0
31,0,0,-607.819,-35.71,20.634,0,0,0,0
32,0,0,-607.875,-35.336,21.639,0,0,0,0
33,0,0,-607.932,-34.914,22.636,0,0,0,0
34,0,0,-607.988,-34.448,23.618,0,0,0,0
35,0,0,-608.045,-33.933,24.592,0,0,0,0
36,0,0,-608.1,-33.38,25.555,0,0,0,0
37,0,0,-608.156,-32.814,26.523,0,0,0,0
38,0,0,-608.213,-32.214,27.479,0,0,0,0
39,0,0,-608.269,-31.607,28.431,0,0,0,0
40,0,0,-608.325,-30.986,29.372,0,0,0,0
41,0,0,-608.381,-30.357,30.279,0,0,0,0
42,0,0,-608.434,-29.719,31.167,0,0,0,0
43,0,0,-608.487,-29.073,32.021,0,0,0,0
44,0,0,-608.538,-28.381,32.844,0,0,0,0
45,0,0,-608.589,-27.691,33.653,0,0,0,0
46,0,0,-608.637,-26.962,34.408,0,0,0,0
47,0,0,-608.684,-26.196,35.124,0,0,0,0
48,0,0,-608.729,-25.398,35.804,0,0,0,0
49,0,0,-608.772,-24.565,36.431,0,0,0,0
50,0,0,-608.814,-23.695,37.031,0,0,0,0
51,0,0,-608.855,-22.787,37.578,0,0,0,0
52,0,0,-608.893,-21.842,38.071,0,0,0,0
53,0,0,-608.929,-20.859,38.495,0,0,0,0
54,0,0,-608.963,-19.861,38.88,0,0,0,0
55,0,0,-608.994,-18.83,39.202,0,0,0,0
56,0,0,-609.021,-17.801,39.442,0,0,0,0
57,0,0,-609.044,-16.769,39.611,0,0,0,0
58,0,0,-609.064,-15.739,39.714,0,0,0,0
59,0,0,-609.081,-14.708,39.759,0,0,0,0
60,0,0,-609.094,-13.692,39.733,0,0,0,0
61,0,0,-609.104,-12.68,39.64,0,0,0,0
62,0,0,-609.111,-11.686,39.477,0,0,0,0
63,0,0,-609.114,-10.694,39.261,0,0,0,0
64,0,0,-609.117,-9.704,39.017,0,0,0,0
65,0,0,-609.116,-8.721,38.711,0,0,0,0
66,0,0,-609.113,-7.78,38.364,0,0,0,0
67,0,0,-609.105,-6.733,37.902,0,0,0,0
68,0,0,-609.092,-5.78,37.369,0,0,0,0
69,0,0,-609.074,-4.942,36.764,0,0,0,0
70,0,0,-609.05,-4.202,36.077,0,0,0,0
71,0,0,-609.021,-3.556,35.29,0,0,0,0
72,0,0,-608.986,-3.024,34.431,0,0,0,0
73,0,0,-608.944,-2.582,33.472,0,0,0,0
74,0,0,-608.898,-2.276,32.441,0,0,0,0
75,0,0,-608.846,-2.063,31.339,0,0,0,0
76,0,0,-608.79,-2.001,30.191,0,0,0,0
77,0,0,-608.731,-2.041,29.034,0,0,0,0
78,0,0,-608.68,-2.167,28.032,0,0,0,0
79,0,0,-608.625,-2.351,27.02,0,0,0,0
80,0,0,-608.571,-2.566,25.984,0,0,0,0
81,0,0,-608.514,-2.798,24.935,0,0,0,0
82,0,0,-608.458,-2.997,23.861,0,0,0,0
83,0,0,-608.403,-3.161,22.804,0,0,0,0
84,0,0,-608.348,-3.29,21.751,0,0,0,0
85,0,0,-608.293,-3.355,20.694,0,0,0,0
86,0,0,-608.242,-3.362,19.649,0,0,0,0
87,0,0,-608.19,-3.311,18.607,0,0,0,0
88,0,0,-608.142,-3.186,17.595,0,0,0,0
89,0,0,-608.094,-3.006,16.599,0,0,0,0
90,0,0,-608.045,-2.711,15.507,0,0,0,0
91,0,0,-607.995,-2.394,14.444,0,0,0,0
92,0,0,-607.951,-2.055,13.446,0,0,0,0
93,0,0,-607.904,-1.755,12.45,0,0,0,0
94,0,0,-607.856,-1.51,11.437,0,0,0,0
95,0,0,-607.808,-1.287,10.382,0,0,0,0
96,0,0,-607.756,-1.117,9.296,0,0,0,0
97,0,0,-607.703,-1.008,8.227,0,0,0,0
98,0,0,-607.651,-0.891,7.168,0,0,0,0
99,0,0,-607.599,-0.826,6.115,0,0,0,0
100,0,0,-607.546,-0.822,5.051,0,0,0,0
101,0,0,-607.492,-0.876,3.999,0,0,0,0
102,0,0,-607.438,-0.984,2.959,0,0,0,0
103,0,0,-607.386,-1.165,1.955,0,0,0,0
104,0,0,-607.333,-1.409,0.983,0,0,0,0
105,0,0,-607.274,-1.753,-0.084,0,0,0,0
106,0,0,-607.215,-2.186,-1.114,0,0,0,0
107,0,0,-607.164,-2.672,-1.999,0,0,0,0
108,0,0,-607.112,-3.235,-2.885,0,0,0,0
109,0,0,-607.059,-3.903,-3.724,0,0,0,0
110,0,0,-607.008,-4.657,-4.545,0,0,0,0
111,0,0,-606.956,-5.529,-5.308,0,0,0,0
112,0,0,-606.915,-6.336,-5.897,0,0,0,0
113,0,0,-606.875,-7.21,-6.426,0,0,0,0
114,0,0,-606.839,-8.136,-6.876,0,0,0,0
115,0,0,-606.806,-9.1,-7.244,0,0,0,0
116,0,0,-606.777,-10.119,-7.533,0,0,0,0
117,0,0,-606.754,-11.152,-7.716,0,0,0,0
118,0,0,-606.731,-12.192,-7.851,0,0,0,0
119,0,0,-606.715,-13.21,-7.863,0,0,0,0
120,0,0,-606.704,-14.206,-7.781,0,0,0,0
121,0,0,-606.697,-15.334,-7.593,0,0,0,0
122,0,0,-606.697,-16.393,-7.302,0,0,0,0
123,0,0,-606.7,-17.327,-6.975,0,0,0,0
