DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
2001,0,2001,2.1910137077975653,0,90000000000,0,0,2,2
2002,1,2002,2.1910137077975653,0,90000000000,0,0,2,2
2003,2,2003,5.314892423423481,0,0.3201148607332008,0,0,2,2
2004,3,2004,2.191013120952031,0,-0.3201148005970821,0,0,2,2
2005,4,2005,5.323733685485758,0,0.3192113625840866,0,0,2,2
2006,5,2006,2.1821410319857577,0,-0.31830988619288864,0,0,2,2
2007,6,2007,5.314893063415399,0,0.31920815626880206,0,0,2,2
2008,7,2008,0.6628855981155135,0,-0.21496096200600925,0,0,2,2
2009,8,2009,0.009067474122265674,0,-1.529477332155337,0,0,2,2
2010,9,2010,6.229011601355279,0,0.160773148366665,0,0,2,2
2011,10,2011,6.224789402396777,0,-236.84341022969477,0,0,2,2
2012,11,2012,6.229010992614494,0,236.87756234678903,0,0,2,2
2013,12,2013,6.224788995335778,0,-236.85472395755406,0,0,2,2
2014,13,2014,6.229010646760879,0,236.87412799030827,0,0,2,2
2015,14,2015,6.224789084765736,0,-236.87914595367633,0,0,2,2
2016,15,2016,0.19470040904702002,0,-0.16583504054039666,0,0,2,2
2017,16,2017,6.224789404286874,0,0.16583503175316303,0,0,2,2
2018,17,2018,6.229008949791195,0,236.99234881477005,0,0,2,2
2019,18,2019,0.2709789795344425,0,-0.1678407132881385,0,0,2,2
2020,19,2020,6.22900800640918,0,0.16784073986369052,0,0,2,2
2021,20,2021,6.193163687716124,0,-27.898423975170395,0,0,2,2
2022,21,2022,6.260617133405056,0,14.825039548188576,0,0,2,2
2023,22,2023,0.23328646382892068,0,-0.16591092389333334,0,0,2,2
2024,23,2024,5.892387766142271,0,0.17670650277831498,0,0,2,2
2025,24,2025,0.12653437681759389,0,-0.1734348642737731,0,0,2,2
2026,25,2026,6.193161797514147,0,0.16483623117985755,0,0,2,2
2027,26,2027,5.936719354737669,0,-3.8995105068142903,0,0,2,2
2028,27,2028,6.229001866948327,0,3.4213473547786726,0,0,2,2
2029,28,2029,0.12522206688663806,0,-0.16383290891160482,0,0,2,2
2030,29,2030,0.1278346673319259,0,382.76040326167487,0,0,2,2
2031,30,2031,6.262649339936537,0,0.16300410906715093,0,0,2,2
2032,31,2032,0.10156710636893963,0,-0.16230914668719593,0,0,2,2
2033,32,2033,6.205115790529357,0,0.16383911257972647,0,0,2,2
2034,33,2034,6.262645391448542,0,17.382355935420982,0,0,2,2
2035,34,2035,6.18264505813523,0,-12.499947920011966,0,0,2,2
2036,35,2036,0.15374556239515236,0,-0.1658677509397169,0,0,2,2
2037,36,2037,6.248690785620344,0,0.16407038346947467,0,0,2,2
2038,37,2038,6.205111295123345,0,-22.946573918042173,0,0,2,2
2039,38,2039,6.228986998857257,0,41.883582203260026,0,0,2,2
2040,39,2040,0.15248769754329455,0,-0.1645684382426841,0,0,2,2
2041,40,2041,0.07724078179566603,0,-13.289581241494485,0,0,2,2
2042,41,2042,6.105420040421056,0,0.16588756855051298,0,0,2,2
2043,42,2043,6.20510590843781,0,10.031512188186353,0,0,2,2
2044,43,2044,0.21407888198326322,0,-0.16691628924127785,0,0,2,2
2045,44,2045,6.21107759709709,0,0.16675007741451872,0,0,2,2
2046,45,2046,6.250053300179533,0,25.657009903959064,0,0,2,2
2047,46,2047,6.243750750380763,0,-158.6659418693017,0,0,2,2
2048,47,2048,6.182632588443163,0,-16.361748591539396,0,0,2,2
2049,48,2049,6.2268843267497616,0,22.597982322671736,0,0,2,2
2050,49,2050,0.07622720318211292,0,-0.1625842539926785,0,0,2,2
2051,50,2051,0.04736568365571551,0,-34.64821036485543,0,0,2,2
2052,51,2052,6.2100116760909705,0,0.1622679610718376,0,0,2,2
2053,52,2053,0.09446724106136782,0,-0.1635177392011149,0,0,2,2
2054,53,2054,6.116136109654229,0,0.1660669196235095,0,0,2,2
2055,54,2055,0.06177988329261435,0,-0.16517032738276013,0,0,2,2
2056,55,2056,6.208949600778164,0,0.1626764911265606,0,0,2,2
2057,56,2057,0.047362549895194096,0,-0.1622958487386294,0,0,2,2
2058,57,2058,6.210008531367656,0,0.16226796136049773,0,0,2,2
2059,58,2059,0.04654864540751202,0,-0.16224653335992628,0,0,2,2
2060,59,2060,6.226460981657114,0,0.1618145930864238,0,0,2,2
2061,60,2061,6.226460482889099,0,-2004940.1109481202,0,0,2,2
2062,61,2062,0.04735976022907398,0,-0.1618358471375609,0,0,2,2
2063,62,2063,6.225624906984008,0,0.16185773453333238,0,0,2,2
2064,63,2064,6.2264591537054,0,1198.6861612490934,0,0,2,2
2065,64,2065,0.12455520436365838,0,-0.16388327451596113,0,0,2,2
2066,65,2066,6.2121131011082396,0,0.16426948490046656,0,0,2,2
2067,66,2067,6.239956021702798,0,35.91577243500222,0,0,2,2
2068,67,2068,0.027981012533678254,0,-0.16097939842384437,0,0,2,2
2069,68,2069,6.226457317914773,0,0.16132997058194257,0,0,2,2
2070,69,2070,6.225484558689647,0,-1028.0036150477833,0,0,2,2
2071,70,2071,0.004075277336933985,0,-0.16073528597407616,0,0,2,2
2072,71,2072,0.02798036231581397,0,41.83210395961758,0,0,2,2
2073,72,2073,6.2374300556156355,0,0.16104486699989362,0,0,2,2
2074,73,2074,0.027979920044592533,0,-0.16104485552939166,0,0,2,2
2075,74,2075,6.236742422513885,0,0.16106269157538064,0,0,2,2
2076,75,2076,6.2135212593590365,0,-43.06416493142872,0,0,2,2
2077,76,2077,6.2360544987608915,0,44.378883220744584,0,0,2,2
2078,77,2078,0.08572320483142286,0,-0.16259286731220887,0,0,2,2
2079,78,2079,6.237428650763831,0,0.16255654773932873,0,0,2,2
2080,79,2080,0.025703908698904935,0,-0.16098588419865753,0,0,2,2
2081,80,2081,6.277842413194911,0,0.1599452730103284,0,0,2,2
2082,81,2082,6.214222192658227,0,-15.718273083058346,0,0,2,2
2083,82,2083,0.025124870585324203,0,-0.161574450676932,0,0,2,2
2084,83,2084,6.235034905840179,0,0.16103292870956384,0,0,2,2
2085,84,2085,0.004828026125831767,0,-0.16050831365745108,0,0,2,2
2086,85,2086,0.00541894073059233,0,1692.2919013064445,0,0,2,2
2087,86,2087,6.225976945485203,0,0.1607572824231623,0,0,2,2
2088,87,2088,0.004870766277482043,0,-0.1607431172517543,0,0,2,2
2089,88,2089,0.015568246520797907,0,93.47995764000898,0,0,2,2
2090,89,2090,6.2350340493482115,0,0.1607855130492707,0,0,2,2
2091,90,2091,6.216328222094176,0,-53.459276963239084,0,0,2,2
2092,91,2092,6.27973424017925,0,15.771373604604216,0,0,2,2
2093,92,2093,0.014207138644408625,0,-0.1596034912617382,0,0,2,2
2094,93,2094,6.159506855259711,0,0.1627259932166137,0,0,2,2
2095,94,2095,6.279734023205766,0,8.317587589260178,0,0,2,2
2096,95,2096,0.0053833381369424674,0,-0.15937904178351342,0,0,2,2
2097,96,2097,0.005383260817140873,0,-12933297.543196958,0,0,2,2
2098,97,2098,6.1595068661321495,0,0.1624926738774551,0,0,2,2
2099,98,2099,0.050171644158753394,0,-0.16368393019314248,0,0,2,2
2100,99,2100,6.2163379512917025,0,0.16217532096778053,0,0,2,2
2101,100,2101,6.215130692015082,0,-828.3224816455775,0,0,2,2
2102,101,2102,0.013610417074248598,0,-0.16125078297991063,0,0,2,2
2103,102,2103,0.005383016532856929,0,-121.54507307247853,0,0,2,2
2104,103,2104,6.272910604209602,0,0.15955254859447396,0,0,2,2
2105,104,2105,6.232722486627424,0,-24.882976863874216,0,0,2,2
2106,105,2106,6.280273753864848,0,21.029933755644784,0,0,2,2
2107,106,2107,6.280273715803437,0,-26273329.75949958,0,0,2,2
2108,107,2108,6.167795806379668,0,-8.89063465993506,0,0,2,2
2109,108,2109,6.273370894855216,0,9.471931441777668,0,0,2,2
2110,109,2110,6.281187214905873,0,127.93744287836935,0,0,2,2
2111,110,2111,6.281187105727945,0,-9159360.486406777,0,0,2,2
2112,111,2112,6.224788442319404,0,-17.730916648790174,0,0,2,2
