PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2001,0,0,-1451.641,0.653,-110.69,0,0,0,0
2002,0,0,-1451.641,0.66,-110.695,0,0,0,0
2003,0,0,-1451.641,0.653,-110.69,0,0,0,0
2004,0,0,-1451.641,0.66,-110.696,0,0,0,0
2005,0,0,-1451.641,0.653,-110.69,0,0,0,0
2006,0,0,-1451.641,0.66,-110.696,0,0,0,0
2007,0,0,-1451.641,0.653,-110.691,0,0,0,0
2008,0,0,-1451.641,0.66,-110.682,0,0,0,0
2009,0,0,-1451.641,0.66,-110.667,0,0,0,0
2010,0,0,-1451.642,0.659,-110.653,0,0,0,0
2011,0,0,-1451.642,0.658,-110.638,0,0,0,0
2012,0,0,-1451.643,0.657,-110.624,0,0,0,0
2013,0,0,-1451.644,0.657,-110.61,0,0,0,0
2014,0,0,-1451.645,0.656,-110.595,0,0,0,0
2015,0,0,-1451.645,0.655,-110.581,0,0,0,0
2016,0,0,-1451.647,0.66,-110.557,0,0,0,0
2017,0,0,-1451.648,0.659,-110.543,0,0,0,0
2018,0,0,-1451.648,0.658,-110.528,0,0,0,0
2019,0,0,-1451.649,0.665,-110.505,0,0,0,0
2020,0,0,-1451.65,0.664,-110.49,0,0,0,0
2021,0,0,-1451.652,0.661,-110.462,0,0,0,0
2022,0,0,-1451.653,0.661,-110.433,0,0,0,0
2023,0,0,-1451.654,0.666,-110.409,0,0,0,0
2024,0,0,-1451.655,0.658,-110.39,0,0,0,0
2025,0,0,-1451.657,0.663,-110.351,0,0,0,0
2026,0,0,-1451.659,0.66,-110.323,0,0,0,0
2027,0,0,-1451.659,0.653,-110.303,0,0,0,0
2028,0,0,-1451.661,0.652,-110.274,0,0,0,0
2029,0,0,-1451.663,0.657,-110.236,0,0,0,0
2030,0,0,-1451.664,0.661,-110.198,0,0,0,0
2031,0,0,-1451.665,0.661,-110.169,0,0,0,0
2032,0,0,-1451.668,0.665,-110.131,0,0,0,0
2033,0,0,-1451.67,0.661,-110.088,0,0,0,0
2034,0,0,-1451.671,0.661,-110.059,0,0,0,0
2035,0,0,-1451.674,0.656,-110.016,0,0,0,0
2036,0,0,-1451.676,0.662,-109.978,0,0,0,0
2037,0,0,-1451.678,0.661,-109.935,0,0,0,0
2038,0,0,-1451.68,0.658,-109.892,0,0,0,0
2039,0,0,-1451.682,0.655,-109.848,0,0,0,0
2040,0,0,-1451.684,0.661,-109.81,0,0,0,0
2041,0,0,-1451.687,0.665,-109.758,0,0,0,0
2042,0,0,-1451.688,0.656,-109.709,0,0,0,0
2043,0,0,-1451.691,0.653,-109.666,0,0,0,0
2044,0,0,-1451.694,0.663,-109.619,0,0,0,0
2045,0,0,-1451.697,0.659,-109.562,0,0,0,0
2046,0,0,-1451.699,0.658,-109.518,0,0,0,0
2047,0,0,-1451.701,0.655,-109.461,0,0,0,0
2048,0,0,-1451.704,0.651,-109.418,0,0,0,0
2049,0,0,-1451.707,0.648,-109.36,0,0,0,0
2050,0,0,-1451.71,0.652,-109.308,0,0,0,0
2051,0,0,-1451.713,0.655,-109.241,0,0,0,0
2052,0,0,-1451.717,0.651,-109.183,0,0,0,0
2053,0,0,-1451.719,0.656,-109.131,0,0,0,0
2054,0,0,-1451.722,0.645,-109.068,0,0,0,0
2055,0,0,-1451.725,0.649,-109.001,0,0,0,0
2056,0,0,-1451.728,0.645,-108.944,0,0,0,0
2057,0,0,-1451.731,0.648,-108.877,0,0,0,0
2058,0,0,-1451.735,0.644,-108.82,0,0,0,0
2059,0,0,-1451.738,0.647,-108.753,0,0,0,0
2060,0,0,-1451.742,0.643,-108.681,0,0,0,0
2061,0,0,-1451.745,0.639,-108.609,0,0,0,0
2062,0,0,-1451.749,0.642,-108.542,0,0,0,0
2063,0,0,-1451.752,0.638,-108.471,0,0,0,0
2064,0,0,-1451.756,0.634,-108.399,0,0,0,0
2065,0,0,-1451.76,0.643,-108.323,0,0,0,0
2066,0,0,-1451.764,0.638,-108.251,0,0,0,0
2067,0,0,-1451.767,0.635,-108.179,0,0,0,0
2068,0,0,-1451.771,0.638,-108.098,0,0,0,0
2069,0,0,-1451.774,0.633,-108.026,0,0,0,0
2070,0,0,-1451.779,0.628,-107.94,0,0,0,0
2071,0,0,-1451.784,0.629,-107.859,0,0,0,0
2072,0,0,-1451.788,0.631,-107.778,0,0,0,0
2073,0,0,-1451.792,0.627,-107.691,0,0,0,0
2074,0,0,-1451.796,0.629,-107.61,0,0,0,0
2075,0,0,-1451.799,0.625,-107.524,0,0,0,0
2076,0,0,-1451.804,0.619,-107.438,0,0,0,0
2077,0,0,-1451.808,0.615,-107.352,0,0,0,0
2078,0,0,-1451.813,0.623,-107.262,0,0,0,0
2079,0,0,-1451.817,0.619,-107.175,0,0,0,0
2080,0,0,-1451.821,0.622,-107.08,0,0,0,0
2081,0,0,-1451.827,0.621,-106.984,0,0,0,0
2082,0,0,-1451.832,0.615,-106.898,0,0,0,0
2083,0,0,-1451.836,0.618,-106.803,0,0,0,0
2084,0,0,-1451.84,0.613,-106.702,0,0,0,0
2085,0,0,-1451.846,0.613,-106.607,0,0,0,0
2086,0,0,-1451.851,0.614,-106.511,0,0,0,0
2087,0,0,-1451.856,0.608,-106.411,0,0,0,0
2088,0,0,-1451.862,0.608,-106.301,0,0,0,0
2089,0,0,-1451.866,0.61,-106.205,0,0,0,0
2090,0,0,-1451.871,0.605,-106.105,0,0,0,0
2091,0,0,-1451.876,0.598,-106.004,0,0,0,0
2092,0,0,-1451.882,0.598,-105.895,0,0,0,0
2093,0,0,-1451.887,0.6,-105.785,0,0,0,0
2094,0,0,-1451.892,0.586,-105.679,0,0,0,0
2095,0,0,-1451.898,0.586,-105.569,0,0,0,0
2096,0,0,-1451.904,0.587,-105.46,0,0,0,0
2097,0,0,-1451.909,0.587,-105.35,0,0,0,0
2098,0,0,-1451.915,0.574,-105.244,0,0,0,0
2099,0,0,-1451.921,0.58,-105.125,0,0,0,0
2100,0,0,-1451.927,0.572,-105.01,0,0,0,0
2101,0,0,-1451.933,0.566,-104.91,0,0,0,0
2102,0,0,-1451.938,0.567,-104.786,0,0,0,0
2103,0,0,-1451.943,0.568,-104.676,0,0,0,0
2104,0,0,-1451.95,0.567,-104.552,0,0,0,0
2105,0,0,-1451.955,0.561,-104.437,0,0,0,0
2106,0,0,-1451.962,0.56,-104.313,0,0,0,0
2107,0,0,-1451.968,0.56,-104.189,0,0,0,0
