PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2001,0,0,0.055,194.59,258.551,0,0,0,0
2002,0,0,0.055,194.816,258.552,0,0,0,0
2003,0,0,0.055,195.049,258.551,0,0,0,0
2004,0,0,0.055,195.29,258.551,0,0,0,0
2005,0,0,0.055,195.538,258.55,0,0,0,0
2006,0,0,0.055,195.792,258.549,0,0,0,0
2007,0,0,0.055,196.048,258.549,0,0,0,0
2008,0,0,0.055,196.302,258.548,0,0,0,0
2009,0,0,0.055,196.555,258.547,0,0,0,0
2010,0,0,0.055,196.806,258.547,0,0,0,0
2011,0,0,0.055,197.058,258.546,0,0,0,0
2012,0,0,0.055,197.31,258.545,0,0,0,0
2013,0,0,0.055,197.567,258.545,0,0,0,0
2014,0,0,0.055,197.824,258.544,0,0,0,0
2015,0,0,0.055,198.087,258.543,0,0,0,0
2016,0,0,0.055,198.353,258.543,0,0,0,0
2017,0,0,0.055,198.621,258.542,0,0,0,0
2018,0,0,0.055,198.89,258.541,0,0,0,0
2019,0,0,0.055,199.16,258.541,0,0,0,0
2020,0,0,0.055,199.429,258.54,0,0,0,0
2021,0,0,0.055,199.702,258.539,0,0,0,0
2022,0,0,0.055,199.978,258.538,0,0,0,0
2023,0,0,0.055,200.261,258.538,0,0,0,0
2024,0,0,0.055,200.55,258.537,0,0,0,0
2025,0,0,0.055,200.846,258.536,0,0,0,0
2026,0,0,0.055,201.148,258.535,0,0,0,0
2027,0,0,0.055,201.459,258.534,0,0,0,0
2028,0,0,0.055,201.776,258.533,0,0,0,0
2029,0,0,0.055,202.096,258.533,0,0,0,0
2030,0,0,0.055,202.417,258.532,0,0,0,0
2031,0,0,0.055,202.738,258.531,0,0,0,0
2032,0,0,0.055,203.059,258.53,0,0,0,0
2033,0,0,0.055,203.38,258.529,0,0,0,0
2034,0,0,0.055,203.703,258.528,0,0,0,0
2035,0,0,0.055,204.03,258.527,0,0,0,0
2036,0,0,0.055,204.362,258.526,0,0,0,0
2037,0,0,0.055,204.701,258.526,0,0,0,0
2038,0,0,0.055,205.047,258.525,0,0,0,0
2039,0,0,0.055,205.4,258.524,0,0,0,0
2040,0,0,0.055,205.758,258.523,0,0,0,0
2041,0,0,0.055,206.12,258.522,0,0,0,0
2042,0,0,0.055,206.483,258.521,0,0,0,0
2043,0,0,0.055,206.845,258.52,0,0,0,0
2044,0,0,0.055,207.205,258.519,0,0,0,0
2045,0,0,0.055,207.565,258.518,0,0,0,0
2046,0,0,0.055,207.924,258.517,0,0,0,0
2047,0,0,0.055,208.285,258.516,0,0,0,0
2048,0,0,0.055,208.65,258.515,0,0,0,0
2049,0,0,0.055,209.02,258.514,0,0,0,0
2050,0,0,0.055,209.394,258.513,0,0,0,0
2051,0,0,0.055,209.772,258.512,0,0,0,0
2052,0,0,0.055,210.148,258.511,0,0,0,0
2053,0,0,0.055,210.525,258.51,0,0,0,0
2054,0,0,0.055,210.899,258.509,0,0,0,0
2055,0,0,0.055,211.272,258.508,0,0,0,0
2056,0,0,0.055,211.641,258.507,0,0,0,0
2057,0,0,0.055,212.009,258.506,0,0,0,0
2058,0,0,0.055,212.373,258.505,0,0,0,0
2059,0,0,0.055,212.735,258.504,0,0,0,0
2060,0,0,0.056,213.094,258.503,0,0,0,0
2061,0,0,0.056,213.45,258.502,0,0,0,0
2062,0,0,0.056,213.804,258.501,0,0,0,0
2063,0,0,0.056,214.154,258.504,0,0,0,0
2064,0,0,0.056,214.501,258.51,0,0,0,0
2065,0,0,0.056,214.845,258.514,0,0,0,0
2066,0,0,0.056,215.186,258.518,0,0,0,0
2067,0,0,0.056,215.525,258.521,0,0,0,0
2068,0,0,0.056,215.86,258.524,0,0,0,0
2069,0,0,0.056,216.193,258.528,0,0,0,0
2070,0,0,0.056,216.523,258.531,0,0,0,0
2071,0,0,0.056,216.851,258.534,0,0,0,0
2072,0,0,0.056,217.176,258.537,0,0,0,0
2073,0,0,0.056,217.498,258.541,0,0,0,0
2074,0,0,0.056,217.818,258.544,0,0,0,0
2075,0,0,0.056,218.135,258.547,0,0,0,0
2076,0,0,0.056,218.45,258.55,0,0,0,0
2077,0,0,0.055,218.764,258.554,0,0,0,0
2078,0,0,0.055,219.08,258.557,0,0,0,0
2079,0,0,0.055,219.399,258.56,0,0,0,0
2080,0,0,0.055,219.723,258.563,0,0,0,0
2081,0,0,0.055,220.054,258.567,0,0,0,0
2082,0,0,0.055,220.391,258.57,0,0,0,0
2083,0,0,0.055,220.735,258.574,0,0,0,0
2084,0,0,0.055,221.086,258.577,0,0,0,0
2085,0,0,0.055,221.444,258.581,0,0,0,0
2086,0,0,0.055,221.805,258.585,0,0,0,0
2087,0,0,0.055,222.167,258.588,0,0,0,0
2088,0,0,0.055,222.527,258.592,0,0,0,0
2089,0,0,0.055,222.887,258.596,0,0,0,0
2090,0,0,0.055,223.245,258.599,0,0,0,0
2091,0,0,0.055,223.601,258.603,0,0,0,0
2092,0,0,0.055,223.953,258.607,0,0,0,0
2093,0,0,0.055,224.304,258.61,0,0,0,0
2094,0,0,0.055,224.651,258.614,0,0,0,0
2095,0,0,0.055,224.997,258.617,0,0,0,0
2096,0,0,0.056,225.339,258.621,0,0,0,0
2097,0,0,0.056,225.679,258.624,0,0,0,0
2098,0,0,0.056,226.015,258.628,0,0,0,0
2099,0,0,0.056,226.35,258.631,0,0,0,0
2100,0,0,0.056,226.681,258.634,0,0,0,0
2101,0,0,0.056,227.01,258.638,0,0,0,0
2102,0,0,0.056,227.335,258.641,0,0,0,0
2103,0,0,0.056,227.659,258.644,0,0,0,0
2104,0,0,0.056,227.98,258.648,0,0,0,0
2105,0,0,0.056,228.298,258.651,0,0,0,0
2106,0,0,0.056,228.613,258.654,0,0,0,0
2107,0,0,0.056,228.926,258.657,0,0,0,0
2108,0,0,0.056,229.236,258.661,0,0,0,0
2109,0,0,0.056,229.544,258.664,0,0,0,0
2110,0,0,0.056,229.848,258.667,0,0,0,0
2111,0,0,0.056,230.151,258.67,0,0,0,0
2112,0,0,0.056,230.451,258.673,0,0,0,0
2113,0,0,0.056,230.749,258.676,0,0,0,0
2114,0,0,0.056,231.044,258.679,0,0,0,0
2115,0,0,0.055,231.339,258.682,0,0,0,0
2116,0,0,0.055,231.635,258.685,0,0,0,0
2117,0,0,0.055,231.935,258.688,0,0,0,0
2118,0,0,0.055,232.239,258.691,0,0,0,0
2119,0,0,0.055,232.55,258.694,0,0,0,0
2120,0,0,0.055,232.868,258.698,0,0,0,0
2121,0,0,0.055,233.193,258.701,0,0,0,0
2122,0,0,0.055,233.525,258.704,0,0,0,0
2123,0,0,0.055,233.865,258.708,0,0,0,0
2124,0,0,0.055,234.213,258.711,0,0,0,0
2125,0,0,0.055,234.569,258.715,0,0,0,0
2126,0,0,0.055,234.932,258.714,0,0,0,0
2127,0,0,0.055,235.301,258.7,0,0,0,0
2128,0,0,0.055,235.672,258.667,0,0,0,0
2129,0,0,0.055,236.045,258.619,0,0,0,0
2130,0,0,0.055,236.426,258.575,0,0,0,0
2131,0,0,0.055,236.811,258.535,0,0,0,0
2132,0,0,0.055,237.197,258.496,0,0,0,0
2133,0,0,0.055,237.582,258.457,0,0,0,0
2134,0,0,0.055,237.965,258.418,0,0,0,0
2135,0,0,0.054,238.346,258.379,0,0,0,0
2136,0,0,0.054,238.725,258.339,0,0,0,0
2137,0,0,0.053,239.1,258.296,0,0,0,0
2138,0,0,0.053,239.469,258.241,0,0,0,0
2139,0,0,0.052,239.827,258.169,0,0,0,0
2140,0,0,0.052,240.176,258.085,0,0,0,0
2141,0,0,0.051,240.524,258.005,0,0,0,0
2142,0,0,0.051,240.871,257.931,0,0,0,0
2143,0,0,0.05,241.214,257.853,0,0,0,0
2144,0,0,0.049,241.55,257.765,0,0,0,0
2145,0,0,0.049,241.876,257.661,0,0,0,0
2146,0,0,0.049,242.19,257.538,0,0,0,0
2147,0,0,0.048,242.495,257.398,0,0,0,0
2148,0,0,0.048,242.806,257.258,0,0,0,0
2149,0,0,0.048,243.122,257.124,0,0,0,0
2150,0,0,0.047,243.439,256.993,0,0,0,0
2151,0,0,0.047,243.753,256.859,0,0,0,0
2152,0,0,0.048,244.059,256.715,0,0,0,0
2153,0,0,0.048,244.352,256.559,0,0,0,0
2154,0,0,0.048,244.634,256.395,0,0,0,0
2155,0,0,0.049,244.913,256.228,0,0,0,0
2156,0,0,0.049,245.179,256.052,0,0,0,0
2157,0,0,0.049,245.428,255.865,0,0,0,0
2158,0,0,0.05,245.655,255.667,0,0,0,0
2159,0,0,0.05,245.863,255.46,0,0,0,0
2160,0,0,0.05,246.07,255.251,0,0,0,0
2161,0,0,0.051,246.282,255.048,0,0,0,0
2162,0,0,0.051,246.494,254.849,0,0,0,0
2163,0,0,0.051,246.697,254.646,0,0,0,0
2164,0,0,0.051,246.885,254.438,0,0,0,0
2165,0,0,0.052,247.055,254.223,0,0,0,0
2166,0,0,0.052,247.203,254.006,0,0,0,0
2167,0,0,0.052,247.325,253.786,0,0,0,0
2168,0,0,0.053,247.422,253.561,0,0,0,0
2169,0,0,0.053,247.519,253.332,0,0,0,0
2170,0,0,0.053,247.618,253.102,0,0,0,0
2171,0,0,0.053,247.704,252.871,0,0,0,0
2172,0,0,0.054,247.78,252.64,0,0,0,0
2173,0,0,0.054,247.867,252.411,0,0,0,0
2174,0,0,0.054,247.966,252.187,0,0,0,0
2175,0,0,0.054,248.072,251.962,0,0,0,0
2176,0,0,0.054,248.177,251.732,0,0,0,0
2177,0,0,0.054,248.281,251.499,0,0,0,0
2178,0,0,0.053,248.39,251.263,0,0,0,0
2179,0,0,0.053,248.498,251.022,0,0,0,0
2180,0,0,0.052,248.599,250.771,0,0,0,0
2181,0,0,0.052,248.687,250.512,0,0,0,0
2182,0,0,0.051,248.767,250.244,0,0,0,0
2183,0,0,0.05,248.848,249.97,0,0,0,0
2184,0,0,0.049,248.918,249.685,0,0,0,0
2185,0,0,0.048,248.971,249.394,0,0,0,0
2186,0,0,0.047,249.01,249.095,0,0,0,0
2187,0,0,0.046,249.055,248.789,0,0,0,0
2188,0,0,0.045,249.111,248.477,0,0,0,0
2189,0,0,0.045,249.172,248.163,0,0,0,0
2190,0,0,0.044,249.23,247.847,0,0,0,0
2191,0,0,0.043,249.277,247.533,0,0,0,0
2192,0,0,0.042,249.316,247.218,0,0,0,0
2193,0,0,0.041,249.358,246.905,0,0,0,0
2194,0,0,0.04,249.389,246.59,0,0,0,0
2195,0,0,0.04,249.405,246.281,0,0,0,0
2196,0,0,0.039,249.4,245.977,0,0,0,0
2197,0,0,0.04,249.381,245.68,0,0,0,0
2198,0,0,0.04,249.364,245.382,0,0,0,0
2199,0,0,0.04,249.353,245.086,0,0,0,0
2200,0,0,0.04,249.341,244.791,0,0,0,0
2201,0,0,0.04,249.332,244.499,0,0,0,0
2202,0,0,0.04,249.327,244.209,0,0,0,0
2203,0,0,0.04,249.333,243.925,0,0,0,0
2204,0,0,0.04,249.352,243.646,0,0,0,0
2205,0,0,0.04,249.381,243.375,0,0,0,0
2206,0,0,0.04,249.403,243.104,0,0,0,0
2207,0,0,0.04,249.421,242.836,0,0,0,0
2208,0,0,0.04,249.436,242.569,0,0,0,0
2209,0,0,0.04,249.454,242.306,0,0,0,0
2210,0,0,0.04,249.473,242.045,0,0,0,0
2211,0,0,0.04,249.491,241.787,0,0,0,0
2212,0,0,0.04,249.504,241.531,0,0,0,0
2213,0,0,0.04,249.508,241.279,0,0,0,0
2214,0,0,0.04,249.504,241.029,0,0,0,0
2215,0,0,0.04,249.508,240.78,0,0,0,0
2216,0,0,0.04,249.515,240.532,0,0,0,0
2217,0,0,0.04,249.522,240.285,0,0,0,0
2218,0,0,0.04,249.529,240.04,0,0,0,0
2219,0,0,0.04,249.537,239.796,0,0,0,0
2220,0,0,0.04,249.544,239.554,0,0,0,0
2221,0,0,0.04,249.552,239.313,0,0,0,0
2222,0,0,0.04,249.559,239.071,0,0,0,0
2223,0,0,0.04,249.567,238.826,0,0,0,0
2224,0,0,0.04,249.57,238.577,0,0,0,0
2225,0,0,0.04,249.571,238.322,0,0,0,0
2226,0,0,0.04,249.576,238.065,0,0,0,0
2227,0,0,0.04,249.581,237.804,0,0,0,0
2228,0,0,0.04,249.586,237.536,0,0,0,0
2229,0,0,0.04,249.588,237.263,0,0,0,0
2230,0,0,0.04,249.588,236.982,0,0,0,0
2231,0,0,0.04,249.589,236.694,0,0,0,0
2232,0,0,0.04,249.592,236.399,0,0,0,0
2233,0,0,0.04,249.595,236.095,0,0,0,0
2234,0,0,0.04,249.598,235.783,0,0,0,0
2235,0,0,0.04,249.602,235.464,0,0,0,0
2236,0,0,0.04,249.605,235.137,0,0,0,0
2237,0,0,0.04,249.608,234.802,0,0,0,0
2238,0,0,0.04,249.612,234.459,0,0,0,0
2239,0,0,0.04,249.615,234.108,0,0,0,0
2240,0,0,0.04,249.619,233.749,0,0,0,0
2241,0,0,0.04,249.623,233.382,0,0,0,0
2242,0,0,0.04,249.627,233.009,0,0,0,0
2243,0,0,0.04,249.631,232.633,0,0,0,0
2244,0,0,0.04,249.635,232.256,0,0,0,0
2245,0,0,0.04,249.639,231.879,0,0,0,0
2246,0,0,0.04,249.643,231.504,0,0,0,0
2247,0,0,0.04,249.646,231.131,0,0,0,0
2248,0,0,0.04,249.65,230.76,0,0,0,0
2249,0,0,0.04,249.654,230.391,0,0,0,0
2250,0,0,0.04,249.654,230.023,0,0,0,0
2251,0,0,0.04,249.65,229.654,0,0,0,0
2252,0,0,0.04,249.649,229.284,0,0,0,0
2253,0,0,0.04,249.648,228.913,0,0,0,0
2254,0,0,0.04,249.647,228.543,0,0,0,0
2255,0,0,0.04,249.646,228.174,0,0,0,0
2256,0,0,0.04,249.645,227.808,0,0,0,0
2257,0,0,0.04,249.644,227.444,0,0,0,0
2258,0,0,0.04,249.643,227.082,0,0,0,0
2259,0,0,0.04,249.641,226.723,0,0,0,0
2260,0,0,0.04,249.641,226.367,0,0,0,0
2261,0,0,0.04,249.639,226.014,0,0,0,0
2262,0,0,0.04,249.638,225.664,0,0,0,0
2263,0,0,0.04,249.637,225.316,0,0,0,0
2264,0,0,0.04,249.636,224.971,0,0,0,0
2265,0,0,0.04,249.635,224.628,0,0,0,0
2266,0,0,0.04,249.634,224.289,0,0,0,0
2267,0,0,0.04,249.633,223.952,0,0,0,0
2268,0,0,0.04,249.632,223.618,0,0,0,0
2269,0,0,0.04,249.631,223.287,0,0,0,0
2270,0,0,0.04,249.63,222.958,0,0,0,0
2271,0,0,0.04,249.629,222.632,0,0,0,0
2272,0,0,0.04,249.628,222.309,0,0,0,0
2273,0,0,0.04,249.626,221.988,0,0,0,0
2274,0,0,0.04,249.626,221.669,0,0,0,0
2275,0,0,0.04,249.624,221.351,0,0,0,0
2276,0,0,0.04,249.624,221.032,0,0,0,0
2277,0,0,0.04,249.622,220.709,0,0,0,0
2278,0,0,0.04,249.622,220.381,0,0,0,0
2279,0,0,0.04,249.62,220.048,0,0,0,0
2280,0,0,0.04,249.619,219.707,0,0,0,0
2281,0,0,0.04,249.618,219.359,0,0,0,0
2282,0,0,0.04,249.617,219.006,0,0,0,0
2283,0,0,0.04,249.616,218.649,0,0,0,0
2284,0,0,0.04,249.615,218.292,0,0,0,0
2285,0,0,0.04,249.613,217.935,0,0,0,0
2286,0,0,0.04,249.613,217.58,0,0,0,0
2287,0,0,0.04,249.611,217.226,0,0,0,0
2288,0,0,0.04,249.61,216.875,0,0,0,0
2289,0,0,0.04,249.609,216.526,0,0,0,0
2290,0,0,0.04,249.608,216.18,0,0,0,0
2291,0,0,0.04,249.607,215.836,0,0,0,0
2292,0,0,0.04,249.606,215.495,0,0,0,0
2293,0,0,0.04,249.605,215.157,0,0,0,0
2294,0,0,0.04,249.604,214.821,0,0,0,0
2295,0,0,0.04,249.603,214.488,0,0,0,0
2296,0,0,0.04,249.602,214.158,0,0,0,0
2297,0,0,0.04,249.6,213.83,0,0,0,0
2298,0,0,0.04,249.6,213.505,0,0,0,0
2299,0,0,0.04,249.598,213.183,0,0,0,0
2300,0,0,0.04,249.598,212.863,0,0,0,0
2301,0,0,0.04,249.6,212.546,0,0,0,0
2302,0,0,0.04,249.614,212.234,0,0,0,0
2303,0,0,0.04,249.643,211.927,0,0,0,0
2304,0,0,0.04,249.692,211.629,0,0,0,0
2305,0,0,0.04,249.762,211.34,0,0,0,0
2306,0,0,0.041,249.855,211.063,0,0,0,0
2307,0,0,0.041,249.97,210.796,0,0,0,0
2308,0,0,0.041,250.093,210.524,0,0,0,0
2309,0,0,0.041,250.212,210.242,0,0,0,0
2310,0,0,0.042,250.321,209.956,0,0,0,0
2311,0,0,0.042,250.429,209.67,0,0,0,0
2312,0,0,0.043,250.546,209.391,0,0,0,0
2313,0,0,0.044,250.667,209.116,0,0,0,0
2314,0,0,0.045,250.783,208.841,0,0,0,0
2315,0,0,0.045,250.898,208.569,0,0,0,0
2316,0,0,0.045,251.022,208.305,0,0,0,0
2317,0,0,0.046,251.156,208.052,0,0,0,0
2318,0,0,0.046,251.301,207.816,0,0,0,0
2319,0,0,0.047,251.457,207.599,0,0,0,0
2320,0,0,0.047,251.624,207.405,0,0,0,0
2321,0,0,0.048,251.804,207.243,0,0,0,0
2322,0,0,0.049,251.994,207.106,0,0,0,0
2323,0,0,0.049,252.189,206.969,0,0,0,0
2324,0,0,0.05,252.38,206.82,0,0,0,0
2325,0,0,0.05,252.559,206.658,0,0,0,0
2326,0,0,0.051,252.735,206.49,0,0,0,0
2327,0,0,0.051,252.911,206.32,0,0,0,0
2328,0,0,0.052,253.088,206.143,0,0,0,0
2329,0,0,0.052,253.271,205.965,0,0,0,0
2330,0,0,0.053,253.463,205.793,0,0,0,0
2331,0,0,0.053,253.664,205.631,0,0,0,0
2332,0,0,0.053,253.875,205.483,0,0,0,0
2333,0,0,0.053,254.096,205.351,0,0,0,0
2334,0,0,0.054,254.326,205.241,0,0,0,0
2335,0,0,0.054,254.569,205.148,0,0,0,0
2336,0,0,0.054,254.823,205.052,0,0,0,0
2337,0,0,0.054,255.077,204.944,0,0,0,0
2338,0,0,0.055,255.327,204.828,0,0,0,0
2339,0,0,0.055,255.58,204.716,0,0,0,0
2340,0,0,0.055,255.831,204.609,0,0,0,0
2341,0,0,0.056,256.079,204.496,0,0,0,0
2342,0,0,0.056,256.324,204.385,0,0,0,0
2343,0,0,0.056,256.571,204.283,0,0,0,0
2344,0,0,0.056,256.817,204.196,0,0,0,0
2345,0,0,0.056,257.061,204.128,0,0,0,0
2346,0,0,0.056,257.302,204.084,0,0,0,0
2347,0,0,0.056,257.535,204.068,0,0,0,0
2348,0,0,0.056,257.758,204.079,0,0,0,0
2349,0,0,0.056,257.972,204.108,0,0,0,0
2350,0,0,0.056,258.192,204.136,0,0,0,0
2351,0,0,0.056,258.417,204.151,0,0,0,0
2352,0,0,0.055,258.641,204.149,0,0,0,0
2353,0,0,0.055,258.862,204.135,0,0,0,0
2354,0,0,0.055,259.082,204.119,0,0,0,0
