DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
2001,0,2001,4.05106671572162,0,90000000000,0,0,2,2
2002,1,2002,4.05106671572162,0,90000000000,0,0,2,2
2003,2,2003,4.0797795569745094,0,34.82762263728868,0,0,2,2
2004,3,2004,3.965676643583118,0,-8.76401811555713,0,0,2,2
2005,4,2005,4.028230806875987,0,15.986146202901848,0,0,2,2
2006,5,2006,4.060801794372038,0,30.70217014824145,0,0,2,2
2007,6,2007,3.9727603566929988,0,-11.358287942157014,0,0,2,2
2008,7,2008,3.9442901290533205,0,-35.12441181208984,0,0,2,2
2009,8,2009,4.017438299683375,0,13.670881874236855,0,0,2,2
2010,9,2010,4.061146735087445,0,22.878878888144513,0,0,2,2
2011,10,2011,4.058102465379995,0,-328.4860068582998,0,0,2,2
2012,11,2012,3.959814844324412,0,-10.174221221963307,0,0,2,2
2013,12,2013,4.04910198574096,0,11.199820983569548,0,0,2,2
2014,13,2014,4.015915398112127,0,-30.132655131170395,0,0,2,2
2015,14,2015,4.089035666807492,0,13.676098540696279,0,0,2,2
2016,15,2016,4.071625923679646,0,-57.43910135012514,0,0,2,2
2017,16,2017,3.903630581075574,0,-5.952545972401042,0,0,2,2
2018,17,2018,4.084454965359733,0,5.530227596011268,0,0,2,2
2019,18,2019,4.1366994291035555,0,19.14078408199252,0,0,2,2
2020,19,2020,4.064271427023709,0,-13.806814647428334,0,0,2,2
2021,20,2021,4.159185642643524,0,10.535829574840076,0,0,2,2
2022,21,2022,3.901464447738552,0,-3.8801620501904126,0,0,2,2
2023,22,2023,4.121820964212135,0,4.538100420188318,0,0,2,2
2024,23,2024,3.9396483687314983,0,-5.489299844258369,0,0,2,2
2025,24,2025,4.1085146937555415,0,5.921843800755538,0,0,2,2
2026,25,2026,4.144284247820467,0,27.956736563863515,0,0,2,2
2027,26,2027,4.037648038071347,0,-9.377677642075515,0,0,2,2
2028,27,2028,3.9730109330133008,0,-15.47098990745284,0,0,2,2
2029,28,2029,4.036045475340687,0,15.864317611861686,0,0,2,2
2030,29,2030,4.082644527286236,0,21.459664054292443,0,0,2,2
2031,30,2031,3.998762749833263,0,-11.921540415147193,0,0,2,2
2032,31,2032,4.209800028197055,0,4.738499319898228,0,0,2,2
2033,32,2033,3.9687028356181715,0,-4.147704870818083,0,0,2,2
2034,33,2034,4.039210130005668,0,14.182929705175773,0,0,2,2
2035,34,2035,4.123429439240385,0,11.87376160035968,0,0,2,2
2036,35,2036,4.060878889430093,0,-15.98706970654727,0,0,2,2
2037,36,2037,3.966077045533897,0,-10.548318037937724,0,0,2,2
2038,37,2038,4.052314803388993,0,11.595848789114955,0,0,2,2
2039,38,2039,4.096547036421688,0,22.607947450015104,0,0,2,2
2040,39,2040,4.123642329265584,0,36.90677955618712,0,0,2,2
2041,40,2041,4.0485363658528914,0,-13.314521970847998,0,0,2,2
2042,41,2042,4.006514273550114,0,-23.797006412598616,0,0,2,2
2043,42,2043,3.9883000231076458,0,-54.90206710172338,0,0,2,2
2044,43,2044,4.008091081024905,0,50.52786991886431,0,0,2,2
2045,44,2045,4.120612809753393,0,8.887172382615798,0,0,2,2
2046,45,2046,4.029226141578486,0,-10.942515138926863,0,0,2,2
2047,46,2047,4.0790269410362585,0,20.079998933509746,0,0,2,2
2048,47,2048,4.08534947520704,0,158.16442790002705,0,0,2,2
2049,48,2049,4.120160508702481,0,28.726524311062214,0,0,2,2
2050,49,2050,4.044330100152308,0,-13.187321802945995,0,0,2,2
2051,50,2051,3.886872737525271,0,-6.350925630379436,0,0,2,2
2052,51,2052,4.028969754953061,0,7.037445388381736,0,0,2,2
2053,52,2053,3.910043287091043,0,-8.408557135996242,0,0,2,2
2054,53,2054,4.098369943286956,0,5.309922770357672,0,0,2,2
2055,54,2055,4.229025616409068,0,7.653705163383088,0,0,2,2
2056,55,2056,3.9551712742644645,0,-3.651576207150186,0,0,2,2
2057,56,2057,3.9253959219180157,0,-33.58482507157524,0,0,2,2
2058,57,2058,3.9985981317487176,0,13.660789780974449,0,0,2,2
2059,58,2059,4.163535503254106,0,6.06290733793662,0,0,2,2
2060,59,2060,3.9757209191208718,0,-5.324400150366415,0,0,2,2
2061,60,2061,4.078064264445809,0,9.771031001820695,0,0,2,2
2062,61,2062,4.08550108850925,0,134.46600208223936,0,0,2,2
2063,62,2063,4.041758037059919,0,-22.860773697014032,0,0,2,2
2064,63,2064,4.065576625325407,0,41.98401638475697,0,0,2,2
2065,64,2065,4.033866787913525,0,-31.53595482092599,0,0,2,2
2066,65,2066,4.071515986344372,0,26.560990450746903,0,0,2,2
2067,66,2067,4.092303455615734,0,48.10590394366443,0,0,2,2
2068,67,2068,4.0387427283839425,0,-18.670396234023578,0,0,2,2
2069,68,2069,4.1440759193125665,0,9.493683720999414,0,0,2,2
2070,69,2070,4.030841212506819,0,-8.831214635593,0,0,2,2
2071,70,2071,3.9731866378274,0,-17.34467742690625,0,0,2,2
2072,71,2072,3.994274544057404,0,47.420544699558356,0,0,2,2
2073,72,2073,4.068887871501614,0,13.402431365197035,0,0,2,2
2074,73,2074,4.1138683574169175,0,22.231862987940247,0,0,2,2
2075,74,2075,4.0931617797870725,0,-48.293832900646635,0,0,2,2
2076,75,2076,4.063249326485005,0,-33.430892140528165,0,0,2,2
2077,76,2077,3.9937438577279307,0,-14.387357108475264,0,0,2,2
2078,77,2078,4.041803985296816,0,20.807268947979328,0,0,2,2
2079,78,2079,4.017476639696116,0,-41.10600541520673,0,0,2,2
2080,79,2080,4.137994407681241,0,8.297531697761174,0,0,2,2
2081,80,2081,3.995927905859799,0,-7.03895701786805,0,0,2,2
2082,81,2082,4.056763093923534,0,16.437854995242834,0,0,2,2
2083,82,2083,4.108083473428668,0,19.485436577879412,0,0,2,2
2084,83,2084,4.129413038777072,0,46.8832807263396,0,0,2,2
2085,84,2085,4.028930100650481,0,-9.951938295635562,0,0,2,2
2086,85,2086,3.9810208944174112,0,-20.87281503131535,0,0,2,2
