PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2001,0,0,0.191,-2.883,-1.514,0,0,0,0
2002,0,0,0.191,-3.131,-1.707,0,0,0,0
2003,0,0,0.193,-3.753,-2.163,0,0,0,0
2004,0,0,0.187,-4.491,-2.846,0,0,0,0
2005,0,0,0.149,-4.838,-3.129,0,0,0,0
2006,0,0,0.157,-5.074,-3.309,0,0,0,0
2007,0,0,0.156,-5.348,-3.559,0,0,0,0
2008,0,0,0.158,-5.642,-3.843,0,0,0,0
2009,0,0,0.158,-6.105,-4.229,0,0,0,0
2010,0,0,0.141,-7.379,-5.2,0,0,0,0
2011,0,0,0.169,-7.997,-5.674,0,0,0,0
2012,0,0,0.151,-8.516,-6.16,0,0,0,0
2013,0,0,0.164,-8.978,-6.521,0,0,0,0
2014,0,0,0.187,-9.827,-7.231,0,0,0,0
2015,0,0,0.175,-10.496,-7.712,0,0,0,0
2016,0,0,0.188,-11.023,-8.105,0,0,0,0
2017,0,0,0.213,-11.232,-8.324,0,0,0,0
2018,0,0,0.181,-11.991,-8.875,0,0,0,0
2019,0,0,0.179,-12.35,-9.108,0,0,0,0
2020,0,0,0.178,-12.799,-9.448,0,0,0,0
2021,0,0,0.18,-13.267,-9.737,0,0,0,0
2022,0,0,0.178,-13.496,-9.978,0,0,0,0
2023,0,0,0.186,-13.945,-10.279,0,0,0,0
2024,0,0,0.183,-14.305,-10.63,0,0,0,0
2025,0,0,0.182,-14.679,-10.888,0,0,0,0
2026,0,0,0.169,-15.149,-11.188,0,0,0,0
2027,0,0,0.176,-15.439,-11.42,0,0,0,0
2028,0,0,0.179,-15.757,-11.71,0,0,0,0
2029,0,0,0.172,-16.137,-12.015,0,0,0,0
2030,0,0,0.171,-16.513,-12.289,0,0,0,0
2031,0,0,0.175,-16.923,-12.644,0,0,0,0
2032,0,0,0.203,-17.225,-12.81,0,0,0,0
2033,0,0,0.216,-17.537,-13.097,0,0,0,0
2034,0,0,0.217,-18.006,-13.471,0,0,0,0
2035,0,0,0.222,-18.488,-13.793,0,0,0,0
2036,0,0,0.223,-18.905,-14.111,0,0,0,0
2037,0,0,0.218,-19.37,-14.541,0,0,0,0
2038,0,0,0.224,-19.799,-14.874,0,0,0,0
2039,0,0,0.205,-20.165,-15.133,0,0,0,0
2040,0,0,0.2,-20.785,-15.547,0,0,0,0
2041,0,0,0.194,-21.203,-15.874,0,0,0,0
2042,0,0,0.188,-21.413,-16.053,0,0,0,0
2043,0,0,0.198,-21.681,-16.29,0,0,0,0
2044,0,0,0.211,-22.273,-16.793,0,0,0,0
2045,0,0,0.221,-22.944,-17.244,0,0,0,0
2046,0,0,0.244,-23.433,-17.642,0,0,0,0
2047,0,0,0.263,-24.069,-18.109,0,0,0,0
2048,0,0,0.273,-24.679,-18.551,0,0,0,0
2049,0,0,0.259,-25.278,-18.954,0,0,0,0
2050,0,0,0.249,-25.7,-19.287,0,0,0,0
2051,0,0,0.267,-25.975,-19.585,0,0,0,0
2052,0,0,0.265,-26.282,-19.835,0,0,0,0
2053,0,0,0.275,-26.543,-20.105,0,0,0,0
2054,0,0,0.282,-27.458,-20.75,0,0,0,0
