DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
2001,0,2001,1.5707963267,0,90000000000,0,0,2,2
2002,1,2002,1.5707963267,0,90000000000,0,0,2,2
2003,2,2003,1.5747540896763612,0,252.66798592355593,0,0,2,2
2004,3,2004,1.5721155871483206,0,-379.0028583912701,0,0,2,2
2005,4,2005,1.5734244415427714,0,764.0269263255824,0,0,2,2
2006,5,2006,1.5745913748943197,0,856.94697017033,0,0,2,2
2007,6,2007,1.5726464633494037,0,-514.1622006481641,0,0,2,2
2008,7,2008,1.5734186983111451,0,1294.9426658241396,0,0,2,2
2009,8,2009,1.5731963220920047,0,-4496.883721943321,0,0,2,2
2010,9,2010,1.57389869523704,0,1423.7446392540369,0,0,2,2
2011,10,2011,1.5722866385623444,0,-620.325585134194,0,0,2,2
2012,11,2012,1.5736345404601932,0,741.8937547279482,0,0,2,2
2013,12,2013,1.573566402717257,0,-14676.153874574007,0,0,2,2
2014,13,2014,1.5735019478035428,0,-15514.720947974914,0,0,2,2
2015,14,2015,1.5739255073671985,0,2360.9430309378718,0,0,2,2
2016,15,2016,1.5728782112702577,0,-954.8398040640849,0,0,2,2
2017,16,2017,1.5679554253467063,0,-203.13700728196008,0,0,2,2
2018,17,2018,1.55350698343677,0,-69.2116150816441,0,0,2,2
2019,18,2019,1.559168943838457,0,176.6172719438394,0,0,2,2
2020,19,2020,1.5605025727433437,0,749.8337778491688,0,0,2,2
2021,20,2021,1.561841342293972,0,746.9545445895587,0,0,2,2
2022,21,2022,1.5587848924642782,0,-327.1769718857625,0,0,2,2
2023,22,2023,1.5616780384777438,0,345.6444974936274,0,0,2,2
2024,23,2024,1.5607904068252456,0,-1126.593443559141,0,0,2,2
2025,24,2025,1.560584584361113,0,-4858.556155249479,0,0,2,2
2026,25,2026,1.5605252279802597,0,-16847.388362027137,0,0,2,2
2027,26,2027,1.5610811570959828,0,1798.7904783495278,0,0,2,2
2028,27,2028,1.5595766012532193,0,-664.6479788767534,0,0,2,2
2029,28,2029,1.5612180756565146,0,609.208403123719,0,0,2,2
2030,29,2030,1.5611883445531254,0,-33634.80954301278,0,0,2,2
2031,30,2031,1.558712322865625,0,-403.87368375982555,0,0,2,2
2032,31,2032,1.5616780384777433,0,337.186747075093,0,0,2,2
2033,32,2033,1.5584892558841672,0,-313.59930338760626,0,0,2,2
2034,33,2034,1.5615373321328165,0,328.07578237031333,0,0,2,2
2035,34,2035,1.5583359125208225,0,-312.3614274909548,0,0,2,2
2036,35,2036,1.5613626443889406,0,330.389358414416,0,0,2,2
2037,36,2037,1.5612728052013285,0,-11131.000029942563,0,0,2,2
2038,37,2038,1.5644066373981496,0,319.098131997748,0,0,2,2
