PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
9001,0,0,8.531,22.649,-28.465,0,0,0,0
9002,0,0,8.516,23.364,-29.295,0,0,0,0
9003,0,0,8.531,24.114,-30.12,0,0,0,0
9004,0,0,8.536,24.857,-30.957,0,0,0,0
9005,0,0,8.531,25.537,-31.71,0,0,0,0
9006,0,0,8.568,26.272,-32.503,0,0,0,0
9007,0,0,8.547,26.973,-33.244,0,0,0,0
9008,0,0,8.567,27.726,-34.074,0,0,0,0
9009,0,0,8.569,28.42,-34.838,0,0,0,0
9010,0,0,8.557,29.188,-35.648,0,0,0,0
9011,0,0,8.58,29.937,-36.458,0,0,0,0
9012,0,0,8.582,30.738,-37.317,0,0,0,0
9013,0,0,8.568,31.418,-38.053,0,0,0,0
9014,0,0,8.576,32.134,-38.834,0,0,0,0
9015,0,0,8.579,32.833,-39.591,0,0,0,0
9016,0,0,8.582,33.544,-40.384,0,0,0,0
9017,0,0,8.595,34.3,-41.276,0,0,0,0
9018,0,0,8.613,35.002,-42.076,0,0,0,0
9019,0,0,8.622,35.797,-42.934,0,0,0,0
9020,0,0,8.63,36.492,-43.72,0,0,0,0
9021,0,0,8.628,37.188,-44.51,0,0,0,0
9022,0,0,8.618,37.885,-45.333,0,0,0,0
9023,0,0,8.644,38.627,-46.174,0,0,0,0
9024,0,0,8.636,39.301,-46.99,0,0,0,0
9025,0,0,8.667,40.008,-47.865,0,0,0,0
9026,0,0,8.659,40.737,-48.761,0,0,0,0
9027,0,0,8.669,41.489,-49.672,0,0,0,0
9028,0,0,8.652,42.09,-50.496,0,0,0,0
9029,0,0,8.686,42.782,-51.374,0,0,0,0
9030,0,0,8.681,43.41,-52.232,0,0,0,0
9031,0,0,8.692,44.125,-53.135,0,0,0,0
9032,0,0,8.678,44.787,-53.998,0,0,0,0
9033,0,0,8.702,45.42,-54.879,0,0,0,0
9034,0,0,8.687,46.033,-55.69,0,0,0,0
9035,0,0,8.706,46.721,-56.615,0,0,0,0
9036,0,0,8.715,47.407,-57.519,0,0,0,0
9037,0,0,8.694,48.083,-58.448,0,0,0,0
9038,0,0,8.702,48.771,-59.38,0,0,0,0
9039,0,0,8.687,49.435,-60.282,0,0,0,0
9040,0,0,8.912,50.14,-61.204,0,0,0,0
9041,0,0,8.699,51.098,-62.563,0,0,0,0
9042,0,0,8.699,51.812,-63.525,0,0,0,0
9043,0,0,8.684,52.486,-64.422,0,0,0,0
9044,0,0,8.721,53.198,-65.382,0,0,0,0
9045,0,0,8.716,53.908,-66.343,0,0,0,0
9046,0,0,8.706,54.581,-67.257,0,0,0,0
9047,0,0,8.695,55.222,-68.16,0,0,0,0
9048,0,0,8.712,55.821,-68.987,0,0,0,0
9049,0,0,9.273,56.307,-69.714,0,0,0,0
9050,0,0,8.687,56.879,-70.362,0,0,0,0
9051,0,0,8.691,57.535,-71.307,0,0,0,0
9052,0,0,8.692,58.218,-72.209,0,0,0,0
9053,0,0,8.691,58.897,-73.118,0,0,0,0
9054,0,0,8.725,59.579,-74.063,0,0,0,0
9055,0,0,8.732,60.28,-74.973,0,0,0,0
9056,0,0,8.719,60.961,-75.912,0,0,0,0
9057,0,0,8.727,61.62,-76.782,0,0,0,0
9058,0,0,8.727,62.312,-77.709,0,0,0,0
9059,0,0,8.732,62.969,-78.566,0,0,0,0
9060,0,0,8.731,63.661,-79.468,0,0,0,0
9061,0,0,8.76,64.319,-80.36,0,0,0,0
9062,0,0,8.78,64.956,-81.219,0,0,0,0
9063,0,0,8.781,65.603,-82.091,0,0,0,0
9064,0,0,8.789,66.269,-82.97,0,0,0,0
9065,0,0,8.796,66.946,-83.88,0,0,0,0
9066,0,0,8.796,67.576,-84.742,0,0,0,0
9067,0,0,8.806,68.292,-85.657,0,0,0,0
9068,0,0,8.812,68.939,-86.529,0,0,0,0
9069,0,0,8.818,69.628,-87.419,0,0,0,0
9070,0,0,8.829,70.273,-88.291,0,0,0,0
9071,0,0,8.85,71.0,-89.25,0,0,0,0
9072,0,0,8.855,71.607,-90.072,0,0,0,0
9073,0,0,8.854,72.299,-90.982,0,0,0,0
9074,0,0,8.849,73.013,-91.845,0,0,0,0
9075,0,0,8.832,73.684,-92.724,0,0,0,0
9076,0,0,8.847,74.188,-93.613,0,0,0,0
9077,0,0,8.857,74.9,-94.365,0,0,0,0
9078,0,0,8.882,75.408,-95.276,0,0,0,0
9079,0,0,8.889,76.088,-96.03,0,0,0,0
9080,0,0,8.876,76.865,-96.915,0,0,0,0
9081,0,0,8.862,77.421,-97.821,0,0,0,0
9082,0,0,8.876,78.144,-98.745,0,0,0,0
9083,0,0,8.886,78.819,-99.68,0,0,0,0
9084,0,0,8.88,79.433,-100.606,0,0,0,0
9085,0,0,8.873,80.207,-101.532,0,0,0,0
9086,0,0,8.882,80.784,-102.38,0,0,0,0
9087,0,0,8.871,81.507,-103.134,0,0,0,0
9088,0,0,8.877,82.159,-104.07,0,0,0,0
9089,0,0,8.863,82.753,-104.9,0,0,0,0
9090,0,0,8.877,83.485,-105.81,0,0,0,0
9091,0,0,8.878,85.532,-108.719,0,0,0,0
9092,0,0,8.891,86.807,-110.573,0,0,0,0
9093,0,0,8.874,87.433,-111.489,0,0,0,0
9094,0,0,8.887,88.228,-112.327,0,0,0,0
9095,0,0,8.886,89.089,-113.285,0,0,0,0
9096,0,0,8.89,89.808,-114.035,0,0,0,0
9097,0,0,8.887,90.384,-114.879,0,0,0,0
9098,0,0,8.888,90.881,-115.763,0,0,0,0
9099,0,0,8.884,91.638,-116.58,0,0,0,0
9100,0,0,8.902,92.412,-117.558,0,0,0,0
9101,0,0,8.9,93.071,-118.367,0,0,0,0
