DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
9001,0,9001,2.4304911388976134,0,90000000000,0,0,2,2
9002,1,9002,2.4304911388976134,0,90000000000,0,0,2,2
9003,2,9003,2.403777593374431,0,-37.43419229514833,0,0,2,2
9004,3,9004,2.415618117121409,0,84.45572352787653,0,0,2,2
9005,4,9005,2.407092571618052,0,-117.29454726460176,0,0,2,2
9006,5,9006,2.3947626672377593,0,-81.10362977334475,0,0,2,2
9007,6,9007,2.383252423353967,0,-86.87913219702679,0,0,2,2
9008,7,9008,2.4047980011835355,0,46.41323653096171,0,0,2,2
9009,8,9009,2.4041686256798402,0,-1588.8765834207402,0,0,2,2
9010,9,9010,2.382804177344376,0,-46.806731645864446,0,0,2,2
9011,10,9011,2.395302186560772,0,80.01274304455721,0,0,2,2
9012,11,9012,2.3911200415403817,0,-239.11174651390462,0,0,2,2
9013,12,9013,2.395721913713462,0,217.30286335411142,0,0,2,2
9014,13,9014,2.399587407752498,0,258.69914424948036,0,0,2,2
9015,14,9015,2.396008604288986,0,-279.4229999483462,0,0,2,2
9016,15,9016,2.410661840077789,0,68.24431234254415,0,0,2,2
9017,16,9017,2.438532186602382,0,35.88042937024804,0,0,2,2
9018,17,9018,2.4213484776903167,0,-58.19465431574371,0,0,2,2
9019,18,9019,2.394288575218828,0,-36.95504819552252,0,0,2,2
9020,19,9020,2.4175623062398266,0,42.966896845965934,0,0,2,2
9021,20,9021,2.419367384575519,0,553.9925776221339,0,0,2,2
9022,21,9022,2.438900134514803,0,51.19606830110473,0,0,2,2
9023,22,9023,2.4186526283664787,0,-49.388798436431216,0,0,2,2
9024,23,9024,2.451209539697232,0,30.715444405667277,0,0,2,2
9025,24,9025,2.4619926630212414,0,92.73750934234846,0,0,2,2
9026,25,9026,2.458604196818938,0,-295.118776548565,0,0,2,2
9027,26,9027,2.4515150849340137,0,-141.06139333569067,0,0,2,2
9028,27,9028,2.511426702422687,0,16.69125358181257,0,0,2,2
9029,28,9029,2.4741161825304587,0,-26.8020923559498,0,0,2,2
9030,29,9030,2.509753920375121,0,28.06014243549356,0,0,2,2
9031,30,9031,2.4718686183326857,0,-26.39546066915086,0,0,2,2
9032,31,9032,2.487242393334415,0,65.0458329127046,0,0,2,2
9033,32,9033,2.5185570624192755,0,31.933915612841794,0,0,2,2
9034,33,9034,2.4943536120811727,0,-41.316423321088614,0,0,2,2
9035,34,9035,2.502081808048193,0,129.39630468319825,0,0,2,2
9036,35,9036,2.492451844184706,0,-103.84254958542837,0,0,2,2
9037,36,9037,2.51254039984886,0,49.77958678156313,0,0,2,2
9038,37,9038,2.5056880836555973,0,-145.93605604236973,0,0,2,2
9039,38,9039,2.5070198788814446,0,750.8661846747063,0,0,2,2
9040,39,9040,2.488786281663801,0,-54.843813212696766,0,0,2,2
9041,40,9041,2.5275655580146825,0,25.78696907471471,0,0,2,2
9042,41,9042,2.503099850071954,0,-40.8735362304203,0,0,2,2
9043,42,9043,2.4972002793404573,0,-169.50385807923342,0,0,2,2
9044,43,9044,2.5034462458655957,0,160.1033236369831,0,0,2,2
9045,44,9045,2.505289277782504,0,542.5842009711507,0,0,2,2
9046,45,9046,2.506901889422388,0,620.1121058955384,0,0,2,2
9047,46,9047,2.5242824830027204,0,57.53543429791555,0,0,2,2
9048,47,9048,2.5147403490787736,0,-104.79836145355482,0,0,2,2
9049,48,9049,2.552321417580028,0,26.609142312348673,0,0,2,2
9050,49,9050,2.418409176805774,0,-7.467577229820061,0,0,2,2
9051,50,9051,2.5347834900415993,0,8.592961558222584,0,0,2,2
9052,51,9052,2.4934955014050866,0,-24.22011904730223,0,0,2,2
9053,52,9053,2.5000305516140484,0,153.02101254381353,0,0,2,2
9054,53,9054,2.5164554258865666,0,60.88326664838979,0,0,2,2
9055,54,9055,2.485207006131449,0,-32.001618252591214,0,0,2,2
9056,55,9056,2.5141274178241053,0,34.57765437875595,0,0,2,2
9057,56,9057,2.4933270581222624,0,-48.07609167986649,0,0,2,2
9058,57,9058,2.50033912044673,0,142.6113964376318,0,0,2,2
9059,58,9059,2.4875344262756,0,-78.09635955653248,0,0,2,2
9060,59,9060,2.487184165875381,0,-2855.0187214293705,0,0,2,2
9061,60,9061,2.506030749959953,0,53.060013183960685,0,0,2,2
9062,61,9062,2.5035150935431245,0,-397.5105635692475,0,0,2,2
9063,62,9063,2.50324898653995,0,-3757.8868202266467,0,0,2,2
9064,63,9064,2.4931949570682153,0,-99.46260877903221,0,0,2,2
9065,64,9065,2.5019709115922844,0,113.94771899254735,0,0,2,2
9066,65,9066,2.5104550960509813,0,117.86636710555317,0,0,2,2
9067,66,9067,2.4776054303433765,0,-30.441710089259725,0,0,2,2
9068,67,9068,2.50324898653995,0,38.99615140483624,0,0,2,2
9069,68,9069,2.482809279753335,0,-48.92438088470375,0,0,2,2
9070,69,9070,2.504729839224019,0,45.61927360190726,0,0,2,2
9071,70,9071,2.492939521148634,0,-84.8153538866539,0,0,2,2
