LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
9001,9001,0,9002,9001,9002,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9002,9002,9001,9003,9002,9003,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9003,9003,9002,9004,9003,9004,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9004,9004,9003,9005,9004,9005,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9005,9005,9004,9006,9005,9006,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9006,9006,9005,9007,9006,9007,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9007,9007,9006,9008,9007,9008,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9008,9008,9007,9009,9008,9009,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9009,9009,9008,9010,9009,9010,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9010,9010,9009,9011,9010,9011,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9011,9011,9010,9012,9011,9012,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9012,9012,9011,9013,9012,9013,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9013,9013,9012,9014,9013,9014,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9014,9014,9013,9015,9014,9015,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9015,9015,9014,9016,9015,9016,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9016,9016,9015,9017,9016,9017,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9017,9017,9016,9018,9017,9018,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9018,9018,9017,9019,9018,9019,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9019,9019,9018,9020,9019,9020,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9020,9020,9019,9021,9020,9021,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9021,9021,9020,9022,9021,9022,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9022,9022,9021,9023,9022,9023,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9023,9023,9022,9024,9023,9024,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9024,9024,9023,9025,9024,9025,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9025,9025,9024,9026,9025,9026,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9026,9026,9025,9027,9026,9027,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9027,9027,9026,9028,9027,9028,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9028,9028,9027,9029,9028,9029,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9029,9029,9028,9030,9029,9030,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9030,9030,9029,9031,9030,9031,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9031,9031,9030,9032,9031,9032,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9032,9032,9031,9033,9032,9033,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9033,9033,9032,9034,9033,9034,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9034,9034,9033,9035,9034,9035,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9035,9035,9034,9036,9035,9036,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9036,9036,9035,9037,9036,9037,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9037,9037,9036,9038,9037,9038,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9038,9038,9037,9039,9038,9039,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
9039,9039,9038,9040,9039,9040,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
