DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1001,0,1001,1.5706159461937805,0,90000000000,0,0,2,2
1002,1,1002,1.5706159461937805,0,90000000000,0,0,2,2
1003,2,1003,1.5710363578994468,0,2378.6207342040943,0,0,2,2
1004,3,1004,1.5710077368022535,0,-34939.261525991235,0,0,2,2
1005,4,1005,1.5711231434926902,0,8665.008902131893,0,0,2,2
1006,5,1006,1.5690903372401281,0,-491.93079701502967,0,0,2,2
1007,6,1007,1.5689557145684498,0,-7428.169323438051,0,0,2,2
1008,7,1008,1.5686363058159303,0,-3130.7845890626863,0,0,2,2
1009,8,1009,1.5682534958301988,0,-2612.2620549962444,0,0,2,2
1010,9,1010,1.567912565854563,0,-2933.153642870459,0,0,2,2
1011,10,1011,1.569028273497871,0,896.2921478559839,0,0,2,2
1012,11,1012,1.5683676551986594,0,-1513.7334239654833,0,0,2,2
1013,12,1013,1.5684754110339634,0,9280.239879158233,0,0,2,2
1014,13,1014,1.5684588800570125,0,-60492.49254730128,0,0,2,2
1015,14,1015,1.5693912035006823,0,1072.5891393053826,0,0,2,2
1016,15,1016,1.5515668174636283,0,-56.102914171695225,0,0,2,2
1017,16,1017,1.5593862076728497,0,127.88721028664114,0,0,2,2
1018,17,1018,1.559631749229936,0,4072.6303598717514,0,0,2,2
1019,18,1019,1.5603462402901191,0,1399.5976377140162,0,0,2,2
1020,19,1020,1.5602731051708514,0,-13673.32151792592,0,0,2,2
1021,20,1021,1.5605402761532297,0,3742.9214471508494,0,0,2,2
1022,21,1022,1.5596838425998092,0,-1167.6329074288967,0,0,2,2
1023,22,1023,1.5604369592339504,0,1327.8155795088473,0,0,2,2
1024,23,1024,1.560366573502377,0,-14207.424965920718,0,0,2,2
1025,24,1025,1.56027352852355,0,-10747.490220393849,0,0,2,2
1026,25,1026,1.5603167873838384,0,23116.65155611479,0,0,2,2
1027,26,1027,1.5602126432082224,0,-9602.073222867975,0,0,2,2
1028,27,1028,1.5603395866674272,0,7877.522845713829,0,0,2,2
1029,28,1029,1.5604457063862052,0,9423.319355873213,0,0,2,2
1030,29,1030,1.560246370088169,0,-5016.647794967425,0,0,2,2
1031,30,1031,1.559660768578082,0,-1707.6458697164428,0,0,2,2
1032,31,1032,1.5592028183805353,0,-2183.6435607133826,0,0,2,2
1033,32,1033,1.5581253798288566,0,-928.1271757372258,0,0,2,2
1034,33,1034,1.5566612631984011,0,-683.0056972230019,0,0,2,2
1035,34,1035,1.5555975918432194,0,-940.1400114128027,0,0,2,2
1036,35,1036,1.5541259437505452,0,-679.5102748938151,0,0,2,2
1037,36,1037,1.552885481318075,0,-806.1509754943779,0,0,2,2
1038,37,1038,1.5531588912852945,0,3657.5111367365535,0,0,2,2
1039,38,1039,1.5533266894392792,0,5959.541128748756,0,0,2,2
1040,39,1040,1.5541906323996943,0,1157.4838222184007,0,0,2,2
1041,40,1041,1.5539019306491981,0,-3463.782253766011,0,0,2,2
1042,41,1042,1.5537746751005848,0,-7858.203519582626,0,0,2,2
1043,42,1043,1.553458073462205,0,-3158.543351568176,0,0,2,2
1044,43,1044,1.5542071389727117,0,1334.996720545278,0,0,2,2
1045,44,1045,1.5542686707312687,0,16251.770198844073,0,0,2,2
1046,45,1046,1.5547869612148626,0,1929.4199520429686,0,0,2,2
1047,46,1047,1.5555746441573521,0,1269.5463441666138,0,0,2,2
1048,47,1048,1.5564501087977414,0,1142.250587705515,0,0,2,2
1049,48,1049,1.5576003889319332,0,869.3534472822894,0,0,2,2
1050,49,1050,1.5580756995278244,0,2103.887455159607,0,0,2,2
1051,50,1051,1.5585502233487594,0,2107.375764676554,0,0,2,2
1052,51,1052,1.5584516260756238,0,-10142.26832242346,0,0,2,2
1053,52,1053,1.5584112331616264,0,-24756.817496873653,0,0,2,2
1054,53,1054,1.5584451473870529,0,29486.151826450732,0,0,2,2
1055,54,1055,1.5584130588770102,0,-31163.802827570937,0,0,2,2
1056,55,1056,1.558453395681946,0,24791.254577367206,0,0,2,2
1057,56,1057,1.5584612741910804,0,126927.56750530448,0,0,2,2
1058,57,1058,1.558466983527938,0,175151.69010325428,0,0,2,2
1059,58,1059,1.5584496873239995,0,-57816.15454740148,0,0,2,2
1060,59,1060,1.5584670021217941,0,57754.0674664271,0,0,2,2
1061,60,1061,1.5584616988846198,0,-188564.07268518096,0,0,2,2
1062,61,1062,1.5583642287230526,0,-10259.550039937772,0,0,2,2
1063,62,1063,1.5584039512178554,0,25174.652422137453,0,0,2,2
1064,63,1064,1.5584568342185832,0,18909.668253263793,0,0,2,2
1065,64,1065,1.5584406089211233,0,-61632.15204384786,0,0,2,2
1066,65,1066,1.5584747613894863,0,29280.46047429793,0,0,2,2
1067,66,1067,1.5585924861497782,0,8494.389774251948,0,0,2,2
