PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1001,0,0,0.041,129.675,314.065,0,0,0,0
1002,0,0,0.04,130.691,314.065,0,0,0,0
1003,0,0,0.04,131.708,314.064,0,0,0,0
1004,0,0,0.04,132.718,314.064,0,0,0,0
1005,0,0,0.04,133.745,314.064,0,0,0,0
1006,0,0,0.04,134.801,314.066,0,0,0,0
1007,0,0,0.04,135.862,314.068,0,0,0,0
1008,0,0,0.04,136.865,314.07,0,0,0,0
1009,0,0,0.04,137.897,314.072,0,0,0,0
1010,0,0,0.04,138.902,314.075,0,0,0,0
1011,0,0,0.04,139.921,314.077,0,0,0,0
1012,0,0,0.04,140.939,314.08,0,0,0,0
1013,0,0,0.04,141.951,314.082,0,0,0,0
1014,0,0,0.04,142.983,314.084,0,0,0,0
1015,0,0,0.04,144.003,314.086,0,0,0,0
1016,0,0,0.04,145.06,314.106,0,0,0,0
1017,0,0,0.04,146.06,314.118,0,0,0,0
1018,0,0,0.04,147.107,314.129,0,0,0,0
1019,0,0,0.04,148.109,314.14,0,0,0,0
1020,0,0,0.04,149.118,314.15,0,0,0,0
1021,0,0,0.04,150.136,314.161,0,0,0,0
1022,0,0,0.04,151.154,314.172,0,0,0,0
1023,0,0,0.04,152.171,314.183,0,0,0,0
1024,0,0,0.04,153.198,314.193,0,0,0,0
1025,0,0,0.04,154.224,314.204,0,0,0,0
1026,0,0,0.04,155.287,314.215,0,0,0,0
1027,0,0,0.04,156.302,314.226,0,0,0,0
1028,0,0,0.04,157.312,314.237,0,0,0,0
1029,0,0,0.04,158.379,314.248,0,0,0,0
1030,0,0,0.04,159.455,314.259,0,0,0,0
1031,0,0,0.04,160.51,314.271,0,0,0,0
1032,0,0,0.044,161.521,314.282,0,0,0,0
1033,0,0,0.057,162.574,314.296,0,0,0,0
1034,0,0,0.073,163.634,314.311,0,0,0,0
1035,0,0,0.081,164.666,314.326,0,0,0,0
1036,0,0,0.097,165.729,314.344,0,0,0,0
1037,0,0,0.107,166.753,314.363,0,0,0,0
1038,0,0,0.106,167.858,314.382,0,0,0,0
1039,0,0,0.106,168.978,314.402,0,0,0,0
1040,0,0,0.106,170.06,314.42,0,0,0,0
1041,0,0,0.106,171.126,314.438,0,0,0,0
1042,0,0,0.105,172.155,314.455,0,0,0,0
1043,0,0,0.105,173.164,314.473,0,0,0,0
1044,0,0,0.105,174.225,314.49,0,0,0,0
1045,0,0,0.099,175.296,314.508,0,0,0,0
1046,0,0,0.083,176.319,314.524,0,0,0,0
1047,0,0,0.076,177.46,314.542,0,0,0,0
1048,0,0,0.059,178.598,314.558,0,0,0,0
1049,0,0,0.047,179.602,314.571,0,0,0,0
1050,0,0,0.043,180.621,314.584,0,0,0,0
1051,0,0,0.04,181.718,314.598,0,0,0,0
1052,0,0,0.04,182.79,314.611,0,0,0,0
1053,0,0,0.04,183.825,314.624,0,0,0,0
1054,0,0,0.04,184.87,314.637,0,0,0,0
1055,0,0,0.04,185.896,314.649,0,0,0,0
1056,0,0,0.04,187.05,314.664,0,0,0,0
1057,0,0,0.04,188.124,314.677,0,0,0,0
1058,0,0,0.04,189.203,314.69,0,0,0,0
1059,0,0,0.04,190.271,314.703,0,0,0,0
1060,0,0,0.04,191.384,314.717,0,0,0,0
1061,0,0,0.04,192.396,314.729,0,0,0,0
1062,0,0,0.04,193.474,314.743,0,0,0,0
1063,0,0,0.04,194.501,314.756,0,0,0,0
1064,0,0,0.04,195.517,314.768,0,0,0,0
1065,0,0,0.04,196.577,314.781,0,0,0,0
1066,0,0,0.04,197.587,314.794,0,0,0,0
1067,0,0,0.04,198.625,314.806,0,0,0,0
1068,0,0,0.04,199.67,314.819,0,0,0,0
1069,0,0,0.04,200.715,314.832,0,0,0,0
1070,0,0,0.04,201.723,314.844,0,0,0,0
1071,0,0,0.04,202.797,314.858,0,0,0,0
1072,0,0,0.04,203.836,314.871,0,0,0,0
1073,0,0,0.04,204.877,314.884,0,0,0,0
1074,0,0,0.04,205.9,314.896,0,0,0,0
1075,0,0,0.04,206.914,314.908,0,0,0,0
1076,0,0,0.04,207.922,314.92,0,0,0,0
1077,0,0,0.04,208.936,314.931,0,0,0,0
1078,0,0,0.04,209.952,314.943,0,0,0,0
1079,0,0,0.04,210.974,314.955,0,0,0,0
1080,0,0,0.04,211.985,314.966,0,0,0,0
1081,0,0,0.04,213.011,314.978,0,0,0,0
1082,0,0,0.04,214.037,314.99,0,0,0,0
1083,0,0,0.04,215.109,315.002,0,0,0,0
1084,0,0,0.04,216.203,315.014,0,0,0,0
1085,0,0,0.04,217.212,315.026,0,0,0,0
1086,0,0,0.04,218.226,315.038,0,0,0,0
1087,0,0,0.04,219.321,315.05,0,0,0,0
1088,0,0,0.04,220.33,315.062,0,0,0,0
1089,0,0,0.04,221.382,315.074,0,0,0,0
1090,0,0,0.04,222.454,315.086,0,0,0,0
1091,0,0,0.04,223.615,315.099,0,0,0,0
1092,0,0,0.04,224.672,315.111,0,0,0,0
1093,0,0,0.04,225.705,315.123,0,0,0,0
1094,0,0,0.04,226.826,315.136,0,0,0,0
1095,0,0,0.04,227.872,315.148,0,0,0,0
1096,0,0,0.04,228.885,315.16,0,0,0,0
1097,0,0,0.04,230.0,315.173,0,0,0,0
1098,0,0,0.04,231.02,315.184,0,0,0,0
1099,0,0,0.04,232.043,315.189,0,0,0,0
1100,0,0,0.04,233.113,315.197,0,0,0,0
1101,0,0,0.04,234.143,315.205,0,0,0,0
1102,0,0,0.04,235.147,315.214,0,0,0,0
1103,0,0,0.04,236.19,315.223,0,0,0,0
1104,0,0,0.04,237.216,315.232,0,0,0,0
1105,0,0,0.04,238.337,315.243,0,0,0,0
1106,0,0,0.04,239.383,315.253,0,0,0,0
1107,0,0,0.04,240.532,315.263,0,0,0,0
1108,0,0,0.04,241.549,315.273,0,0,0,0
1109,0,0,0.04,242.63,315.283,0,0,0,0
1110,0,0,0.04,243.672,315.293,0,0,0,0
1111,0,0,0.04,244.725,315.303,0,0,0,0
1112,0,0,0.04,245.757,315.312,0,0,0,0
1113,0,0,0.04,246.832,315.322,0,0,0,0
1114,0,0,0.04,247.849,315.332,0,0,0,0
1115,0,0,0.04,248.861,315.341,0,0,0,0
1116,0,0,0.04,249.983,315.351,0,0,0,0
1117,0,0,0.04,251.03,315.36,0,0,0,0
1118,0,0,0.04,252.044,315.369,0,0,0,0
1119,0,0,0.04,253.082,315.379,0,0,0,0
1120,0,0,0.04,254.086,315.388,0,0,0,0
1121,0,0,0.04,255.094,315.396,0,0,0,0
1122,0,0,0.04,256.112,315.406,0,0,0,0
1123,0,0,0.04,257.132,315.415,0,0,0,0
1124,0,0,0.04,258.155,315.424,0,0,0,0
1125,0,0,0.04,259.207,315.434,0,0,0,0
1126,0,0,0.04,260.216,315.443,0,0,0,0
1127,0,0,0.04,261.256,315.451,0,0,0,0
1128,0,0,0.04,262.261,315.46,0,0,0,0
1129,0,0,0.04,263.277,315.468,0,0,0,0
1130,0,0,0.04,264.326,315.477,0,0,0,0
1131,0,0,0.04,265.345,315.486,0,0,0,0
1132,0,0,0.04,266.411,315.495,0,0,0,0
1133,0,0,0.04,267.451,315.489,0,0,0,0
1134,0,0,0.04,268.476,315.468,0,0,0,0
1135,0,0,0.04,269.535,315.413,0,0,0,0
1136,0,0,0.04,270.531,315.265,0,0,0,0
1137,0,0,0.04,271.547,315.158,0,0,0,0
1138,0,0,0.04,272.559,315.05,0,0,0,0
1139,0,0,0.04,273.578,314.942,0,0,0,0
1140,0,0,0.04,274.575,314.835,0,0,0,0
1141,0,0,0.04,275.579,314.715,0,0,0,0
1142,0,0,0.04,276.575,314.54,0,0,0,0
1143,0,0,0.04,277.614,314.381,0,0,0,0
1144,0,0,0.04,278.601,314.204,0,0,0,0
1145,0,0,0.04,279.581,313.96,0,0,0,0
1146,0,0,0.04,280.56,313.714,0,0,0,0
1147,0,0,0.04,281.543,313.481,0,0,0,0
1148,0,0,0.04,282.527,313.248,0,0,0,0
1149,0,0,0.04,283.519,313.013,0,0,0,0
1150,0,0,0.04,284.52,312.746,0,0,0,0
1151,0,0,0.04,285.475,312.445,0,0,0,0
1152,0,0,0.04,286.412,312.09,0,0,0,0
1153,0,0,0.04,287.373,311.745,0,0,0,0
1154,0,0,0.04,288.343,311.409,0,0,0,0
1155,0,0,0.04,289.274,311.0,0,0,0,0
