DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1001,0,1001,1.5769552072461928,0,90000000000,0,0,2,2
1002,1,1002,1.5769552072461928,0,90000000000,0,0,2,2
1003,2,1003,1.5737316285471363,0,-310.21423497205427,0,0,2,2
1004,3,1004,1.5725114416586194,0,-819.5465870113417,0,0,2,2
1005,4,1005,1.57844374331971,0,168.5686361094724,0,0,2,2
1006,5,1006,1.5663694826442065,0,-82.8208059172365,0,0,2,2
1007,6,1007,1.5733395387307152,0,143.47086846770284,0,0,2,2
1008,7,1008,1.5792896863938737,0,168.06305601316365,0,0,2,2
1009,8,1009,1.5777890561648253,0,-666.3866825035068,0,0,2,2
1010,9,1010,1.5750140106955042,0,-360.3544558297345,0,0,2,2
1011,10,1011,1.5746689519147377,0,-2898.0569564947527,0,0,2,2
1012,11,1012,1.5687257363219358,0,-168.259082038207,0,0,2,2
1013,12,1013,1.5777541674329927,0,110.76121506596262,0,0,2,2
1014,13,1014,1.5729688000176911,0,-208.97037013342555,0,0,2,2
1015,14,1015,1.5804808525982976,0,133.11940901234524,0,0,2,2
1016,15,1016,1.5711309651106926,0,-106.95315866909446,0,0,2,2
1017,16,1017,1.5737926208556858,0,375.7059874783122,0,0,2,2
1018,17,1018,1.5761274035452846,0,428.30538553113007,0,0,2,2
1019,18,1019,1.5702416354892954,0,-169.90136044902954,0,0,2,2
1020,19,1020,1.578198355029532,0,125.67993567488075,0,0,2,2
1021,20,1021,1.5720181705458571,0,-161.80746750222914,0,0,2,2
1022,21,1022,1.5706055651130575,0,-707.9117613317552,0,0,2,2
1023,22,1023,1.568668187450491,0,-516.1616236843148,0,0,2,2
1024,23,1024,1.5738116929901291,0,194.4199325330892,0,0,2,2
1025,24,1025,1.5681610697806125,0,-176.97163001699232,0,0,2,2
1026,25,1026,1.576233551996162,0,123.87763432587761,0,0,2,2
1027,26,1027,1.5771205911255413,0,1127.3459838236336,0,0,2,2
1028,27,1028,1.572915733582594,0,-237.82018529433887,0,0,2,2
1029,28,1029,1.5762353397531932,0,301.2405534297222,0,0,2,2
1030,29,1030,1.5753996131209225,0,-1196.5635189618679,0,0,2,2
1031,30,1031,1.583323885143584,0,126.19455732214087,0,0,2,2
1032,31,1032,1.5763200772449486,0,-142.77947289143017,0,0,2,2
1033,32,1033,1.581582891357367,0,190.01241135238598,0,0,2,2
1034,33,1034,1.587602910539133,0,166.11242751998466,0,0,2,2
1035,34,1035,1.567492964011488,0,-49.7266364495457,0,0,2,2
1036,35,1036,1.580190068162111,0,78.75811587722826,0,0,2,2
1037,36,1037,1.5753588285894533,0,-206.98621646905497,0,0,2,2
1038,37,1038,1.5770779342184096,0,581.6978219116953,0,0,2,2
1039,38,1039,1.5778070212815072,0,1371.578307467697,0,0,2,2
1040,39,1040,1.57688054066635,0,-1079.3533978369474,0,0,2,2
1041,40,1041,1.5693145277312603,0,-132.17000930069833,0,0,2,2
1042,41,1042,1.5765282755232228,0,138.62419769016512,0,0,2,2
1043,42,1043,1.5620408548588791,0,-69.02539956344258,0,0,2,2
1044,43,1044,1.574392985650641,0,80.95769198517125,0,0,2,2
1045,44,1045,1.5781552304956135,0,265.7987561166538,0,0,2,2
1046,45,1046,1.5636488564992264,0,-68.9352142891846,0,0,2,2
1047,46,1047,1.576282511813594,0,79.15365546365315,0,0,2,2
1048,47,1048,1.5706338534883697,0,-177.0331895513095,0,0,2,2
1049,48,1049,1.5697332764760084,0,-1110.3992065908515,0,0,2,2
1050,49,1050,1.572074578284328,0,427.1128123877896,0,0,2,2
1051,50,1051,1.5709788389795292,0,-912.6258368395728,0,0,2,2
1052,51,1052,1.5707963267,0,-5479.083394168603,0,0,2,2
1053,52,1053,1.5750698586722753,0,233.99848333592325,0,0,2,2
1054,53,1054,1.5720016133095074,0,-325.9191758699087,0,0,2,2
1055,54,1055,1.5710102507774575,0,-1008.7127238228784,0,0,2,2
1056,55,1056,1.5741634461732454,0,317.1386084528101,0,0,2,2
1057,56,1057,1.5697313502942065,0,-225.6268878860186,0,0,2,2
1058,57,1058,1.5783787159974525,0,115.64215442219911,0,0,2,2
1059,58,1059,1.5701001710798361,0,-120.7941745743319,0,0,2,2
1060,59,1060,1.5760334581575526,0,168.54063976706658,0,0,2,2
1061,60,1061,1.5701780200451096,0,-170.78141392613784,0,0,2,2
1062,61,1062,1.5739481064805068,0,265.2459080542718,0,0,2,2
1063,62,1063,1.5760566970430587,0,474.25043901824483,0,0,2,2
1064,63,1064,1.5740497522036763,0,-498.2697981413879,0,0,2,2
1065,64,1065,1.5734512687362876,0,-1670.8899317858372,0,0,2,2
1066,65,1066,1.5766194230917199,0,315.641186574559,0,0,2,2
1067,66,1067,1.5694254082809356,0,-139.00443998265538,0,0,2,2
1068,67,1068,1.5794433316084266,0,99.82108739600862,0,0,2,2
1069,68,1069,1.5725889467252774,0,-145.8920117629209,0,0,2,2
1070,69,1070,1.5807873561845662,0,121.97487878176102,0,0,2,2
1071,70,1071,1.5739130500618594,0,-145.46922731544663,0,0,2,2
1072,71,1072,1.5718091127823781,0,-475.29933983893517,0,0,2,2
1073,72,1073,1.5707963267,0,-987.3753375954086,0,0,2,2
1074,73,1074,1.5787771988715407,0,125.29958862966704,0,0,2,2
1075,74,1075,1.5676375831346219,0,-89.76970333777409,0,0,2,2
1076,75,1076,1.5799596823472497,0,81.15500311628622,0,0,2,2
1077,76,1077,1.5718318856079825,0,-123.03457284663308,0,0,2,2
1078,77,1078,1.573141750227899,0,763.4376750046916,0,0,2,2
1079,78,1079,1.5728167843087149,0,-3077.245769373193,0,0,2,2
1080,79,1080,1.5785502637358915,0,174.41416031947614,0,0,2,2
1081,80,1081,1.569674339102679,0,-112.66431851597149,0,0,2,2
1082,81,1082,1.5762914026465802,0,151.12443659721072,0,0,2,2
1083,82,1083,1.5779954635538054,0,586.8334845075173,0,0,2,2
1084,83,1084,1.5718615508136478,0,-163.02807724230902,0,0,2,2
1085,84,1085,1.5801819377192137,0,120.18671864057802,0,0,2,2
1086,85,1086,1.5735396017275092,0,-150.54944544342285,0,0,2,2
1087,86,1087,1.5747067556354672,0,856.7850333890341,0,0,2,2
1088,87,1088,1.5794144265235939,0,212.4192671416631,0,0,2,2
1089,88,1089,1.5679123444827223,0,-86.94078136867701,0,0,2,2
1090,89,1090,1.5776885650677432,0,102.28901765291539,0,0,2,2
1091,90,1091,1.5772802126750645,0,-2448.8652887277844,0,0,2,2
1092,91,1092,1.5627397146614799,0,-68.77343534353095,0,0,2,2
1093,92,1093,1.585936009663618,0,43.110332917727945,0,0,2,2
1094,93,1094,1.5619935809487495,0,-41.7668571517556,0,0,2,2
1095,94,1095,1.5876906095116257,0,38.91500519420658,0,0,2,2
1096,95,1096,1.5454624617424062,0,-23.680887105564942,0,0,2,2
1097,96,1097,1.5873645175601516,0,23.86517750703063,0,0,2,2
1098,97,1098,1.570944021915078,0,-60.89950155067454,0,0,2,2
1099,98,1099,1.5807948187074246,0,101.51463085472905,0,0,2,2
1100,99,1100,1.571359730727884,0,-105.9873529709988,0,0,2,2
1101,100,1101,1.5698360710217596,0,-656.3145274371365,0,0,2,2
1102,101,1102,1.5778075823117197,0,125.4467269286155,0,0,2,2
1103,102,1103,1.5842673129254203,0,154.8052170904881,0,0,2,2
1104,103,1104,1.577986173407375,0,-159.20678041413706,0,0,2,2
1105,104,1105,1.5728062349336525,0,-193.0524860619341,0,0,2,2
1106,105,1106,1.5681396089673467,0,-214.28758319613829,0,0,2,2
1107,106,1107,1.5668894971276457,0,-799.9284289949252,0,0,2,2
1108,107,1108,1.576207785892031,0,107.31584149034198,0,0,2,2
1109,108,1109,1.5583652788716873,0,-56.04593563336265,0,0,2,2
1110,109,1110,1.577050748676428,0,53.51751978675366,0,0,2,2
1111,110,1111,1.5845470828584913,0,133.39853529912384,0,0,2,2
1112,111,1112,1.574603990145371,0,-100.57232984265129,0,0,2,2
1113,112,1113,1.5714870138239672,0,-320.8237397034875,0,0,2,2
1114,113,1114,1.5780119468725389,0,153.25827752652526,0,0,2,2
1115,114,1115,1.5843865999601219,0,156.87128166203587,0,0,2,2
1116,115,1116,1.5557032253732601,0,-34.863401339744854,0,0,2,2
1117,116,1117,1.576884531537484,0,47.211441647968,0,0,2,2
1118,117,1118,1.5766306482410994,0,-3938.817615182425,0,0,2,2
1119,118,1119,1.5734950747595073,0,-318.9209265452281,0,0,2,2
1120,119,1120,1.5775238109552248,0,248.21679837538343,0,0,2,2
1121,120,1121,1.5735982325932878,0,-254.73953333759928,0,0,2,2
1122,121,1122,1.5701436241046975,0,-289.46840236824585,0,0,2,2
1123,122,1123,1.5758215401952662,0,176.1209542460578,0,0,2,2
1124,123,1124,1.558982377070755,0,-59.385374000230954,0,0,2,2
1125,124,1125,1.5763367431657738,0,57.62238704224561,0,0,2,2
1126,125,1126,1.564720140088975,0,-86.0836849971439,0,0,2,2
1127,126,1127,1.576122881314287,0,87.69821047768663,0,0,2,2
1128,127,1128,1.579527990768055,0,293.6763160119224,0,0,2,2
1129,128,1129,1.566197129455978,0,-75.01390769807594,0,0,2,2
1130,129,1130,1.5793387649752906,0,76.09402943267055,0,0,2,2
1131,130,1131,1.5738126512839616,0,-180.95899864838228,0,0,2,2
1132,131,1132,1.5740190032649894,0,4846.088683128463,0,0,2,2
1133,132,1133,1.5713930387454167,0,-380.8124567359731,0,0,2,2
1134,133,1134,1.578585527369067,0,139.0339355854949,0,0,2,2
1135,134,1135,1.5764902367863745,0,-477.2607714940234,0,0,2,2
1136,135,1136,1.573288419766056,0,-312.32265730804284,0,0,2,2
1137,136,1137,1.579542170941775,0,159.90402750314496,0,0,2,2
1138,137,1138,1.573978822436062,0,-179.74786209656133,0,0,2,2
1139,138,1139,1.5810142195432424,0,142.13838746634403,0,0,2,2
1140,139,1140,1.5716636063774267,0,-106.94485829612124,0,0,2,2
1141,140,1141,1.5687473345739384,0,-342.9035657114844,0,0,2,2
1142,141,1142,1.5755972265830727,0,145.98770296911493,0,0,2,2
1143,142,1143,1.576111637781805,0,1943.9701205268652,0,0,2,2
1144,143,1144,1.5846480915453838,0,117.14466307620009,0,0,2,2
1145,144,1145,1.5696541500161478,0,-66.69360408336591,0,0,2,2
1146,145,1146,1.5665878699312612,0,-326.12806798990545,0,0,2,2
1147,146,1147,1.5736245608080908,0,142.11225382840146,0,0,2,2
1148,147,1148,1.5818404302554914,0,121.71566337588133,0,0,2,2
1149,148,1149,1.5635649606831077,0,-54.71815627167872,0,0,2,2
1150,149,1150,1.564744372765147,0,847.8800711205324,0,0,2,2
1151,150,1151,1.573462502288806,0,114.70350346209469,0,0,2,2
1152,151,1152,1.578323109330659,0,205.73561931449584,0,0,2,2
1153,152,1153,1.5844978766933193,0,161.94942113076553,0,0,2,2
1154,153,1154,1.5712725171401973,0,-75.61231102892319,0,0,2,2
1155,154,1155,1.5788883820139301,0,131.3048506741517,0,0,2,2
1156,155,1156,1.572986141831219,0,-169.42719527565234,0,0,2,2
1157,156,1157,1.5740141579748792,0,972.7473699387008,0,0,2,2
1158,157,1158,1.568363598139526,0,-176.97361485200645,0,0,2,2
1159,158,1159,1.5809705392166384,0,79.32138287022534,0,0,2,2
