PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1001,0,0,2.458,127.057,258.58,0,0,0,0
1002,0,0,2.459,128.123,258.573,0,0,0,0
1003,0,0,2.459,129.339,258.569,0,0,0,0
1004,0,0,2.459,130.567,258.567,0,0,0,0
1005,0,0,2.46,131.7,258.559,0,0,0,0
1006,0,0,2.462,132.796,258.564,0,0,0,0
1007,0,0,2.462,134.128,258.56,0,0,0,0
1008,0,0,2.461,135.17,258.551,0,0,0,0
1009,0,0,2.463,136.475,258.542,0,0,0,0
1010,0,0,2.463,137.611,258.537,0,0,0,0
1011,0,0,2.463,138.785,258.533,0,0,0,0
1012,0,0,2.464,139.891,258.535,0,0,0,0
1013,0,0,2.462,141.114,258.527,0,0,0,0
1014,0,0,2.461,142.477,258.524,0,0,0,0
1015,0,0,2.461,143.766,258.511,0,0,0,0
1016,0,0,2.461,145.134,258.511,0,0,0,0
1017,0,0,2.461,146.549,258.506,0,0,0,0
1018,0,0,2.461,147.877,258.499,0,0,0,0
1019,0,0,2.46,149.143,258.5,0,0,0,0
1020,0,0,2.459,150.371,258.491,0,0,0,0
1021,0,0,2.457,151.52,258.49,0,0,0,0
1022,0,0,2.454,152.64,258.49,0,0,0,0
1023,0,0,2.457,153.716,258.492,0,0,0,0
1024,0,0,2.46,154.738,258.489,0,0,0,0
1025,0,0,2.457,156.035,258.492,0,0,0,0
1026,0,0,2.455,157.264,258.486,0,0,0,0
1027,0,0,2.455,158.48,258.478,0,0,0,0
1028,0,0,2.454,159.704,258.475,0,0,0,0
1029,0,0,2.455,160.865,258.469,0,0,0,0
1030,0,0,2.456,161.939,258.464,0,0,0,0
1031,0,0,2.48,163.143,258.449,0,0,0,0
1032,0,0,2.51,164.181,258.443,0,0,0,0
1033,0,0,2.518,165.358,258.431,0,0,0,0
1034,0,0,2.548,166.424,258.413,0,0,0,0
1035,0,0,2.557,167.449,258.416,0,0,0,0
1036,0,0,2.556,168.57,258.406,0,0,0,0
1037,0,0,2.557,169.594,258.401,0,0,0,0
1038,0,0,2.556,170.677,258.394,0,0,0,0
1039,0,0,2.56,171.822,258.386,0,0,0,0
1040,0,0,2.557,173.021,258.379,0,0,0,0
1041,0,0,2.559,174.297,258.381,0,0,0,0
1042,0,0,2.543,175.655,258.373,0,0,0,0
1043,0,0,2.508,176.851,258.383,0,0,0,0
1044,0,0,2.501,177.954,258.379,0,0,0,0
1045,0,0,2.47,179.003,258.372,0,0,0,0
1046,0,0,2.452,180.062,258.379,0,0,0,0
1047,0,0,2.454,181.096,258.374,0,0,0,0
1048,0,0,2.455,182.411,258.374,0,0,0,0
1049,0,0,2.455,183.703,258.375,0,0,0,0
1050,0,0,2.454,184.753,258.374,0,0,0,0
