DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
114250,0,114250,4.561281013363958,0,90000000000,0,0,2,2
114251,1,114251,4.561281013363958,0,90000000000,0,0,2,2
114252,2,114252,4.281544089675612,0,-3.574787292342203,0,0,2,2
114253,3,114253,5.417102497103798,0,0.8806240114630486,0,0,2,2
114254,4,114254,4.281671875754055,0,-0.8807231205472074,0,0,2,2
114255,5,114255,4.017594478611561,0,-3.786768617158124,0,0,2,2
114256,6,114256,3.945827242606228,0,-13.933934977315982,0,0,2,2
114257,7,114257,4.504667235553638,0,1.7894209659653062,0,0,2,2
114258,8,114258,4.2078383109501,0,-3.3689439172265887,0,0,2,2
114259,9,114259,4.522654180105895,0,3.1764599500069175,0,0,2,2
114260,10,114260,4.196239152021952,0,-3.0635844368747427,0,0,2,2
114261,11,114261,4.532222681645887,0,2.976336373152858,0,0,2,2
114262,12,114262,4.459334199808717,0,-13.719588812865668,0,0,2,2
114263,13,114263,4.947806261470831,0,2.047199990511886,0,0,2,2
114264,14,114264,4.74194347715947,0,-4.8576045609464495,0,0,2,2
114265,15,114265,4.039272940918588,0,-1.4231420679024889,0,0,2,2
114266,16,114266,4.1831536281518105,0,6.950203110852924,0,0,2,2
114267,17,114267,4.49447037167588,0,3.2121625990305422,0,0,2,2
114268,18,114268,4.168416685890757,0,-3.066979591388591,0,0,2,2
114269,19,114269,4.61068784850421,0,2.261056303311378,0,0,2,2
114270,20,114270,4.386834175173019,0,-4.467203888678203,0,0,2,2
114271,21,114271,4.152203658635169,0,-4.262020195649541,0,0,2,2
114272,22,114272,4.837266080999251,0,1.459720993817029,0,0,2,2
114273,23,114273,4.3583459487339145,0,-2.0880308273321204,0,0,2,2
114274,24,114274,4.181248721022779,0,-5.646615776680079,0,0,2,2
114275,25,114275,4.555026445173854,0,2.6753868285521927,0,0,2,2
114276,26,114276,4.314161618983062,0,-4.151706232141533,0,0,2,2
114277,27,114277,4.496473914645559,0,5.485093566323316,0,0,2,2
114278,28,114278,4.752307052385495,0,3.908797776684184,0,0,2,2
114279,29,114279,4.511377309507559,0,-4.150587586467626,0,0,2,2
114280,30,114280,4.338644390962499,0,-5.789284453843915,0,0,2,2
114281,31,114281,4.794232393873929,0,2.194965612811381,0,0,2,2
114282,32,114282,4.191553892752555,0,-1.6592594528249307,0,0,2,2
114283,33,114283,4.44049737902156,0,4.016975961039672,0,0,2,2
114284,34,114284,4.41147414312572,0,-34.455151851050374,0,0,2,2
114285,35,114285,4.527514889768009,0,8.617662579185552,0,0,2,2
114286,36,114286,4.483997750954911,0,-22.9794519417951,0,0,2,2
114287,37,114287,4.299804362119054,0,-5.42907650660113,0,0,2,2
114288,38,114288,4.429808486737366,0,7.6920636397957685,0,0,2,2
114289,39,114289,4.489106162691632,0,16.864067333284094,0,0,2,2
114290,40,114290,4.46452774500653,0,-40.68610163648254,0,0,2,2
114291,41,114291,4.383789091292405,0,-12.385641251100713,0,0,2,2
114292,42,114292,4.454549368097764,0,14.132222839527746,0,0,2,2
114293,43,114293,4.380904004167199,0,-13.578587254220544,0,0,2,2
114294,44,114294,4.319524241613044,0,-16.292014800769206,0,0,2,2
114295,45,114295,4.439273499935512,0,8.350782409918066,0,0,2,2
114296,46,114296,4.525257648546215,0,11.630050609997225,0,0,2,2
114297,47,114297,4.445846554022463,0,-12.592698866540623,0,0,2,2
114298,48,114298,4.371326518418996,0,-13.419209906462816,0,0,2,2
114299,49,114299,4.515514940083288,0,6.935369625782167,0,0,2,2
114300,50,114300,4.471498655052067,0,-22.718864149727686,0,0,2,2
114301,51,114301,4.4955883514620885,0,41.51152355676859,0,0,2,2
114302,52,114302,4.150276728835795,0,-2.8959349598325863,0,0,2,2
114303,53,114303,4.631065681137605,0,2.079914680261331,0,0,2,2
114304,54,114304,4.469034925162402,0,-6.171667804555814,0,0,2,2
114305,55,114305,4.498097631069406,0,34.40835836827622,0,0,2,2
114306,56,114306,4.461106836779145,0,-27.03375310497916,0,0,2,2
114307,57,114307,4.447926383155733,0,-75.86992288518354,0,0,2,2
114308,58,114308,4.55809282932185,0,9.077173992634089,0,0,2,2
114309,59,114309,4.404068957651834,0,-6.492500085586881,0,0,2,2
114310,60,114310,4.401443726559467,0,-380.9188466903646,0,0,2,2
114311,61,114311,4.458076322371456,0,17.657675507579476,0,0,2,2
114312,62,114312,4.326111252686209,0,-7.577762830612096,0,0,2,2
114313,63,114313,4.620030560946127,0,3.402294343710427,0,0,2,2
114314,64,114314,4.375441823693224,0,-4.088495697845683,0,0,2,2
114315,65,114315,4.501268533832355,0,7.947438178223591,0,0,2,2
114316,66,114316,4.398753060025812,0,-9.754624964101541,0,0,2,2
114317,67,114317,4.470012928110741,0,14.033144136727591,0,0,2,2
114318,68,114318,4.386806732426197,0,-12.018335795464782,0,0,2,2
114319,69,114319,4.512729950610023,0,7.941347230660629,0,0,2,2
114320,70,114320,4.54965671755234,0,27.08062694906629,0,0,2,2
114321,71,114321,4.420852003941672,0,-7.763691032477687,0,0,2,2
114322,72,114322,4.538811967337187,0,8.47745261370621,0,0,2,2
114323,73,114323,4.5644796389606235,0,38.959513534018136,0,0,2,2
114324,74,114324,4.296621515265984,0,-3.733319662688324,0,0,2,2
114325,75,114325,4.442174574128694,0,6.870346853673648,0,0,2,2
114326,76,114326,4.339239993815143,0,-9.714908216013297,0,0,2,2
114327,77,114327,4.443994605120134,0,9.546119140173458,0,0,2,2
114328,78,114328,4.48630975279354,0,23.632199223742003,0,0,2,2
114329,79,114329,4.537897729540235,0,19.384361687804596,0,0,2,2
114330,80,114330,4.511564448627567,0,-37.97475913906803,0,0,2,2
114331,81,114331,4.2815141300899,0,-4.346875093921104,0,0,2,2
114332,82,114332,4.50238126670747,0,4.527608839025673,0,0,2,2
114333,83,114333,4.159423906291461,0,-2.9158143705882105,0,0,2,2
114334,84,114334,4.633725567735365,0,2.108362844346206,0,0,2,2
114335,85,114335,4.4130669579509485,0,-4.53188752062293,0,0,2,2
114336,86,114336,4.420445320502857,0,135.53142624325562,0,0,2,2
114337,87,114337,4.467463491686753,0,21.268372946468553,0,0,2,2
114338,88,114338,4.398750392663864,0,-14.553265887001935,0,0,2,2
