LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
114250,114250,0,114251,114250,114251,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114251,114251,114250,114252,114251,114252,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114252,114252,114251,114253,114252,114253,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114253,114253,114252,114254,114253,114254,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114254,114254,114253,114255,114254,114255,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114255,114255,114254,114256,114255,114256,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114256,114256,114255,114257,114256,114257,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114257,114257,114256,114258,114257,114258,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114258,114258,114257,114259,114258,114259,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114259,114259,114258,114260,114259,114260,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114260,114260,114259,114261,114260,114261,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114261,114261,114260,114262,114261,114262,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114262,114262,114261,114263,114262,114263,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114263,114263,114262,114264,114263,114264,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114264,114264,114263,114265,114264,114265,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114265,114265,114264,114266,114265,114266,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114266,114266,114265,114267,114266,114267,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114267,114267,114266,114268,114267,114268,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114268,114268,114267,114269,114268,114269,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114269,114269,114268,114270,114269,114270,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114270,114270,114269,114271,114270,114271,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114271,114271,114270,114272,114271,114272,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
114272,114272,114271,114273,114272,114273,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
