NID,PID
114250,114250
114251,114251
114252,114252
114253,114253
114254,114254
114255,114255
114256,114256
114257,114257
114258,114258
114259,114259
114260,114260
114261,114261
114262,114262
114263,114263
114264,114264
114265,114265
114266,114266
114267,114267
114268,114268
114269,114269
114270,114270
114271,114271
114272,114272
114273,114273
114274,114274
114275,114275
114276,114276
114277,114277
114278,114278
114279,114279
114280,114280
114281,114281
114282,114282
114283,114283
114284,114284
114285,114285
114286,114286
114287,114287
114288,114288
114289,114289
114290,114290
114291,114291
114292,114292
114293,114293
114294,114294
114295,114295
114296,114296
114297,114297
114298,114298
114299,114299
114300,114300
114301,114301
114302,114302
114303,114303
114304,114304
114305,114305
114306,114306
114307,114307
114308,114308
114309,114309
114310,114310
114311,114311
114312,114312
114313,114313
114314,114314
114315,114315
114316,114316
114317,114317
114318,114318
114319,114319
114320,114320
114321,114321
114322,114322
114323,114323
114324,114324
114325,114325
114326,114326
114327,114327
114328,114328
114329,114329
114330,114330
114331,114331
114332,114332
114333,114333
114334,114334
114335,114335
114336,114336
114337,114337
114338,114338
114339,114339
114340,114340
114341,114341
114342,114342
114343,114343
114344,114344
114345,114345
114346,114346
114347,114347
114348,114348
114349,114349
114350,114350
114351,114351
114352,114352
114353,114353
114354,114354
114355,114355
114356,114356
114357,114357
114358,114358
114359,114359
114360,114360
114361,114361
114362,114362
114363,114363
114364,114364
114365,114365
114366,114366
114367,114367
114368,114368
114369,114369
114370,114370
114371,114371
114372,114372
114373,114373
114374,114374
114375,114375
114376,114376
114377,114377
114378,114378
114379,114379
114380,114380
114381,114381
114382,114382
114383,114383
114384,114384
114385,114385
114386,114386
114387,114387
114388,114388
114389,114389
114390,114390
114391,114391
114392,114392
114393,114393
114394,114394
114395,114395
114396,114396
114397,114397
114398,114398
114399,114399
114400,114400
114401,114401
114402,114402
114403,114403
114404,114404
114405,114405
114406,114406
114407,114407
114408,114408
114409,114409
114410,114410
114411,114411
114412,114412
114413,114413
114414,114414
114415,114415
114416,114416
114417,114417
114418,114418
114419,114419
114420,114420
114421,114421
114422,114422
114423,114423
114424,114424
114425,114425
114426,114426
114427,114427
114428,114428
114429,114429
114430,114430
114431,114431
114432,114432
114433,114433
114434,114434
114435,114435
114436,114436
114437,114437
114438,114438
114439,114439
114440,114440
114441,114441
114442,114442
114443,114443
114444,114444
114445,114445
114446,114446
114447,114447
114448,114448
114449,114449
114450,114450
114451,114451
114452,114452
114453,114453
114454,114454
114455,114455
114456,114456
114457,114457
114458,114458
114459,114459
114460,114460
114461,114461
114462,114462
114463,114463
114464,114464
114465,114465
114466,114466
114467,114467
114468,114468
114469,114469
114470,114470
114471,114471
114472,114472
114473,114473
114474,114474
114475,114475
114476,114476
114477,114477
114478,114478
114479,114479
114480,114480
114481,114481
114482,114482
114483,114483
114484,114484
114485,114485
114486,114486
114487,114487
114488,114488
114489,114489
114490,114490
114491,114491
114492,114492
114493,114493
114494,114494
114495,114495
114496,114496
114497,114497
114498,114498
114499,114499
114500,114500
114501,114501
114502,114502
114503,114503
114504,114504
114505,114505
114506,114506
114507,114507
114508,114508
114509,114509
114510,114510
114511,114511
114512,114512
114513,114513
114514,114514
114515,114515
114516,114516
114517,114517
114518,114518
114519,114519
114520,114520
114521,114521
114522,114522
114523,114523
114524,114524
114525,114525
114526,114526
114527,114527
114528,114528
114529,114529
114530,114530
114531,114531
114532,114532
114533,114533
114534,114534
114535,114535
114536,114536
114537,114537
114538,114538
114539,114539
114540,114540
114541,114541
114542,114542
114543,114543
114544,114544
114545,114545
114546,114546
114547,114547
114548,114548
114549,114549
114550,114550
114551,114551
114552,114552
114553,114553
114554,114554
114555,114555
114556,114556
114557,114557
114558,114558
114559,114559
114560,114560
114561,114561
114562,114562
114563,114563
114564,114564
114565,114565
114566,114566
114567,114567
114568,114568
114569,114569
114570,114570
114571,114571
114572,114572
114573,114573
114574,114574
114575,114575
114576,114576
114577,114577
114578,114578
114579,114579
114580,114580
114581,114581
114582,114582
114583,114583
114584,114584
114585,114585
114586,114586
114587,114587
114588,114588
114589,114589
114590,114590
114591,114591
114592,114592
114593,114593
114594,114594
114595,114595
114596,114596
114597,114597
114598,114598
114599,114599
114600,114600
114601,114601
114602,114602
114603,114603
114604,114604
114605,114605
114606,114606
114607,114607
114608,114608
114609,114609
114610,114610
114611,114611
114612,114612
114613,114613
114614,114614
114615,114615
114616,114616
114617,114617
114618,114618
114619,114619
114620,114620
114621,114621
114622,114622
114623,114623
114624,114624
114625,114625
114626,114626
