PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
114250,0,0,-0.753,50.884,-8.543,0,0,0,0
114251,0,0,-0.752,50.82,-8.553,0,0,0,0
114252,0,0,-0.752,50.781,-8.571,0,0,0,0
114253,0,0,-0.753,50.72,-8.519,0,0,0,0
114254,0,0,-0.752,50.605,-8.572,0,0,0,0
114255,0,0,-0.763,50.489,-8.669,0,0,0,0
114256,0,0,-0.764,50.408,-8.747,0,0,0,0
114257,0,0,-0.766,50.295,-8.771,0,0,0,0
114258,0,0,-0.774,50.185,-8.831,0,0,0,0
114259,0,0,-0.775,50.022,-8.863,0,0,0,0
114260,0,0,-0.777,49.9,-8.932,0,0,0,0
114261,0,0,-0.784,49.783,-8.953,0,0,0,0
114262,0,0,-0.783,49.647,-8.988,0,0,0,0
114263,0,0,-0.787,49.494,-8.952,0,0,0,0
114264,0,0,-0.789,49.295,-8.946,0,0,0,0
114265,0,0,-0.794,49.173,-9.043,0,0,0,0
114266,0,0,-0.803,49.034,-9.124,0,0,0,0
114267,0,0,-0.807,48.876,-9.159,0,0,0,0
114268,0,0,-0.813,48.67,-9.284,0,0,0,0
114269,0,0,-0.824,48.369,-9.315,0,0,0,0
114270,0,0,-0.825,48.168,-9.383,0,0,0,0
114271,0,0,-0.831,47.948,-9.521,0,0,0,0
114272,0,0,-0.838,47.742,-9.495,0,0,0,0
114273,0,0,-0.847,47.52,-9.577,0,0,0,0
114274,0,0,-0.856,47.281,-9.717,0,0,0,0
114275,0,0,-0.854,46.955,-9.769,0,0,0,0
114276,0,0,-0.858,46.74,-9.859,0,0,0,0
114277,0,0,-0.866,46.468,-9.919,0,0,0,0
114278,0,0,-0.876,46.185,-9.908,0,0,0,0
114279,0,0,-0.882,45.991,-9.947,0,0,0,0
114280,0,0,-0.889,45.624,-10.091,0,0,0,0
114281,0,0,-0.905,45.339,-10.068,0,0,0,0
114282,0,0,-0.912,45.048,-10.235,0,0,0,0
114283,0,0,-0.922,44.709,-10.329,0,0,0,0
114284,0,0,-0.93,44.37,-10.435,0,0,0,0
114285,0,0,-0.949,44.052,-10.494,0,0,0,0
114286,0,0,-0.957,43.633,-10.592,0,0,0,0
114287,0,0,-0.968,43.317,-10.73,0,0,0,0
114288,0,0,-0.974,43.006,-10.82,0,0,0,0
114289,0,0,-0.983,42.593,-10.914,0,0,0,0
114290,0,0,-0.994,42.251,-11.0,0,0,0,0
114291,0,0,-1.002,41.819,-11.148,0,0,0,0
114292,0,0,-1.013,41.451,-11.245,0,0,0,0
114293,0,0,-1.025,41.087,-11.37,0,0,0,0
114294,0,0,-1.032,40.773,-11.5,0,0,0,0
114295,0,0,-1.048,40.344,-11.62,0,0,0,0
114296,0,0,-1.064,39.966,-11.692,0,0,0,0
114297,0,0,-1.069,39.54,-11.808,0,0,0,0
114298,0,0,-1.083,39.153,-11.945,0,0,0,0
114299,0,0,-1.094,38.8,-12.016,0,0,0,0
114300,0,0,-1.104,38.416,-12.11,0,0,0,0
114301,0,0,-1.116,37.916,-12.22,0,0,0,0
114302,0,0,-1.123,37.593,-12.424,0,0,0,0
114303,0,0,-1.131,37.223,-12.454,0,0,0,0
114304,0,0,-1.15,36.841,-12.549,0,0,0,0
114305,0,0,-1.153,36.393,-12.646,0,0,0,0
114306,0,0,-1.164,36.052,-12.734,0,0,0,0
114307,0,0,-1.173,35.607,-12.855,0,0,0,0
114308,0,0,-1.182,35.194,-12.919,0,0,0,0
114309,0,0,-1.191,34.854,-13.027,0,0,0,0
114310,0,0,-1.208,34.444,-13.159,0,0,0,0
114311,0,0,-1.219,33.972,-13.282,0,0,0,0
114312,0,0,-1.224,33.677,-13.402,0,0,0,0
114313,0,0,-1.23,33.204,-13.445,0,0,0,0
114314,0,0,-1.242,32.83,-13.576,0,0,0,0
114315,0,0,-1.259,32.35,-13.679,0,0,0,0
114316,0,0,-1.271,31.952,-13.808,0,0,0,0
114317,0,0,-1.282,31.554,-13.907,0,0,0,0
114318,0,0,-1.291,31.175,-14.035,0,0,0,0
114319,0,0,-1.31,30.683,-14.134,0,0,0,0
114320,0,0,-1.319,30.229,-14.209,0,0,0,0
114321,0,0,-1.336,29.834,-14.327,0,0,0,0
114322,0,0,-1.347,29.425,-14.399,0,0,0,0
114323,0,0,-1.348,29.034,-14.457,0,0,0,0
114324,0,0,-1.369,28.576,-14.659,0,0,0,0
114325,0,0,-1.379,28.1,-14.791,0,0,0,0
114326,0,0,-1.396,27.629,-14.976,0,0,0,0
114327,0,0,-1.408,27.253,-15.079,0,0,0,0
114328,0,0,-1.416,26.923,-15.155,0,0,0,0
114329,0,0,-1.422,26.384,-15.25,0,0,0,0
114330,0,0,-1.427,25.932,-15.342,0,0,0,0
114331,0,0,-1.432,25.591,-15.499,0,0,0,0
114332,0,0,-1.442,25.076,-15.608,0,0,0,0
114333,0,0,-1.452,24.741,-15.816,0,0,0,0
114334,0,0,-1.458,24.281,-15.852,0,0,0,0
114335,0,0,-1.467,23.866,-15.98,0,0,0,0
114336,0,0,-1.482,23.352,-16.135,0,0,0,0
114337,0,0,-1.489,22.947,-16.236,0,0,0,0
114338,0,0,-1.491,22.551,-16.364,0,0,0,0
114339,0,0,-1.499,22.058,-16.528,0,0,0,0
114340,0,0,-1.505,21.645,-16.629,0,0,0,0
114341,0,0,-1.514,21.21,-16.774,0,0,0,0
114342,0,0,-1.52,20.783,-16.91,0,0,0,0
114343,0,0,-1.525,20.353,-16.98,0,0,0,0
114344,0,0,-1.529,19.803,-17.168,0,0,0,0
114345,0,0,-1.527,19.481,-17.318,0,0,0,0
114346,0,0,-1.529,19.026,-17.434,0,0,0,0
114347,0,0,-1.531,18.552,-17.56,0,0,0,0
114348,0,0,-1.537,18.081,-17.679,0,0,0,0
114349,0,0,-1.54,17.595,-17.859,0,0,0,0
114350,0,0,-1.543,17.226,-17.969,0,0,0,0
114351,0,0,-1.543,16.784,-18.058,0,0,0,0
114352,0,0,-1.547,16.357,-18.248,0,0,0,0
114353,0,0,-1.553,15.901,-18.395,0,0,0,0
114354,0,0,-1.563,15.484,-18.508,0,0,0,0
114355,0,0,-1.569,15.05,-18.615,0,0,0,0
114356,0,0,-1.579,14.599,-18.77,0,0,0,0
114357,0,0,-1.58,14.197,-18.876,0,0,0,0
114358,0,0,-1.584,13.73,-19.021,0,0,0,0
114359,0,0,-1.59,13.313,-19.192,0,0,0,0
114360,0,0,-1.6,12.824,-19.278,0,0,0,0
114361,0,0,-1.605,12.377,-19.459,0,0,0,0
114362,0,0,-1.607,11.947,-19.597,0,0,0,0
114363,0,0,-1.609,11.595,-19.692,0,0,0,0
114364,0,0,-1.612,11.126,-19.841,0,0,0,0
114365,0,0,-1.617,10.686,-19.959,0,0,0,0
114366,0,0,-1.622,10.22,-20.123,0,0,0,0
114367,0,0,-1.629,9.799,-20.231,0,0,0,0
114368,0,0,-1.628,9.391,-20.35,0,0,0,0
114369,0,0,-1.631,8.918,-20.508,0,0,0,0
114370,0,0,-1.636,8.439,-20.647,0,0,0,0
114371,0,0,-1.635,8.05,-20.723,0,0,0,0
114372,0,0,-1.636,7.631,-20.887,0,0,0,0
114373,0,0,-1.637,7.178,-21.004,0,0,0,0
114374,0,0,-1.644,6.79,-21.102,0,0,0,0
114375,0,0,-1.638,6.325,-21.221,0,0,0,0
114376,0,0,-1.642,5.982,-21.329,0,0,0,0
114377,0,0,-1.651,5.481,-21.458,0,0,0,0
114378,0,0,-1.657,5.101,-21.591,0,0,0,0
114379,0,0,-1.656,4.659,-21.706,0,0,0,0
114380,0,0,-1.659,4.164,-21.856,0,0,0,0
114381,0,0,-1.665,3.728,-22.005,0,0,0,0
114382,0,0,-1.665,3.296,-22.162,0,0,0,0
114383,0,0,-1.676,2.91,-22.253,0,0,0,0
114384,0,0,-1.694,2.393,-22.431,0,0,0,0
114385,0,0,-1.705,1.94,-22.505,0,0,0,0
114386,0,0,-1.713,1.57,-22.663,0,0,0,0
114387,0,0,-1.722,1.071,-22.855,0,0,0,0
114388,0,0,-1.725,0.65,-22.938,0,0,0,0
114389,0,0,-1.738,0.16,-23.085,0,0,0,0
114390,0,0,-1.747,-0.237,-23.198,0,0,0,0
114391,0,0,-1.764,-0.696,-23.356,0,0,0,0
114392,0,0,-1.77,-1.091,-23.47,0,0,0,0
114393,0,0,-1.781,-1.623,-23.613,0,0,0,0
114394,0,0,-1.788,-2.072,-23.773,0,0,0,0
114395,0,0,-1.796,-2.439,-23.902,0,0,0,0
114396,0,0,-1.81,-2.933,-24.072,0,0,0,0
114397,0,0,-1.822,-3.417,-24.201,0,0,0,0
114398,0,0,-1.829,-3.809,-24.313,0,0,0,0
114399,0,0,-1.836,-4.313,-24.494,0,0,0,0
114400,0,0,-1.833,-4.771,-24.62,0,0,0,0
114401,0,0,-1.849,-5.306,-24.728,0,0,0,0
114402,0,0,-1.861,-5.722,-24.817,0,0,0,0
114403,0,0,-1.871,-6.222,-25.045,0,0,0,0
114404,0,0,-1.886,-6.668,-25.17,0,0,0,0
114405,0,0,-1.897,-7.186,-25.323,0,0,0,0
114406,0,0,-1.906,-7.577,-25.433,0,0,0,0
114407,0,0,-1.918,-7.974,-25.554,0,0,0,0
114408,0,0,-1.935,-8.558,-25.742,0,0,0,0
114409,0,0,-1.952,-9.014,-25.877,0,0,0,0
114410,0,0,-1.967,-9.509,-26.035,0,0,0,0
114411,0,0,-1.977,-9.945,-26.174,0,0,0,0
114412,0,0,-1.99,-10.381,-26.308,0,0,0,0
114413,0,0,-2.006,-10.902,-26.419,0,0,0,0
114414,0,0,-2.016,-11.275,-26.489,0,0,0,0
114415,0,0,-2.024,-11.669,-26.674,0,0,0,0
114416,0,0,-2.029,-12.013,-26.805,0,0,0,0
114417,0,0,-2.037,-12.374,-26.892,0,0,0,0
