DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,4.454586511118919,0,90000000000,0,0,2,2
10002,1,10002,4.454586511118919,0,90000000000,0,0,2,2
10003,2,10003,4.446200837955156,0,-119.25101067870698,0,0,2,2
10004,3,10004,4.440809018183043,0,-185.46613986842337,0,0,2,2
10005,4,10005,4.461526382304937,0,48.26868872489492,0,0,2,2
10006,5,10006,4.4444269353236825,0,-58.48142346920662,0,0,2,2
10007,6,10007,4.465825182957319,0,46.73279873759668,0,0,2,2
10008,7,10008,4.453407306092882,0,-80.52906393876721,0,0,2,2
10009,8,10009,4.441494618057389,0,-83.94411043255373,0,0,2,2
10010,9,10010,4.461189619487171,0,50.77430451402939,0,0,2,2
10011,10,10011,4.446728546034975,0,-69.15115971893034,0,0,2,2
10012,11,10012,4.450109457510367,0,295.77822645712956,0,0,2,2
10013,12,10013,4.454219138950157,0,243.3278624269656,0,0,2,2
10014,13,10014,4.459765498394015,0,180.29844804008545,0,0,2,2
10015,14,10015,4.445643140206249,0,-70.80970378348569,0,0,2,2
10016,15,10016,4.46249430578262,0,59.343076030432215,0,0,2,2
10017,16,10017,4.4462008379546,0,-61.37428879813375,0,0,2,2
10018,17,10018,4.456122191352993,0,100.79270033481644,0,0,2,2
10019,18,10019,4.440503219550452,0,-64.02470102656441,0,0,2,2
10020,19,10020,4.458665757576273,0,55.05838438319363,0,0,2,2
10021,20,10021,4.4534073060923305,0,-190.17005349459046,0,0,2,2
10022,21,10022,4.44824162293843,0,-193.5852374617548,0,0,2,2
10023,22,10023,4.4566250465307915,0,119.2830099759185,0,0,2,2
10024,23,10024,4.44770317441472,0,-112.08409927761811,0,0,2,2
10025,24,10025,4.45090208069781,0,312.6068448100501,0,0,2,2
10026,25,10026,4.465825182956432,0,67.01019551228134,0,0,2,2
10027,26,10027,4.451387526279312,0,-69.26331761197486,0,0,2,2
10028,27,10028,4.452719776367673,0,750.6098207357358,0,0,2,2
10029,28,10029,4.4510879004476624,0,-612.7916882267109,0,0,2,2
10030,29,10030,4.443261473781616,0,-127.77223152659921,0,0,2,2
10031,30,10031,4.462671810363788,0,51.518941764178344,0,0,2,2
10032,31,10032,4.450109457509351,0,-79.60292244512038,0,0,2,2
10033,32,10033,4.4444269353224,0,-175.97819543870546,0,0,2,2
10034,33,10034,4.455987769869656,0,86.4989457216405,0,0,2,2
10035,34,10035,4.451951657929255,0,-247.76319754417474,0,0,2,2
10036,35,10036,4.455095940268363,0,318.0375971846919,0,0,2,2
10037,36,10037,4.445869979818612,0,-108.38979913760915,0,0,2,2
10038,37,10038,4.447297929174978,0,700.3049481707089,0,0,2,2
10039,38,10039,4.454026297083217,0,148.62445300819184,0,0,2,2
10040,39,10040,4.457078350330896,0,327.64828095991487,0,0,2,2
10041,40,10041,4.449227921011232,0,-127.3815684825291,0,0,2,2
10042,41,10042,4.453407306091272,0,239.26964872797342,0,0,2,2
10043,42,10043,4.439704991230423,0,-72.98036938687396,0,0,2,2
10044,43,10044,4.453407306091154,0,72.98036938750312,0,0,2,2
10045,44,10045,4.462071740570426,0,115.41434151210252,0,0,2,2
10046,45,10046,4.446430527530734,0,-63.93366022586209,0,0,2,2
10047,46,10047,4.449720653870672,0,303.9396961329916,0,0,2,2
10048,47,10048,4.455987769868944,0,159.5630271205729,0,0,2,2
10049,48,10049,4.45195165792849,0,-247.7631975409034,0,0,2,2
10050,49,10050,4.451715376999053,0,-4232.250154025507,0,0,2,2
10051,50,10051,4.4477031744133395,0,-249.23965792770935,0,0,2,2
10052,51,10052,4.453826938868357,0,163.29824691096758,0,0,2,2
10053,52,10053,4.45010945750824,0,-268.999331302231,0,0,2,2
10054,53,10054,4.4579512620754205,0,127.52166818657415,0,0,2,2
10055,54,10055,4.446018394770685,0,-83.80215537996989,0,0,2,2
10056,55,10056,4.452180156217802,0,162.29125528187367,0,0,2,2
10057,56,10057,4.4534073060904165,0,814.8963890361382,0,0,2,2
10058,57,10058,4.454219138947871,0,1231.7806440297106,0,0,2,2
10059,58,10059,4.4516185958172185,0,-384.53505662451687,0,0,2,2
10060,59,10060,4.448583159398099,0,-329.4419193567484,0,0,2,2
10061,60,10061,4.455192334128569,0,151.30482106787846,0,0,2,2
10062,61,10062,4.4528633058071785,0,-429.3636066233498,0,0,2,2
10063,62,10063,4.452473364555107,0,-2564.488867716785,0,0,2,2
10064,63,10064,4.4509556484580655,0,-658.8847558176805,0,0,2,2
10065,64,10065,4.454795979449198,0,260.3942218285424,0,0,2,2
10066,65,10066,4.450109457507422,0,-213.37785513940182,0,0,2,2
10067,66,10067,4.452719776365478,0,383.0949605691723,0,0,2,2
