PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-1.124,50.363,-9.03,0,0,0,0
10002,0,0,-1.126,50.285,-9.051,0,0,0,0
10003,0,0,-1.129,50.197,-9.075,0,0,0,0
10004,0,0,-1.131,50.11,-9.099,0,0,0,0
10005,0,0,-1.134,50.009,-9.125,0,0,0,0
10006,0,0,-1.137,49.908,-9.153,0,0,0,0
10007,0,0,-1.14,49.805,-9.179,0,0,0,0
10008,0,0,-1.142,49.7,-9.207,0,0,0,0
10009,0,0,-1.145,49.593,-9.236,0,0,0,0
10010,0,0,-1.148,49.499,-9.26,0,0,0,0
10011,0,0,-1.152,49.362,-9.297,0,0,0,0
10012,0,0,-1.155,49.252,-9.327,0,0,0,0
10013,0,0,-1.158,49.139,-9.357,0,0,0,0
10014,0,0,-1.16,49.067,-9.375,0,0,0,0
10015,0,0,-1.164,48.938,-9.411,0,0,0,0
10016,0,0,-1.167,48.808,-9.444,0,0,0,0
10017,0,0,-1.17,48.719,-9.468,0,0,0,0
10018,0,0,-1.173,48.585,-9.503,0,0,0,0
10019,0,0,-1.176,48.465,-9.537,0,0,0,0
10020,0,0,-1.18,48.343,-9.568,0,0,0,0
10021,0,0,-1.183,48.203,-9.605,0,0,0,0
10022,0,0,-1.187,48.08,-9.639,0,0,0,0
10023,0,0,-1.19,47.938,-9.676,0,0,0,0
10024,0,0,-1.194,47.794,-9.715,0,0,0,0
10025,0,0,-1.198,47.649,-9.754,0,0,0,0
10026,0,0,-1.2,47.582,-9.771,0,0,0,0
10027,0,0,-1.204,47.402,-9.819,0,0,0,0
10028,0,0,-1.208,47.269,-9.854,0,0,0,0
10029,0,0,-1.211,47.151,-9.886,0,0,0,0
10030,0,0,-1.215,47.017,-9.923,0,0,0,0
10031,0,0,-1.218,46.878,-9.958,0,0,0,0
10032,0,0,-1.222,46.74,-9.995,0,0,0,0
10033,0,0,-1.226,46.618,-10.028,0,0,0,0
10034,0,0,-1.23,46.442,-10.075,0,0,0,0
10035,0,0,-1.234,46.316,-10.108,0,0,0,0
10036,0,0,-1.238,46.154,-10.151,0,0,0,0
10037,0,0,-1.241,46.045,-10.181,0,0,0,0
10038,0,0,-1.245,45.881,-10.225,0,0,0,0
10039,0,0,-1.249,45.734,-10.264,0,0,0,0
10040,0,0,-1.253,45.585,-10.303,0,0,0,0
10041,0,0,-1.256,45.454,-10.338,0,0,0,0
10042,0,0,-1.262,45.244,-10.394,0,0,0,0
10043,0,0,-1.265,45.111,-10.431,0,0,0,0
10044,0,0,-1.27,44.936,-10.477,0,0,0,0
10045,0,0,-1.273,44.82,-10.507,0,0,0,0
10046,0,0,-1.277,44.663,-10.55,0,0,0,0
10047,0,0,-1.285,44.367,-10.629,0,0,0,0
10048,0,0,-1.289,44.19,-10.676,0,0,0,0
10049,0,0,-1.294,44.002,-10.726,0,0,0,0
10050,0,0,-1.3,43.786,-10.783,0,0,0,0
10051,0,0,-1.303,43.642,-10.822,0,0,0,0
10052,0,0,-1.309,43.425,-10.88,0,0,0,0
10053,0,0,-1.314,43.232,-10.932,0,0,0,0
10054,0,0,-1.32,43.01,-10.989,0,0,0,0
10055,0,0,-1.326,42.813,-11.043,0,0,0,0
10056,0,0,-1.332,42.59,-11.103,0,0,0,0
10057,0,0,-1.336,42.415,-11.149,0,0,0,0
10058,0,0,-1.342,42.19,-11.208,0,0,0,0
10059,0,0,-1.347,42.037,-11.249,0,0,0,0
10060,0,0,-1.351,41.886,-11.29,0,0,0,0
10061,0,0,-1.356,41.682,-11.344,0,0,0,0
10062,0,0,-1.365,41.346,-11.433,0,0,0,0
10063,0,0,-1.372,41.053,-11.511,0,0,0,0
10064,0,0,-1.383,40.644,-11.62,0,0,0,0
10065,0,0,-1.388,40.447,-11.672,0,0,0,0
10066,0,0,-1.402,39.922,-11.813,0,0,0,0
10067,0,0,-1.409,39.657,-11.884,0,0,0,0
10068,0,0,-1.417,39.358,-11.963,0,0,0,0
10069,0,0,-1.423,39.124,-12.025,0,0,0,0
10070,0,0,-1.432,38.789,-12.114,0,0,0,0
10071,0,0,-1.438,38.555,-12.177,0,0,0,0
10072,0,0,-1.444,38.317,-12.24,0,0,0,0
10073,0,0,-1.45,38.046,-12.312,0,0,0,0
10074,0,0,-1.459,37.705,-12.403,0,0,0,0
10075,0,0,-1.464,37.501,-12.457,0,0,0,0
10076,0,0,-1.473,37.123,-12.559,0,0,0,0
10077,0,0,-1.477,36.987,-12.594,0,0,0,0
10078,0,0,-1.492,36.362,-12.761,0,0,0,0
10079,0,0,-1.499,36.084,-12.835,0,0,0,0
10080,0,0,-1.506,35.804,-12.909,0,0,0,0
10081,0,0,-1.513,35.523,-12.985,0,0,0,0
10082,0,0,-1.519,35.277,-13.05,0,0,0,0
10083,0,0,-1.526,34.995,-13.126,0,0,0,0
10084,0,0,-1.536,34.639,-13.221,0,0,0,0
10085,0,0,-1.544,34.355,-13.297,0,0,0,0
10086,0,0,-1.548,34.211,-13.334,0,0,0,0
10087,0,0,-1.559,33.78,-13.449,0,0,0,0
10088,0,0,-1.567,33.493,-13.525,0,0,0,0
10089,0,0,-1.576,33.167,-13.613,0,0,0,0
10090,0,0,-1.579,33.021,-13.651,0,0,0,0
10091,0,0,-1.588,32.693,-13.739,0,0,0,0
10092,0,0,-1.597,32.363,-13.828,0,0,0,0
10093,0,0,-1.605,32.068,-13.906,0,0,0,0
10094,0,0,-1.622,31.477,-14.063,0,0,0,0
10095,0,0,-1.631,31.178,-14.143,0,0,0,0
10096,0,0,-1.64,30.917,-14.212,0,0,0,0
10097,0,0,-1.649,30.616,-14.293,0,0,0,0
10098,0,0,-1.66,30.277,-14.382,0,0,0,0
10099,0,0,-1.671,29.936,-14.475,0,0,0,0
10100,0,0,-1.678,29.708,-14.535,0,0,0,0
10101,0,0,-1.689,29.363,-14.627,0,0,0,0
10102,0,0,-1.696,29.096,-14.7,0,0,0,0
10103,0,0,-1.703,28.786,-14.781,0,0,0,0
10104,0,0,-1.712,28.361,-14.894,0,0,0,0
10105,0,0,-1.717,28.129,-14.957,0,0,0,0
10106,0,0,-1.726,27.738,-15.061,0,0,0,0
10107,0,0,-1.733,27.465,-15.136,0,0,0,0
