DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,4.48858630251161,0,90000000000,0,0,2,2
10002,1,10002,4.48858630251161,0,90000000000,0,0,2,2
10003,2,10003,4.518422966173854,0,33.51581166447339,0,0,2,2
10004,3,10004,4.451184123007099,0,-14.872355812546681,0,0,2,2
10005,4,10005,4.370544959158524,0,-12.40092223522811,0,0,2,2
10006,5,10006,4.487975097099979,0,8.515701484558837,0,0,2,2
10007,6,10007,4.507645105189037,0,50.83881996755666,0,0,2,2
10008,7,10008,4.41993217482441,0,-11.400827629893922,0,0,2,2
10009,8,10009,4.429292375775261,0,106.83531317873249,0,0,2,2
10010,9,10010,4.434785984108979,0,182.0297224070954,0,0,2,2
10011,10,10011,4.467485140933848,0,30.58182831306128,0,0,2,2
10012,11,10012,4.4468122329880915,0,-48.3724884096572,0,0,2,2
10013,12,10013,4.453407956454032,0,151.61339088333406,0,0,2,2
10014,13,10014,4.444196632117475,0,-108.56202251301383,0,0,2,2
10015,14,10015,4.466293996491151,0,45.25426576172343,0,0,2,2
10016,15,10016,4.464309689574989,0,-503.95429852865874,0,0,2,2
10017,16,10017,4.442638521405631,0,-46.14425914584304,0,0,2,2
10018,17,10018,4.470406573214516,0,36.01260927063024,0,0,2,2
10019,18,10019,4.441549318539477,0,-34.65333106911795,0,0,2,2
10020,19,10020,4.460557758069709,0,52.60821112693349,0,0,2,2
10021,20,10021,4.4173578921564065,0,-23.148219996953127,0,0,2,2
10022,21,10022,4.441349150580901,0,41.681848542759724,0,0,2,2
10023,22,10023,4.4632116418229675,0,45.7404414221502,0,0,2,2
10024,23,10024,4.435399494930241,0,-35.955512670671496,0,0,2,2
10025,24,10025,4.478699910826559,0,23.094466399456458,0,0,2,2
10026,25,10026,4.458074645421593,0,-48.48422458405087,0,0,2,2
10027,26,10027,4.409336565946391,0,-20.517837608040942,0,0,2,2
10028,27,10028,4.487827354071881,0,12.740348566779659,0,0,2,2
10029,28,10029,4.4539433699282265,0,-29.51246806634041,0,0,2,2
10030,29,10030,4.44737440155053,0,-152.23090483967502,0,0,2,2
10031,30,10031,4.465299273158006,0,55.788405177914214,0,0,2,2
10032,31,10032,4.418253527267952,0,-21.255907013080282,0,0,2,2
10033,32,10033,4.458631160110904,0,24.76618686116364,0,0,2,2
10034,33,10034,4.460734374989281,0,475.46259313814994,0,0,2,2
10035,34,10035,4.463211837001154,0,403.6388833441554,0,0,2,2
10036,35,10036,4.452843677463163,0,-96.44913316927278,0,0,2,2
10037,36,10037,4.422617706097679,0,-33.084131123803665,0,0,2,2
10038,37,10038,4.461662097045504,0,25.611873452868124,0,0,2,2
10039,38,10039,4.453864485343239,0,-128.2443956153318,0,0,2,2
10040,39,10040,4.4592148972233465,0,186.90149887672925,0,0,2,2
10041,40,10041,4.4647223518094785,0,181.57208277632319,0,0,2,2
10042,41,10042,4.427794445968161,0,-27.07979175144885,0,0,2,2
10043,42,10043,4.470630288239406,0,23.344936085715428,0,0,2,2
10044,43,10044,4.463961334896595,0,-149.94856742821193,0,0,2,2
10045,44,10045,4.450079789401881,0,-72.03808829361272,0,0,2,2
10046,45,10046,4.434184938979345,0,-62.91345771849271,0,0,2,2
10047,46,10047,4.4406553558087225,0,154.549548563816,0,0,2,2
10048,47,10048,4.423468347223265,0,-58.18348172852675,0,0,2,2
10049,48,10049,4.431317199914613,0,127.40715609331647,0,0,2,2
10050,49,10050,4.444808208783864,0,74.1234410036749,0,0,2,2
10051,50,10051,4.410552327246799,0,-29.192067321869434,0,0,2,2
10052,51,10052,4.448585460587561,0,26.292863936304393,0,0,2,2
10053,52,10053,4.393962192723441,0,-18.307216669782097,0,0,2,2
10054,53,10054,4.40839719623572,0,69.27604826346955,0,0,2,2
10055,54,10055,4.430376309785768,0,45.49774028524623,0,0,2,2
10056,55,10056,4.402271300623074,0,-35.580845898722835,0,0,2,2
10057,56,10057,4.413391998884338,0,89.92241103090082,0,0,2,2
10058,57,10058,4.419536893441088,0,162.73672245546757,0,0,2,2
