PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-0.746,51.039,-8.882,0,0,0,0
10002,0,0,-0.782,49.906,-9.14,0,0,0,0
10003,0,0,-0.81,48.894,-9.339,0,0,0,0
10004,0,0,-0.841,47.867,-9.613,0,0,0,0
10005,0,0,-0.858,46.822,-9.985,0,0,0,0
10006,0,0,-0.887,45.691,-10.243,0,0,0,0
10007,0,0,-0.92,44.628,-10.464,0,0,0,0
10008,0,0,-0.959,43.523,-10.796,0,0,0,0
10009,0,0,-0.982,42.333,-11.143,0,0,0,0
10010,0,0,-1.013,41.232,-11.456,0,0,0,0
10011,0,0,-1.051,40.021,-11.759,0,0,0,0
10012,0,0,-1.08,38.894,-12.066,0,0,0,0
10013,0,0,-1.113,37.671,-12.39,0,0,0,0
10014,0,0,-1.147,36.351,-12.752,0,0,0,0
10015,0,0,-1.183,35.224,-13.035,0,0,0,0
10016,0,0,-1.208,34.092,-13.322,0,0,0,0
10017,0,0,-1.251,32.654,-13.72,0,0,0,0
10018,0,0,-1.287,31.319,-14.049,0,0,0,0
10019,0,0,-1.318,30.124,-14.381,0,0,0,0
10020,0,0,-1.357,28.759,-14.732,0,0,0,0
10021,0,0,-1.401,27.403,-15.144,0,0,0,0
10022,0,0,-1.437,26.132,-15.498,0,0,0,0
10023,0,0,-1.448,24.811,-15.834,0,0,0,0
10024,0,0,-1.473,23.496,-16.207,0,0,0,0
10025,0,0,-1.494,22.186,-16.519,0,0,0,0
10026,0,0,-1.529,20.706,-16.904,0,0,0,0
10027,0,0,-1.53,19.501,-17.281,0,0,0,0
10028,0,0,-1.535,18.192,-17.58,0,0,0,0
10029,0,0,-1.541,16.979,-17.9,0,0,0,0
10030,0,0,-1.551,15.58,-18.28,0,0,0,0
10031,0,0,-1.567,14.448,-18.566,0,0,0,0
10032,0,0,-1.577,13.113,-18.97,0,0,0,0
10033,0,0,-1.599,11.706,-19.335,0,0,0,0
10034,0,0,-1.607,10.431,-19.663,0,0,0,0
10035,0,0,-1.618,9.14,-19.991,0,0,0,0
10036,0,0,-1.625,7.744,-20.362,0,0,0,0
10037,0,0,-1.629,6.517,-20.728,0,0,0,0
10038,0,0,-1.635,5.139,-21.081,0,0,0,0
10039,0,0,-1.643,3.811,-21.432,0,0,0,0
10040,0,0,-1.67,2.543,-21.76,0,0,0,0
10041,0,0,-1.698,1.251,-22.087,0,0,0,0
10042,0,0,-1.725,-0.044,-22.466,0,0,0,0
10043,0,0,-1.754,-1.371,-22.793,0,0,0,0
10044,0,0,-1.776,-2.629,-23.112,0,0,0,0
10045,0,0,-1.799,-3.999,-23.48,0,0,0,0
10046,0,0,-1.838,-5.48,-23.903,0,0,0,0
10047,0,0,-1.864,-6.571,-24.207,0,0,0,0
10048,0,0,-1.902,-8.092,-24.659,0,0,0,0
10049,0,0,-1.941,-9.241,-24.991,0,0,0,0
10050,0,0,-1.971,-10.701,-25.391,0,0,0,0
10051,0,0,-2.001,-11.879,-25.758,0,0,0,0
10052,0,0,-2.022,-13.213,-26.118,0,0,0,0
10053,0,0,-2.053,-14.476,-26.535,0,0,0,0
10054,0,0,-2.061,-15.808,-26.952,0,0,0,0
10055,0,0,-2.092,-17.232,-27.365,0,0,0,0
10056,0,0,-2.104,-18.463,-27.76,0,0,0,0
10057,0,0,-2.144,-19.937,-28.214,0,0,0,0
10058,0,0,-2.192,-21.486,-28.681,0,0,0,0
10059,0,0,-2.239,-22.872,-29.095,0,0,0,0
10060,0,0,-2.256,-24.317,-29.545,0,0,0,0
10061,0,0,-2.292,-25.859,-30.027,0,0,0,0
10062,0,0,-2.331,-27.492,-30.515,0,0,0,0
10063,0,0,-2.361,-29.281,-31.043,0,0,0,0
10064,0,0,-2.389,-30.674,-31.463,0,0,0,0
10065,0,0,-2.406,-32.357,-31.933,0,0,0,0
10066,0,0,-2.452,-34.001,-32.327,0,0,0,0
10067,0,0,-2.484,-35.668,-32.714,0,0,0,0
10068,0,0,-2.515,-37.425,-33.09,0,0,0,0
10069,0,0,-2.526,-38.744,-33.323,0,0,0,0
10070,0,0,-2.562,-40.499,-33.612,0,0,0,0
10071,0,0,-2.583,-42.186,-33.852,0,0,0,0
10072,0,0,-2.599,-43.864,-34.032,0,0,0,0
10073,0,0,-2.604,-45.43,-34.141,0,0,0,0
10074,0,0,-2.626,-47.161,-34.261,0,0,0,0
10075,0,0,-2.627,-48.758,-34.378,0,0,0,0
10076,0,0,-2.634,-50.449,-34.459,0,0,0,0
10077,0,0,-2.683,-52.046,-34.667,0,0,0,0
10078,0,0,-2.703,-53.642,-34.798,0,0,0,0
10079,0,0,-2.747,-55.289,-34.989,0,0,0,0
