PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1001,0,0,0.445,-12.307,57.059,0,0,0,0
1002,0,0,0.429,-11.149,57.023,0,0,0,0
1003,0,0,0.437,-10.14,57.07,0,0,0,0
1004,0,0,0.443,-9.126,57.1,0,0,0,0
1005,0,0,0.467,-8.085,57.156,0,0,0,0
1006,0,0,0.453,-6.908,57.129,0,0,0,0
1007,0,0,0.448,-5.792,57.127,0,0,0,0
1008,0,0,0.468,-4.647,57.174,0,0,0,0
1009,0,0,0.472,-3.55,57.188,0,0,0,0
1010,0,0,0.446,-2.402,57.123,0,0,0,0
1011,0,0,0.45,-1.306,57.126,0,0,0,0
1012,0,0,0.435,-0.249,57.096,0,0,0,0
2001,0,0,0.44,0.366,57.015,0,0,0,0
2002,0,0,0.433,1.363,57.022,0,0,0,0
2003,0,0,0.462,2.426,57.098,0,0,0,0
2004,0,0,0.445,3.416,57.059,0,0,0,0
2005,0,0,0.429,4.574,57.023,0,0,0,0
2006,0,0,0.437,5.583,57.07,0,0,0,0
2007,0,0,0.443,6.597,57.1,0,0,0,0
2008,0,0,0.467,7.638,57.156,0,0,0,0
2009,0,0,0.453,8.815,57.129,0,0,0,0
2010,0,0,0.448,9.931,57.127,0,0,0,0
2011,0,0,0.468,11.076,57.174,0,0,0,0
2012,0,0,0.472,12.173,57.188,0,0,0,0
2013,0,0,0.446,13.321,57.123,0,0,0,0
2014,0,0,0.45,14.417,57.126,0,0,0,0
2015,0,0,0.435,15.474,57.096,0,0,0,0
2016,0,0,0.451,16.501,57.122,0,0,0,0
2017,0,0,0.444,17.566,57.107,0,0,0,0
2018,0,0,0.441,18.635,57.082,0,0,0,0
2019,0,0,0.465,19.72,57.116,0,0,0,0
2020,0,0,0.445,20.748,57.066,0,0,0,0
2021,0,0,0.434,21.763,57.038,0,0,0,0
2022,0,0,0.412,22.826,56.977,0,0,0,0
2023,0,0,0.417,23.656,56.94,0,0,0,0
2024,0,0,0.422,24.485,56.904,0,0,0,0
2025,0,0,0.427,25.315,56.867,0,0,0,0
2026,0,0,0.432,26.145,56.831,0,0,0,0
2027,0,0,0.437,26.975,56.794,0,0,0,0
2028,0,0,0.442,27.805,56.758,0,0,0,0
2029,0,0,0.447,28.634,56.721,0,0,0,0
2030,0,0,0.453,29.464,56.685,0,0,0,0
2031,0,0,0.458,30.294,56.648,0,0,0,0
2032,0,0,0.463,31.124,56.612,0,0,0,0
2033,0,0,0.468,31.953,56.575,0,0,0,0
2034,0,0,0.473,32.783,56.539,0,0,0,0
2035,0,0,0.478,33.613,56.502,0,0,0,0
2036,0,0,0.483,34.443,56.466,0,0,0,0
