DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1001,0,1001,3.141840755356629,0,90000000000,0,0,2,2
1002,1,1002,3.141840755356629,0,90000000000,0,0,2,2
1003,2,1003,3.1415039391096657,0,-2968.9779190168465,0,0,2,2
1004,3,1004,3.141290603752599,0,-4687.455533626855,0,0,2,2
1005,4,1005,3.1412035506037146,0,-11487.235244366804,0,0,2,2
1006,5,1006,3.1411593667508333,0,-22632.70255508454,0,0,2,2
1007,6,1007,3.1409284471703254,0,-4330.511937534554,0,0,2,2
1008,7,1008,3.1406249057059217,0,-3294.442826664472,0,0,2,2
1009,8,1009,3.140379015416139,0,-4066.854371854934,0,0,2,2
1010,9,1010,3.140388570087818,0,104660.84378169649,0,0,2,2
1011,10,1011,3.1403950790189157,0,153635.0569695795,0,0,2,2
1012,11,1012,3.1404826513196578,0,11419.135862893965,0,0,2,2
1013,12,1013,3.1404416027677957,0,-24361.39533888552,0,0,2,2
1014,13,1014,3.140125084123769,0,-3159.371553215576,0,0,2,2
1015,14,1015,3.1402281204636235,0,9705.313692362022,0,0,2,2
1016,15,1016,3.1401389842209273,0,-11218.781157377234,0,0,2,2
1017,16,1017,3.139716141716801,0,-2364.946736057318,0,0,2,2
1018,17,1018,3.1398037978705347,0,11408.212172274369,0,0,2,2
1019,18,1019,3.1396230935279563,0,-5533.901320420821,0,0,2,2
1020,19,1020,3.1397755776317453,0,6558.060644694116,0,0,2,2
1021,20,1021,3.139774841552806,0,-1358549.9419073837,0,0,2,2
1022,21,1022,3.139496443886718,0,-3591.9841356819943,0,0,2,2
1023,22,1023,3.139477418909205,0,-52562.479998724964,0,0,2,2
1024,23,1024,3.1394923637210748,0,66912.85301624147,0,0,2,2
1025,24,1025,3.1395033644942663,0,90902.70134586656,0,0,2,2
1026,25,1026,3.1395176493492736,0,70004.21071741311,0,0,2,2
1027,26,1027,3.139530024556282,0,80806.72907654608,0,0,2,2
1028,27,1028,3.1397245377792924,0,5141.038663201027,0,0,2,2
1029,28,1029,3.1392954272772746,0,-2330.402064964111,0,0,2,2
1030,29,1030,3.139196418825459,0,-10100.14783243779,0,0,2,2
1031,30,1031,3.1392070069672044,0,94445.27888155554,0,0,2,2
1032,31,1032,3.139223153056225,0,61934.503069647064,0,0,2,2
1033,32,1033,3.1393395568464104,0,8590.785561245712,0,0,2,2
1034,33,1034,3.139200075877934,0,-7169.436883918307,0,0,2,2
1035,34,1035,3.1390769452122096,0,-8121.45369406833,0,0,2,2
1036,35,1036,3.139057603754864,0,-51702.412188325434,0,0,2,2
1037,36,1037,3.139069089854514,0,87061.75555370716,0,0,2,2
