PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1001,0,0,0.37,1.53,59.701,0,0,0,0
1002,0,0,0.368,1.53,58.502,0,0,0,0
1003,0,0,0.368,1.53,57.169,0,0,0,0
1004,0,0,0.368,1.53,55.894,0,0,0,0
1005,0,0,0.368,1.531,54.511,0,0,0,0
1006,0,0,0.366,1.531,53.332,0,0,0,0
1007,0,0,0.366,1.532,52.051,0,0,0,0
1008,0,0,0.367,1.534,50.651,0,0,0,0
1009,0,0,0.369,1.535,49.256,0,0,0,0
1010,0,0,0.37,1.537,47.868,0,0,0,0
1011,0,0,0.37,1.539,46.486,0,0,0,0
1012,0,0,0.368,1.54,45.094,0,0,0,0
1013,0,0,0.367,1.542,43.56,0,0,0,0
1014,0,0,0.369,1.544,42.026,0,0,0,0
1015,0,0,0.367,1.546,40.469,0,0,0,0
1016,0,0,0.367,1.549,38.732,0,0,0,0
1017,0,0,0.369,1.552,36.991,0,0,0,0
1018,0,0,0.369,1.555,35.26,0,0,0,0
1019,0,0,0.37,1.559,33.536,0,0,0,0
1020,0,0,0.37,1.562,31.821,0,0,0,0
1021,0,0,0.366,1.565,30.011,0,0,0,0
1022,0,0,0.368,1.569,28.149,0,0,0,0
1023,0,0,0.369,1.573,26.296,0,0,0,0
1024,0,0,0.369,1.577,24.452,0,0,0,0
1025,0,0,0.37,1.581,22.616,0,0,0,0
1026,0,0,0.37,1.584,20.789,0,0,0,0
1027,0,0,0.37,1.588,18.97,0,0,0,0
1028,0,0,0.366,1.592,17.066,0,0,0,0
1029,0,0,0.368,1.596,15.087,0,0,0,0
1030,0,0,0.369,1.601,13.119,0,0,0,0
1031,0,0,0.369,1.606,11.159,0,0,0,0
1032,0,0,0.369,1.61,9.209,0,0,0,0
1033,0,0,0.367,1.614,7.309,0,0,0,0
1034,0,0,0.368,1.617,6.253,0,0,0,0
1035,0,0,0.369,1.62,5.2,0,0,0,0
1036,0,0,0.369,1.625,3.182,0,0,0,0
1037,0,0,0.369,1.63,1.173,0,0,0,0
1038,0,0,0.368,1.635,-0.846,0,0,0,0
1039,0,0,0.366,1.637,-1.879,0,0,0,0
1040,0,0,0.367,1.64,-2.998,0,0,0,0
1041,0,0,0.368,1.643,-4.029,0,0,0,0
1042,0,0,0.369,1.646,-5.143,0,0,0,0
1043,0,0,0.369,1.649,-6.169,0,0,0,0
1044,0,0,0.367,1.652,-7.304,0,0,0,0
1045,0,0,0.366,1.655,-8.403,0,0,0,0
1046,0,0,0.367,1.658,-9.502,0,0,0,0
1047,0,0,0.368,1.662,-10.689,0,0,0,0
1048,0,0,0.369,1.666,-11.874,0,0,0,0
1049,0,0,0.369,1.669,-12.964,0,0,0,0
1050,0,0,0.369,1.673,-14.143,0,0,0,0
1051,0,0,0.366,1.677,-15.276,0,0,0,0
1052,0,0,0.367,1.681,-16.522,0,0,0,0
1053,0,0,0.368,1.684,-17.669,0,0,0,0
1054,0,0,0.368,1.689,-18.909,0,0,0,0
1055,0,0,0.369,1.693,-20.051,0,0,0,0
1056,0,0,0.369,1.697,-21.284,0,0,0,0
1057,0,0,0.369,1.701,-22.42,0,0,0,0
1058,0,0,0.369,1.705,-23.648,0,0,0,0
1059,0,0,0.369,1.709,-24.778,0,0,0,0
1060,0,0,0.369,1.713,-26.0,0,0,0,0
1061,0,0,0.369,1.717,-27.125,0,0,0,0
1062,0,0,0.369,1.721,-28.341,0,0,0,0
1063,0,0,0.369,1.725,-29.461,0,0,0,0
1064,0,0,0.366,1.729,-30.728,0,0,0,0
1065,0,0,0.366,1.733,-31.923,0,0,0,0
1066,0,0,0.367,1.738,-33.215,0,0,0,0
1067,0,0,0.368,1.742,-34.404,0,0,0,0
1068,0,0,0.369,1.747,-35.689,0,0,0,0
1069,0,0,0.369,1.752,-36.872,0,0,0,0
1070,0,0,0.369,1.757,-38.151,0,0,0,0
1071,0,0,0.369,1.761,-39.329,0,0,0,0
1072,0,0,0.369,1.766,-40.602,0,0,0,0
1073,0,0,0.369,1.77,-41.773,0,0,0,0
1074,0,0,0.369,1.775,-43.04,0,0,0,0
1075,0,0,0.369,1.779,-44.206,0,0,0,0
1076,0,0,0.369,1.784,-45.466,0,0,0,0
1077,0,0,0.369,1.788,-46.626,0,0,0,0
1078,0,0,0.369,1.793,-47.88,0,0,0,0
1079,0,0,0.369,1.797,-49.035,0,0,0,0
1080,0,0,0.369,1.802,-50.283,0,0,0,0
1081,0,0,0.369,1.806,-51.432,0,0,0,0
1082,0,0,0.369,1.81,-52.673,0,0,0,0
1083,0,0,0.369,1.815,-53.817,0,0,0,0
1084,0,0,0.369,1.819,-55.053,0,0,0,0
1085,0,0,0.369,1.823,-56.19,0,0,0,0
1086,0,0,0.369,1.828,-57.42,0,0,0,0
1087,0,0,0.369,1.832,-58.552,0,0,0,0
1088,0,0,0.369,1.836,-59.776,0,0,0,0
1089,0,0,0.369,1.84,-60.903,0,0,0,0
1090,0,0,0.369,1.844,-62.12,0,0,0,0
1091,0,0,0.369,1.848,-63.239,0,0,0,0
1092,0,0,0.374,1.853,-64.36,0,0,0,0
1093,0,0,0.344,1.859,-65.989,0,0,0,0
1094,0,0,0.34,1.856,-66.6,0,0,0,0
