DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,6.28318529923522,0,90000000000,0,0,2,2
10002,1,10002,6.28318529923522,0,90000000000,0,0,2,2
10003,2,10003,6.283185299229093,0,-163197551361.44717,0,0,2,2
10004,3,10004,0.01805813194834686,0,-0.1596136795470714,0,0,2,2
10005,4,10005,6.28318529922244,0,0.15961367954724087,0,0,2,2
10006,5,10006,0.01482436376058053,0,-0.15953133686714213,0,0,2,2
10007,6,10007,6.28318529921207,0,0.15953133686740606,0,0,2,2
10008,7,10008,0.01504894178479167,0,-0.15953705263847268,0,0,2,2
10009,8,10009,0.015048941773638023,0,-89656769633.04688,0,0,2,2
10010,9,10010,0.007250271417471597,0,-128.22698669514833,0,0,2,2
10011,10,10011,0.011685409200650445,0,225.4721383837727,0,0,2,2
10012,11,10012,6.283185299176146,0,0.1594514896824637,0,0,2,2
10013,12,10013,0.016977944578060906,0,-0.15958616486992078,0,0,2,2
10014,13,10014,0.009643437474000463,0,-136.341813541416,0,0,2,2
10015,14,10015,0.008562762677871457,0,-925.3477582543934,0,0,2,2
10016,15,10016,0.010915005457348246,0,425.1261854111974,0,0,2,2
10017,16,10017,0.009643437448983848,0,-786.430606481117,0,0,2,2
10018,17,10018,0.00964343743469868,0,-70002674284.6367,0,0,2,2
10019,18,10019,0.00863721783707669,0,-993.8188466645968,0,0,2,2
10020,19,10020,0.009643437421591867,0,993.8188596098797,0,0,2,2
10021,20,10021,0.009643437410869026,0,-93258866594.40947,0,0,2,2
10022,21,10022,0.011160266464351368,0,659.2700724608325,0,0,2,2
10023,22,10023,0.009643437396573818,0,-659.2700662476061,0,0,2,2
10024,23,10024,0.009737975019927243,0,10577.799235141998,0,0,2,2
10025,24,10025,0.009737975015113946,0,-207757786691.3603,0,0,2,2
10026,25,10026,0.009737975007890346,0,-138435125652.76028,0,0,2,2
10027,26,10027,0.026133663512031845,0,60.99164422082081,0,0,2,2
10028,27,10028,0.02920655688173357,0,325.42619599490587,0,0,2,2
10029,28,10029,0.01306905921225221,0,-61.96747602889902,0,0,2,2
10030,29,10030,0.01564132513648049,0,388.7622934242365,0,0,2,2
10031,30,10031,0.022571286749359952,0,144.30094362160415,0,0,2,2
10032,31,10032,0.009834384446322057,0,-78.51202562506025,0,0,2,2
10033,32,10033,0.017424643367122322,0,131.74781129792694,0,0,2,2
10034,33,10034,0.011287076949684813,0,-162.93102705314746,0,0,2,2
10035,34,10035,0.022571286718644158,0,88.61940893289706,0,0,2,2
10036,35,10036,0.017578812174079462,0,-200.30147196017242,0,0,2,2
10037,36,10037,0.01986349227975564,0,437.6980381260153,0,0,2,2
10038,37,10038,0.0196668749235852,0,-5086.020987552791,0,0,2,2
10039,38,10039,0.019863492267455377,0,5086.021305731172,0,0,2,2
10040,39,10040,0.009932721866757924,0,-100.6971221416788,0,0,2,2
10041,40,10041,0.019863492255158155,0,100.69712226637154,0,0,2,2
10042,41,10042,0.010033045759530032,0,-101.72477928085242,0,0,2,2
10043,42,10043,0.01986349223550694,0,101.72477948420183,0,0,2,2
10044,43,10044,0.010033045744656627,0,-101.72477933029288,0,0,2,2
10045,44,10045,0.01947411126826075,0,105.9202478258249,0,0,2,2
10046,45,10046,0.017124277480070036,0,-425.56201422653123,0,0,2,2
10047,46,10047,0.01628225218111413,0,-1187.6127727278274,0,0,2,2
10048,47,10048,0.016149899178003194,0,-7555.552019940273,0,0,2,2
10049,48,10049,0.021747781357495877,0,178.6389866623857,0,0,2,2
10050,49,10050,0.016282252148909243,0,-182.9648990675866,0,0,2,2
10051,50,10051,0.016282252137830636,0,-90264057537.3386,0,0,2,2
10052,51,10052,0.016282252128775057,0,-110429159478.8813,0,0,2,2
10053,52,10053,0.01628225211971334,0,-110354366406.69061,0,0,2,2
10054,53,10054,0.016416792167186108,0,7432.731136819392,0,0,2,2
10055,54,10055,0.016282252097572485,0,-7432.729913637156,0,0,2,2
10056,55,10056,0.01641679215195265,0,7432.730755216796,0,0,2,2
10057,56,10057,0.024622427694182304,0,121.86746472635535,0,0,2,2
10058,57,10058,0.0164167921286138,0,-121.86746437973422,0,0,2,2
10059,58,10059,0.01641679211643701,0,-82123444043.47575,0,0,2,2
10060,59,10060,0.018917842412951642,0,399.83202312786796,0,0,2,2
10061,60,10061,0.014714569048501174,0,-237.9098177286261,0,0,2,2
10062,61,10062,0.018739414080903814,0,248.45677086927438,0,0,2,2
10063,62,10063,0.016553573862683833,0,-457.4899810446074,0,0,2,2
10064,63,10064,0.014714569021210471,0,-543.7723585321432,0,0,2,2
10065,64,10065,0.01891784236613648,0,237.9098188337317,0,0,2,2
10066,65,10066,0.02223451330008354,0,301.5071497641562,0,0,2,2
10067,66,10067,0.016553573824806357,0,-176.02722302391868,0,0,2,2
10068,67,10068,0.016692653813187738,0,7190.107014230066,0,0,2,2
10069,68,10069,0.01909970071181765,0,415.4468284640396,0,0,2,2
10070,69,10070,0.014824363212618293,0,-233.89966293591323,0,0,2,2
10071,70,10071,0.016692653789436702,0,535.2486451561203,0,0,2,2
10072,71,10072,0.01683409040317366,0,7070.305019178283,0,0,2,2
10073,72,10073,0.025036078518971144,0,121.92165922234692,0,0,2,2
10074,73,10074,0.016834090383398444,0,-121.92165892839049,0,0,2,2
10075,74,10075,0.01641679196823201,0,-2396.36663753242,0,0,2,2
10076,75,10076,0.014714568904784503,0,-587.4670726025203,0,0,2,2
