PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,0.038,-1739.964,180.185,0,0,0,0
10002,0,0,0.038,-1739.964,180.269,0,0,0,0
10003,0,0,0.038,-1739.964,180.336,0,0,0,0
10004,0,0,0.038,-1739.962,180.438,0,0,0,0
10005,0,0,0.038,-1739.962,180.558,0,0,0,0
10006,0,0,0.038,-1739.961,180.683,0,0,0,0
10007,0,0,0.038,-1739.961,180.805,0,0,0,0
10008,0,0,0.038,-1739.959,180.928,0,0,0,0
10009,0,0,0.038,-1739.957,181.05,0,0,0,0
10010,0,0,0.038,-1739.955,181.304,0,0,0,0
10011,0,0,0.038,-1739.953,181.462,0,0,0,0
10012,0,0,0.038,-1739.953,181.623,0,0,0,0
10013,0,0,0.038,-1739.949,181.84,0,0,0,0
10014,0,0,0.038,-1739.948,182.031,0,0,0,0
10015,0,0,0.038,-1739.946,182.247,0,0,0,0
10016,0,0,0.038,-1739.944,182.415,0,0,0,0
10017,0,0,0.038,-1739.942,182.606,0,0,0,0
10018,0,0,0.038,-1739.94,182.798,0,0,0,0
10019,0,0,0.038,-1739.938,183.011,0,0,0,0
10020,0,0,0.038,-1739.937,183.202,0,0,0,0
10021,0,0,0.038,-1739.935,183.393,0,0,0,0
10022,0,0,0.038,-1739.933,183.558,0,0,0,0
10023,0,0,0.038,-1739.931,183.749,0,0,0,0
10024,0,0,0.038,-1739.929,183.938,0,0,0,0
10025,0,0,0.038,-1739.927,184.128,0,0,0,0
10026,0,0,0.038,-1739.925,184.317,0,0,0,0
10027,0,0,0.038,-1739.92,184.528,0,0,0,0
10028,0,0,0.038,-1739.914,184.718,0,0,0,0
10029,0,0,0.038,-1739.913,184.859,0,0,0,0
10030,0,0,0.038,-1739.909,185.094,0,0,0,0
10031,0,0,0.038,-1739.905,185.257,0,0,0,0
10032,0,0,0.038,-1739.903,185.445,0,0,0,0
10033,0,0,0.038,-1739.9,185.656,0,0,0,0
10034,0,0,0.038,-1739.898,185.82,0,0,0,0
10035,0,0,0.038,-1739.894,185.983,0,0,0,0
10036,0,0,0.038,-1739.89,186.192,0,0,0,0
10037,0,0,0.038,-1739.887,186.378,0,0,0,0
10038,0,0,0.038,-1739.883,186.565,0,0,0,0
10039,0,0,0.038,-1739.879,186.751,0,0,0,0
10040,0,0,0.038,-1739.878,186.936,0,0,0,0
10041,0,0,0.038,-1739.874,187.122,0,0,0,0
10042,0,0,0.038,-1739.872,187.305,0,0,0,0
10043,0,0,0.038,-1739.868,187.491,0,0,0,0
10044,0,0,0.038,-1739.867,187.675,0,0,0,0
10045,0,0,0.038,-1739.863,187.864,0,0,0,0
