DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,0.32747314324947285,0,90000000000,0,0,2,2
10002,1,10002,0.32747314324947285,0,90000000000,0,0,2,2
10003,2,10003,0.35598626154639906,0,35.071576163165666,0,0,2,2
10004,3,10004,0.06075814876126718,0,-3.387211301004399,0,0,2,2
10005,4,10005,0.9687874915478122,0,1.101285996916374,0,0,2,2
10006,5,10006,5.171789297947483,0,0.2379251892010508,0,0,2,2
10007,6,10007,0.6911955990487185,0,-0.22318470881342778,0,0,2,2
10008,7,10008,0.3506722585931789,0,-2.936656261688954,0,0,2,2
10009,8,10009,1.0862512972605423,0,1.3594732142064352,0,0,2,2
10010,9,10010,6.006778172787497,0,0.20323026889125706,0,0,2,2
10011,10,10011,0.6545963538955527,0,-0.18683969151986485,0,0,2,2
10012,11,10012,0.5245013766494661,0,-7.686691839827204,0,0,2,2
10013,12,10013,0.4861423633723635,0,-26.06949226707363,0,0,2,2
10014,13,10014,0.5051187222623683,0,52.69714837269006,0,0,2,2
10015,14,10015,0.4946930982091648,0,-95.91751965127942,0,0,2,2
10016,15,10016,0.35196794882089827,0,-7.006473661342058,0,0,2,2
10017,16,10017,0.916819119604094,0,1.770377847696496,0,0,2,2
10018,17,10018,0.42367861574372045,0,-2.0278196420124868,0,0,2,2
10019,18,10019,0.43037509332078333,0,149.33224049390566,0,0,2,2
10020,19,10020,0.0016596131152968332,0,-2.332549315738943,0,0,2,2
10021,20,10021,0.8758757321545203,0,1.143881905425188,0,0,2,2
10022,21,10022,0.510886304525821,0,-2.7398053869584724,0,0,2,2
10023,22,10023,0.4112271254382124,0,-10.034198647381173,0,0,2,2
10024,23,10024,0.2537369725975619,0,-6.34960333686263,0,0,2,2
10025,24,10025,0.6255730102258507,0,2.6893574016611708,0,0,2,2
10026,25,10026,0.45977385631245526,0,-6.031393866595643,0,0,2,2
10027,26,10027,0.5104402756601907,0,19.73693844707611,0,0,2,2
10028,27,10028,0.49760324818271723,0,-77.89965408696136,0,0,2,2
10029,28,10029,0.45818897986314977,0,-25.37152261440164,0,0,2,2
10030,29,10030,0.5612750059108712,0,9.70063585084822,0,0,2,2
10031,30,10031,0.6461268249295458,0,11.785251177466398,0,0,2,2
10032,31,10032,0.41603702637994533,0,-4.346129234340784,0,0,2,2
10033,32,10033,0.5810010591081527,0,6.061927460560977,0,0,2,2
10034,33,10034,0.19352423081889408,0,-2.5807994878431324,0,0,2,2
10035,34,10035,0.3311611633661559,0,7.265491765130842,0,0,2,2
10036,35,10036,0.693810880692455,0,2.757481812953507,0,0,2,2
10037,36,10037,0.5245388920468714,0,-5.907651986612912,0,0,2,2
10038,37,10038,0.6789988521803936,0,6.47416974040104,0,0,2,2
10039,38,10039,0.15963023389249906,0,-1.9254147531988228,0,0,2,2
10040,39,10040,0.6659486407674962,0,1.9750417650663963,0,0,2,2
10041,40,10041,6.25979858562326,0,0.178767755634851,0,0,2,2
10042,41,10042,0.5454727805637926,0,-0.17499877222866772,0,0,2,2
10043,42,10043,0.7281313249048267,0,5.4746959886691196,0,0,2,2
10044,43,10044,0.137504000074486,0,-1.6931150286472993,0,0,2,2
10045,44,10045,0.531381495598197,0,2.5388604613481935,0,0,2,2
10046,45,10046,0.5692763128735698,0,26.388832877415215,0,0,2,2
10047,46,10047,0.14500577860930217,0,-2.35698668476733,0,0,2,2
10048,47,10048,0.5414995845292204,0,2.522107495928889,0,0,2,2
10049,48,10049,0.09308091847006034,0,-2.2300588171056854,0,0,2,2
10050,49,10050,0.6738528482589793,0,1.7218463026672952,0,0,2,2
10051,50,10051,0.1806433868133946,0,-2.027536124447055,0,0,2,2
10052,51,10052,1.0702100131624448,0,1.124142892032932,0,0,2,2
10053,52,10053,0.5229403007612468,0,-1.8272525910714201,0,0,2,2
10054,53,10054,0.3095041151383261,0,-4.685241151032879,0,0,2,2
10055,54,10055,0.4396981530194837,0,7.6808432726605345,0,0,2,2
10056,55,10056,0.29032627992264953,0,-6.694700811254636,0,0,2,2
10057,56,10057,0.3765225115905862,0,11.601435244320324,0,0,2,2
10058,57,10058,0.7324161454233258,0,2.8098282883867856,0,0,2,2
10059,58,10059,1.2963599573287337,0,1.7732263017857766,0,0,2,2
10060,59,10060,0.3965752111585233,0,-1.1113769201537809,0,0,2,2
10061,60,10061,0.25033814213513883,0,-6.838211451298249,0,0,2,2
10062,61,10062,0.5478373347019329,0,3.3613536607346646,0,0,2,2
