NID,PID
10001,10001
10002,10002
10003,10003
10004,10004
10005,10005
10006,10006
10007,10007
10008,10008
10009,10009
10010,10010
10011,10011
10012,10012
10013,10013
10014,10014
10015,10015
10016,10016
10017,10017
10018,10018
10019,10019
10020,10020
10021,10021
10022,10022
10023,10023
10024,10024
10025,10025
10026,10026
10027,10027
10028,10028
10029,10029
10030,10030
10031,10031
10032,10032
10033,10033
10034,10034
10035,10035
10036,10036
10037,10037
10038,10038
10039,10039
10040,10040
10041,10041
10042,10042
10043,10043
10044,10044
10045,10045
10046,10046
10047,10047
10048,10048
10049,10049
10050,10050
10051,10051
10052,10052
10053,10053
10054,10054
10055,10055
10056,10056
10057,10057
10058,10058
10059,10059
10060,10060
10061,10061
10062,10062
10063,10063
10064,10064
10065,10065
10066,10066
10067,10067
10068,10068
10069,10069
10070,10070
10071,10071
10072,10072
10073,10073
10074,10074
10075,10075
10076,10076
10077,10077
10078,10078
10079,10079
10080,10080
10081,10081
10082,10082
10083,10083
10084,10084
10085,10085
10086,10086
10087,10087
10088,10088
10089,10089
10090,10090
10091,10091
10092,10092
10093,10093
10094,10094
10095,10095
10096,10096
10097,10097
10098,10098
10099,10099
10100,10100
10101,10101
10102,10102
10103,10103
10104,10104
10105,10105
10106,10106
10107,10107
10108,10108
10109,10109
10110,10110
10111,10111
10112,10112
10113,10113
10114,10114
10115,10115
10116,10116
10117,10117
10118,10118
10119,10119
10120,10120
10121,10121
10122,10122
10123,10123
10124,10124
10125,10125
10126,10126
10127,10127
10128,10128
10129,10129
10130,10130
10131,10131
10132,10132
10133,10133
10134,10134
10135,10135
10136,10136
10137,10137
10138,10138
10139,10139
10140,10140
10141,10141
10142,10142
10143,10143
10144,10144
10145,10145
10146,10146
10147,10147
10148,10148
10149,10149
10150,10150
10151,10151
10152,10152
10153,10153
10154,10154
10155,10155
10156,10156
10157,10157
10158,10158
10159,10159
10160,10160
10161,10161
10162,10162
10163,10163
10164,10164
10165,10165
10166,10166
10167,10167
10168,10168
10169,10169
10170,10170
10171,10171
10172,10172
10173,10173
10174,10174
10175,10175
10176,10176
10177,10177
10178,10178
10179,10179
10180,10180
10181,10181
10182,10182
10183,10183
10184,10184
10185,10185
10186,10186
10187,10187
10188,10188
10189,10189
10190,10190
10191,10191
10192,10192
10193,10193
10194,10194
10195,10195
10196,10196
10197,10197
10198,10198
10199,10199
10200,10200
10201,10201
10202,10202
10203,10203
10204,10204
10205,10205
10206,10206
10207,10207
10208,10208
10209,10209
10210,10210
10211,10211
10212,10212
10213,10213
10214,10214
10215,10215
10216,10216
10217,10217
10218,10218
10219,10219
10220,10220
10221,10221
10222,10222
10223,10223
10224,10224
10225,10225
10226,10226
10227,10227
10228,10228
10229,10229
10230,10230
10231,10231
10232,10232
10233,10233
10234,10234
10235,10235
10236,10236
10237,10237
10238,10238
10239,10239
10240,10240
10241,10241
10242,10242
10243,10243
10244,10244
10245,10245
10246,10246
10247,10247
10248,10248
10249,10249
10250,10250
10251,10251
10252,10252
10253,10253
10254,10254
10255,10255
10256,10256
10257,10257
10258,10258
10259,10259
10260,10260
10261,10261
10262,10262
10263,10263
10264,10264
10265,10265
10266,10266
10267,10267
10268,10268
10269,10269
10270,10270
10271,10271
10272,10272
10273,10273
10274,10274
10275,10275
10276,10276
10277,10277
10278,10278
10279,10279
10280,10280
10281,10281
10282,10282
10283,10283
10284,10284
10285,10285
10286,10286
10287,10287
10288,10288
10289,10289
10290,10290
10291,10291
10292,10292
10293,10293
10294,10294
10295,10295
10296,10296
10297,10297
10298,10298
10299,10299
10300,10300
10301,10301
10302,10302
10303,10303
10304,10304
10305,10305
10306,10306
10307,10307
10308,10308
10309,10309
10310,10310
10311,10311
10312,10312
10313,10313
10314,10314
10315,10315
10316,10316
10317,10317
10318,10318
10319,10319
10320,10320
10321,10321
10322,10322
10323,10323
10324,10324
10325,10325
10326,10326
10327,10327
10328,10328
10329,10329
10330,10330
10331,10331
10332,10332
10333,10333
10334,10334
10335,10335
10336,10336
10337,10337
10338,10338
10339,10339
10340,10340
10341,10341
10342,10342
10343,10343
10344,10344
10345,10345
10346,10346
10347,10347
10348,10348
10349,10349
10350,10350
10351,10351
10352,10352
10353,10353
10354,10354
10355,10355
10356,10356
10357,10357
10358,10358
10359,10359
10360,10360
10361,10361
10362,10362
10363,10363
10364,10364
10365,10365
10366,10366
10367,10367
10368,10368
10369,10369
10370,10370
10371,10371
10372,10372
10373,10373
10374,10374
10375,10375
10376,10376
10377,10377
10378,10378
10379,10379
10380,10380
10381,10381
10382,10382
10383,10383
10384,10384
10385,10385
10386,10386
10387,10387
10388,10388
10389,10389
10390,10390
10391,10391
10392,10392
10393,10393
10394,10394
10395,10395
10396,10396
10397,10397
10398,10398
10399,10399
10400,10400
10401,10401
10402,10402
10403,10403
10404,10404
10405,10405
10406,10406
10407,10407
10408,10408
10409,10409
10410,10410
10411,10411
10412,10412
10413,10413
10414,10414
10415,10415
10416,10416
10417,10417
10418,10418
10419,10419
10420,10420
10421,10421
10422,10422
10423,10423
10424,10424
10425,10425
10426,10426
10427,10427
10428,10428
10429,10429
10430,10430
10431,10431
10432,10432
10433,10433
10434,10434
10435,10435
10436,10436
10437,10437
10438,10438
10439,10439
10440,10440
10441,10441
10442,10442
10443,10443
10444,10444
10445,10445
10446,10446
10447,10447
10448,10448
10449,10449
10450,10450
10451,10451
10452,10452
10453,10453
10454,10454
10455,10455
10456,10456
10457,10457
10458,10458
10459,10459
10460,10460
10461,10461
10462,10462
10463,10463
10464,10464
10465,10465
10466,10466
10467,10467
10468,10468
10469,10469
10470,10470
10471,10471
10472,10472
10473,10473
10474,10474
10475,10475
10476,10476
10477,10477
10478,10478
10479,10479
10480,10480
10481,10481
10482,10482
10483,10483
10484,10484
10485,10485
10486,10486
10487,10487
10488,10488
10489,10489
10490,10490
10491,10491
10492,10492
10493,10493
10494,10494
10495,10495
10496,10496
10497,10497
10498,10498
10499,10499
10500,10500
10501,10501
10502,10502
10503,10503
10504,10504
10505,10505
10506,10506
10507,10507
10508,10508
10509,10509
10510,10510
10511,10511
10512,10512
10513,10513
10514,10514
10515,10515
10516,10516
10517,10517
10518,10518
10519,10519
10520,10520
10521,10521
10522,10522
10523,10523
10524,10524
10525,10525
10526,10526
10527,10527
10528,10528
10529,10529
10530,10530
10531,10531
10532,10532
10533,10533
10534,10534
10535,10535
10536,10536
10537,10537
10538,10538
10539,10539
10540,10540
10541,10541
10542,10542
10543,10543
10544,10544
10545,10545
10546,10546
10547,10547
10548,10548
10549,10549
10550,10550
10551,10551
10552,10552
10553,10553
10554,10554
10555,10555
10556,10556
10557,10557
10558,10558
10559,10559
10560,10560
10561,10561
10562,10562
10563,10563
10564,10564
10565,10565
10566,10566
10567,10567
10568,10568
10569,10569
10570,10570
10571,10571
10572,10572
10573,10573
10574,10574
10575,10575
10576,10576
10577,10577
10578,10578
10579,10579
10580,10580
10581,10581
10582,10582
10583,10583
10584,10584
10585,10585
10586,10586
10587,10587
10588,10588
10589,10589
10590,10590
10591,10591
10592,10592
10593,10593
10594,10594
10595,10595
10596,10596
10597,10597
10598,10598
10599,10599
10600,10600
10601,10601
10602,10602
10603,10603
10604,10604
10605,10605
10606,10606
10607,10607
10608,10608
10609,10609
10610,10610
10611,10611
10612,10612
10613,10613
10614,10614
10615,10615
10616,10616
10617,10617
10618,10618
10619,10619
10620,10620
10621,10621
10622,10622
10623,10623
10624,10624
10625,10625
10626,10626
10627,10627
10628,10628
10629,10629
10630,10630
10631,10631
10632,10632
10633,10633
10634,10634
10635,10635
10636,10636
10637,10637
10638,10638
10639,10639
10640,10640
10641,10641
10642,10642
10643,10643
10644,10644
10645,10645
10646,10646
10647,10647
10648,10648
10649,10649
10650,10650
10651,10651
10652,10652
10653,10653
10654,10654
10655,10655
10656,10656
10657,10657
10658,10658
10659,10659
10660,10660
10661,10661
10662,10662
10663,10663
10664,10664
10665,10665
10666,10666
10667,10667
10668,10668
10669,10669
10670,10670
10671,10671
10672,10672
10673,10673
10674,10674
10675,10675
10676,10676
10677,10677
10678,10678
10679,10679
10680,10680
10681,10681
10682,10682
10683,10683
10684,10684
10685,10685
