PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,1.591,0.293,1.456,0,0,0,0
10002,0,0,1.57,0.315,1.522,0,0,0,0
10003,0,0,1.555,0.333,1.57,0,0,0,0
10004,0,0,1.589,0.335,1.609,0,0,0,0
10005,0,0,1.507,0.379,1.639,0,0,0,0
10006,0,0,1.566,0.353,1.652,0,0,0,0
10007,0,0,1.52,0.405,1.715,0,0,0,0
10008,0,0,1.581,0.411,1.732,0,0,0,0
10009,0,0,1.555,0.45,1.753,0,0,0,0
10010,0,0,1.571,0.434,1.809,0,0,0,0
10011,0,0,1.547,0.471,1.858,0,0,0,0
10012,0,0,1.599,0.481,1.875,0,0,0,0
10013,0,0,1.592,0.516,1.941,0,0,0,0
10014,0,0,1.599,0.555,2.011,0,0,0,0
10015,0,0,1.59,0.591,2.078,0,0,0,0
10016,0,0,1.595,0.613,2.137,0,0,0,0
10017,0,0,1.623,0.648,2.164,0,0,0,0
10018,0,0,1.647,0.677,2.229,0,0,0,0
10019,0,0,1.633,0.709,2.297,0,0,0,0
10020,0,0,1.631,0.709,2.368,0,0,0,0
10021,0,0,1.639,0.751,2.404,0,0,0,0
10022,0,0,1.662,0.78,2.454,0,0,0,0
10023,0,0,1.652,0.817,2.539,0,0,0,0
10024,0,0,1.639,0.832,2.599,0,0,0,0
10025,0,0,1.67,0.859,2.636,0,0,0,0
10026,0,0,1.642,0.889,2.696,0,0,0,0
10027,0,0,1.638,0.915,2.743,0,0,0,0
10028,0,0,1.64,0.941,2.79,0,0,0,0
10029,0,0,1.629,0.965,2.839,0,0,0,0
10030,0,0,1.624,1.003,2.899,0,0,0,0
10031,0,0,1.602,1.036,2.943,0,0,0,0
10032,0,0,1.624,1.067,3.013,0,0,0,0
10033,0,0,1.634,1.096,3.057,0,0,0,0
10034,0,0,1.667,1.105,3.104,0,0,0,0
10035,0,0,1.693,1.121,3.151,0,0,0,0
10036,0,0,1.679,1.157,3.194,0,0,0,0
10037,0,0,1.668,1.188,3.248,0,0,0,0
10038,0,0,1.626,1.214,3.28,0,0,0,0
10039,0,0,1.669,1.222,3.332,0,0,0,0
10040,0,0,1.616,1.253,3.372,0,0,0,0
10041,0,0,1.665,1.253,3.403,0,0,0,0
10042,0,0,1.673,1.28,3.449,0,0,0,0
10043,0,0,1.638,1.308,3.48,0,0,0,0
10044,0,0,1.667,1.314,3.524,0,0,0,0
10045,0,0,1.643,1.342,3.57,0,0,0,0
10046,0,0,1.629,1.372,3.618,0,0,0,0
10047,0,0,1.677,1.376,3.646,0,0,0,0
10048,0,0,1.637,1.409,3.699,0,0,0,0
10049,0,0,1.686,1.412,3.735,0,0,0,0
10050,0,0,1.702,1.443,3.775,0,0,0,0
10051,0,0,1.724,1.454,3.834,0,0,0,0
10052,0,0,1.65,1.497,3.857,0,0,0,0
10053,0,0,1.612,1.524,3.904,0,0,0,0
10054,0,0,1.646,1.539,3.952,0,0,0,0
10055,0,0,1.67,1.569,4.016,0,0,0,0
10056,0,0,1.693,1.583,4.061,0,0,0,0
10057,0,0,1.738,1.604,4.115,0,0,0,0
10058,0,0,1.679,1.635,4.15,0,0,0,0
10059,0,0,1.629,1.655,4.156,0,0,0,0
10060,0,0,1.634,1.678,4.212,0,0,0,0
10061,0,0,1.666,1.696,4.279,0,0,0,0
10062,0,0,1.67,1.726,4.329,0,0,0,0
10063,0,0,1.67,1.755,4.388,0,0,0,0
10064,0,0,1.62,1.792,4.421,0,0,0,0
10065,0,0,1.677,1.786,4.441,0,0,0,0
10066,0,0,1.66,1.824,4.508,0,0,0,0
10067,0,0,1.623,1.85,4.54,0,0,0,0
10068,0,0,1.683,1.854,4.585,0,0,0,0
10069,0,0,1.699,1.876,4.647,0,0,0,0
10070,0,0,1.716,1.907,4.686,0,0,0,0
10071,0,0,1.665,1.931,4.711,0,0,0,0
10072,0,0,1.644,1.963,4.758,0,0,0,0
10073,0,0,1.707,1.972,4.804,0,0,0,0
10074,0,0,1.676,2.013,4.844,0,0,0,0
10075,0,0,1.621,2.032,4.869,0,0,0,0
10076,0,0,1.63,2.059,4.93,0,0,0,0
10077,0,0,1.667,2.069,4.969,0,0,0,0
10078,0,0,1.696,2.107,5.037,0,0,0,0
10079,0,0,1.733,2.129,5.108,0,0,0,0
10080,0,0,1.768,2.131,5.145,0,0,0,0
